id,uzi,x,y,z
60,-0.83678988062297,0.015,0,0
61,-0.42325285280687,0.015,0.001,0
62,-0.68978840940273,0.015,0,0.001
63,-0.19052646479097,0.015,0.001,0.001
154,-0.035455421539903,0.015,0.002,0
155,0.25574958505296,0.015,0.002,0.001
216,0.33071292515174,0.015,0.003,0
217,0.66738771340839,0.015,0.003,0.001
278,0.67746512507735,0.015,0.004,0
279,1.0448529613256,0.015,0.004,0.001
340,0.98820976865123,0.015,0.005,0
341,1.3772093296439,0.015,0.005,0.001
402,1.257764121591,0.015,0.006,0
403,1.6519303929154,0.015,0.006,0.001
464,1.4651625033311,0.015,0.007,0
465,1.8540347085393,0.015,0.007,0.001
526,1.6067925312883,0.015,0.008,0
527,1.9709909860208,0.015,0.008,0.001
588,1.6624501708356,0.015,0.009,0
589,1.9910506627622,0.015,0.009,0.001
650,1.6347253051582,0.015,0.01,0
651,1.9069969168883,0.015,0.01,0.001
712,1.5075570086173,0.015,0.011,0
713,1.7142024131609,0.015,0.011,0.001
774,1.2923467133596,0.015,0.012,0
775,1.4138657055844,0.015,0.012,0.001
836,0.97986458545429,0.015,0.013,0
837,1.0104627980481,0.015,0.013,0.001
898,0.59105160389942,0.015,0.014,0
899,0.51518505378218,0.015,0.014,0.001
960,0.12611338982575,0.015,0.015,0
961,-0.05751371419356,0.015,0.015,0.001
1022,-0.38592863330662,0.015,0.016,0
1023,-0.686009722169,0.015,0.016,0.001
1084,-0.933271387049,0.015,0.017,0
1085,-1.3459689986977,0.015,0.017,0.001
1146,-1.4829729188478,0.015,0.018,0
1147,-2.0070818460666,0.015,0.018,0.001
1208,-2.0118838169327,0.015,0.019,0
1209,-2.6377874034926,0.015,0.019,0.001
1270,-2.4905551671371,0.015,0.02,0
1271,-3.20518708113,0.015,0.02,0.001
1332,-2.889589564011,0.015,0.021,0
1333,-3.677737596272,0.015,0.021,0.001
1394,-3.192483031992,0.015,0.022,0
1395,-4.0302009921528,0.015,0.022,0.001
1952,-0.44407113346909,0.015,0,0.002
1953,0.08884415555863,0.015,0.001,0.002
1999,0.57247241237991,0.015,0.002,0.002
2030,1.0100806687742,0.015,0.003,0.002
2061,1.3985282656695,0.015,0.004,0.002
2092,1.7293851999223,0.015,0.005,0.002
2123,1.9884427379562,0.015,0.006,0.002
2154,2.1623865000027,0.015,0.007,0.002
2185,2.2376753072037,0.015,0.008,0.002
2216,2.2043934688885,0.015,0.009,0.002
2247,2.0556875370329,0.015,0.01,0.002
2278,1.7893390132814,0.015,0.011,0.002
2309,1.4078905229783,0.015,0.012,0.002
2340,0.91889948236448,0.015,0.013,0.002
2371,0.33496552983488,0.015,0.014,0.002
2402,-0.32587128305071,0.015,0.015,0.002
2433,-1.0412600223694,0.015,0.016,0.002
2464,-1.7830788872767,0.015,0.017,0.002
2495,-2.5204496802077,0.015,0.018,0.002
2526,-3.2188316650784,0.015,0.019,0.002
2557,-3.8432837287043,0.015,0.02,0.002
2588,-4.361581510434,0.015,0.021,0.002
2619,-4.7447735459181,0.015,0.022,0.002
2913,-0.144252172535,0.015,0,0.003
2914,0.40507167834236,0.015,0.001,0.003
2960,0.90375969979419,0.015,0.002,0.003
2991,1.3483375465309,0.015,0.003,0.003
3022,1.7323663183282,0.015,0.004,0.003
3053,2.0448701809048,0.015,0.005,0.003
3084,2.2731276655312,0.015,0.006,0.003
3115,2.4036045608903,0.015,0.007,0.003
3146,2.4241657788652,0.015,0.008,0.003
3177,2.3268099869032,0.015,0.009,0.003
3208,2.1056773646152,0.015,0.01,0.003
3239,1.7626564503941,0.015,0.011,0.003
3270,1.30097650952,0.015,0.012,0.003
3301,0.73294816667019,0.015,0.013,0.003
3332,0.071455639474143,0.015,0.014,0.003
3363,-0.66220926105831,0.015,0.015,0.003
3394,-1.445224798591,0.015,0.016,0.003
3425,-2.2487407734489,0.015,0.017,0.003
3456,-3.0408741001425,0.015,0.018,0.003
3487,-3.7867828298244,0.015,0.019,0.003
3518,-4.4512804824321,0.015,0.02,0.003
3549,-5.0001179317768,0.015,0.021,0.003
3580,-5.4052667315266,0.015,0.022,0.003
3874,0.19021289746296,0.015,0,0.004
3875,0.74165221266586,0.015,0.001,0.004
3921,1.2395700103777,0.015,0.002,0.004
3952,1.6766197529058,0.015,0.003,0.004
3983,2.0426258689865,0.015,0.004,0.004
4014,2.325331506349,0.015,0.005,0.004
4045,2.511630408292,0.015,0.006,0.004
4076,2.5882427829956,0.015,0.007,0.004
4107,2.5458509129803,0.015,0.008,0.004
4138,2.3757961458744,0.015,0.009,0.004
4169,2.0789462223513,0.015,0.01,0.004
4200,1.6548741843942,0.015,0.011,0.004
4231,1.1163582712203,0.015,0.012,0.004
4262,0.47186992011704,0.015,0.013,0.004
4293,-0.25676152676122,0.015,0.014,0.004
4324,-1.0529925156639,0.015,0.015,0.004
4355,-1.8898720112744,0.015,0.016,0.004
4386,-2.7413808901262,0.015,0.017,0.004
4417,-3.5755947071251,0.015,0.018,0.004
4448,-4.3586641807725,0.015,0.019,0.004
4479,-5.0544585047046,0.015,0.02,0.004
4510,-5.6291908610506,0.015,0.021,0.004
4541,-6.0524049677283,0.015,0.022,0.004
4835,0.5446461544217,0.015,0,0.005
4836,1.0860001232898,0.015,0.001,0.005
4882,1.5713944621177,0.015,0.002,0.005
4913,1.9898392414196,0.015,0.003,0.005
4944,2.3282071924173,0.015,0.004,0.005
4975,2.5728435264424,0.015,0.005,0.005
5006,2.7094370048035,0.015,0.006,0.005
5037,2.7267460327919,0.015,0.007,0.005
5068,2.6138757785771,0.015,0.008,0.005
5099,2.3692219512344,0.015,0.009,0.005
5130,1.9893372189501,0.015,0.01,0.005
5161,1.4870522039019,0.015,0.011,0.005
5192,0.86761843102702,0.015,0.012,0.005
5223,0.15552895256963,0.015,0.013,0.005
5254,-0.63784115329089,0.015,0.014,0.005
5285,-1.4842783187671,0.015,0.015,0.005
5316,-2.3658160771277,0.015,0.016,0.005
5347,-3.2551131130023,0.015,0.017,0.005
5378,-4.1238866846028,0.015,0.018,0.005
5409,-4.9388608489027,0.015,0.019,0.005
5440,-5.6648274898979,0.015,0.02,0.005
5471,-6.2652281311607,0.015,0.021,0.005
5502,-6.7093071143983,0.015,0.022,0.005
5796,0.90678597045329,0.015,0,0.006
5797,1.4280962838979,0.015,0.001,0.006
5843,1.8922923375084,0.015,0.002,0.006
5874,2.2842336270717,0.015,0.003,0.006
5905,2.5887460030912,0.015,0.004,0.006
5936,2.7897685609802,0.015,0.005,0.006
5967,2.8733642966082,0.015,0.006,0.006
5998,2.8264022848923,0.015,0.007,0.006
6029,2.6428933204046,0.015,0.008,0.006
6060,2.3166047888504,0.015,0.009,0.006
6091,1.8574116967561,0.015,0.01,0.006
6122,1.2679309159049,0.015,0.011,0.006
6153,0.5760232835501,0.015,0.012,0.006
6184,-0.209179057249,0.015,0.013,0.006
6215,-1.0524807059643,0.015,0.014,0.006
6246,-1.9444502969099,0.015,0.015,0.006
6277,-2.8590108538004,0.015,0.016,0.006
6308,-3.7774937628332,0.015,0.017,0.006
6339,-4.6759870074559,0.015,0.018,0.006
6370,-5.5228729995598,0.015,0.019,0.006
6401,-6.2810572094822,0.015,0.02,0.006
6432,-6.9141205821019,0.015,0.021,0.006
6463,-7.3849689459879,0.015,0.022,0.006
6757,1.26529208924,0.015,0,0.007
6758,1.7597871583462,0.015,0.001,0.007
6804,2.1961672168304,0.015,0.002,0.007
6835,2.5571438309903,0.015,0.003,0.007
6866,2.823981981941,0.015,0.004,0.007
6897,2.9796729764815,0.015,0.005,0.007
6928,3.0082529097813,0.015,0.006,0.007
6959,2.8982094122651,0.015,0.007,0.007
6990,2.6404312450789,0.015,0.008,0.007
7021,2.2373914771521,0.015,0.009,0.007
7052,1.6890083765653,0.015,0.01,0.007
7083,1.0215402668196,0.015,0.011,0.007
7114,0.24331107576668,0.015,0.012,0.007
7145,-0.59925770171403,0.015,0.013,0.007
7176,-1.5000022414993,0.015,0.014,0.007
7207,-2.4195765749649,0.015,0.015,0.007
7238,-3.3538480065121,0.015,0.016,0.007
7269,-4.2934789278099,0.015,0.017,0.007
7300,-5.2164169232441,0.015,0.018,0.007
7331,-6.0971486460491,0.015,0.019,0.007
7362,-6.8973191403604,0.015,0.02,0.007
7393,-7.5693275674776,0.015,0.021,0.007
7424,-8.0789166717297,0.015,0.022,0.007
7718,1.6107806898505,0.015,0,0.008
7719,2.0728056735433,0.015,0.001,0.008
7765,2.4785106901571,0.015,0.002,0.008
7796,2.8058160901329,0.015,0.003,0.008
7827,3.0345636067231,0.015,0.004,0.008
7858,3.1451206040151,0.015,0.005,0.008
7889,3.1208433653465,0.015,0.006,0.008
7920,2.9488669877794,0.015,0.007,0.008
7951,2.6219408353282,0.015,0.008,0.008
7982,2.1377447479029,0.015,0.009,0.008
8013,1.5110060011677,0.015,0.01,0.008
8044,0.74799807155929,0.015,0.011,0.008
8075,-0.10071993930263,0.015,0.012,0.008
8106,-1.0241687930574,0.015,0.013,0.008
8137,-1.9507416809875,0.015,0.014,0.008
8168,-2.8922841771187,0.015,0.015,0.008
8199,-3.8351326915701,0.015,0.016,0.008
8230,-4.7746568404379,0.015,0.017,0.008
8261,-5.723506964103,0.015,0.018,0.008
8292,-6.6462743807605,0.015,0.019,0.008
8323,-7.4946564468555,0.015,0.02,0.008
8354,-8.2264619448376,0.015,0.021,0.008
8385,-8.7814334368304,0.015,0.022,0.008
8679,1.9329881751059,0.015,0,0.009
8680,2.3610666902617,0.015,0.001,0.009
8726,2.7340873619818,0.015,0.002,0.009
8757,3.0285428929106,0.015,0.003,0.009
8788,3.2204254540118,0.015,0.004,0.009
8819,3.2888917413293,0.015,0.005,0.009
8850,3.2161912777697,0.015,0.006,0.009
8881,2.9873090092352,0.015,0.007,0.009
8912,2.5957768020896,0.015,0.008,0.009
8943,2.0390180962388,0.015,0.009,0.009
8974,1.3253192889891,0.015,0.01,0.009
9005,0.48801084742382,0.015,0.011,0.009
