id,uxi,x,y,z
0,-0.055278108647243,0,0,0
1,0.063669926543471,0.002,0,0
2,0.19975431929235,0.002,0.002,0
3,0.05093589285805,0,0.002,0
4,0.040135057595528,0,0,0.002
5,0.20027109106908,0.002,0,0.002
6,0.1387398438721,0.002,0.002,0.002
7,0.2041368739061,0,0.002,0.002
8,0.23982656694751,0.004,0,0
9,0.21958171944459,0.004,0.002,0
10,0.24345625852115,0.004,0,0.002
11,-0.19374612206157,0.004,0.002,0.002
12,0.35019769645396,0.006,0,0
13,0.10877401805447,0.006,0.002,0
14,0.15074526249353,0.006,0,0.002
15,-0.55271454133356,0.006,0.002,0.002
16,0.37022169354441,0.008,0,0
17,-0.072533420851876,0.008,0.002,0
18,-0.025494541821871,0.008,0,0.002
19,-0.82500310361685,0.008,0.002,0.002
20,0.31038176973044,0.01,0,0
21,-0.26444556738945,0.01,0.002,0
22,-0.22526041232341,0.01,0,0.002
23,-0.96110780903668,0.01,0.002,0.002
24,0.22022868123049,0.012,0,0
25,-0.4172203394433,0.012,0.002,0
26,-0.39152605282616,0.012,0,0.002
27,-0.99164798585428,0.012,0.002,0.002
28,0.156126852571,0.014,0,0
29,-0.50129153312467,0.014,0.002,0
30,-0.48557579575871,0.014,0,0.002
31,-0.98100986210919,0.014,0.002,0.002
32,0.15612685257086,0.016,0,0
33,-0.50129153312467,0.016,0.002,0
34,-0.48557579575865,0.016,0,0.002
35,-0.98100986210921,0.016,0.002,0.002
36,0.22022868123046,0.018,0,0
37,-0.4172203394433,0.018,0.002,0
38,-0.39152605282615,0.018,0,0.002
39,-0.99164798585426,0.018,0.002,0.002
40,0.31038176973048,0.02,0,0
41,-0.2644455673893,0.02,0.002,0
42,-0.22526041232329,0.02,0,0.002
43,-0.96110780903669,0.02,0.002,0.002
44,0.37022169354444,0.022,0,0
45,-0.07253342085174,0.022,0.002,0
46,-0.025494541821784,0.022,0,0.002
47,-0.82500310361675,0.022,0.002,0.002
48,0.350197696454,0.024,0,0
49,0.10877401805457,0.024,0.002,0
50,0.15074526249358,0.024,0,0.002
51,-0.55271454133345,0.024,0.002,0.002
52,0.23982656694752,0.026,0,0
53,0.21958171944462,0.026,0.002,0
54,0.24345625852119,0.026,0,0.002
55,-0.19374612206144,0.026,0.002,0.002
56,0.063669926543436,0.028,0,0
57,0.19975431929238,0.028,0.002,0
58,0.20027109106912,0.028,0,0.002
59,0.13873984387214,0.028,0.002,0.002
60,-0.055278108647256,0.03,0,0
61,0.050935892858048,0.03,0.002,0
62,0.040135057595525,0.03,0,0.002
63,0.2041368739061,0.03,0.002,0.002
64,0.16829950371509,0.002,0.004,0
65,0.1026358734273,0,0.004,0
66,-0.10282464303253,0.002,0.004,0.002
67,0.14496551670534,0,0.004,0.002
68,-0.0038120152201241,0.004,0.004,0
69,-0.56878930534233,0.004,0.004,0.002
70,-0.28204715666613,0.006,0.004,0
71,-0.92227809324941,0.006,0.004,0.002
72,-0.55176660769728,0.008,0.004,0
73,-1.0472803410625,0.008,0.004,0.002
74,-0.73859441578438,0.01,0.004,0
75,-0.96297831000414,0.01,0.004,0.002
76,-0.83990992872119,0.012,0.004,0
77,-0.78089562498708,0.012,0.004,0.002
