id,uxr,x,y,z
0,0.017883450380733,0,0,0
1,0.088018731455241,0.002,0,0
2,-0.047870771893071,0.002,0.002,0
3,0.069520240091951,0,0.002,0
4,0.075128938197326,0,0,0.002
5,-0.029373426908663,0.002,0,0.002
6,-0.34417606507725,0.002,0.002,0.002
7,-0.072779415595786,0,0.002,0.002
8,0.031868326701611,0.004,0,0
9,-0.30512892663687,0.004,0.002,0
10,-0.2879382796612,0.004,0,0.002
11,-0.54742558139388,0.004,0.002,0.002
12,-0.10254881105773,0.006,0,0
13,-0.51889228990794,0.006,0.002,0
14,-0.5180532506855,0.006,0,0.002
15,-0.55888048523643,0.006,0.002,0.002
16,-0.26018152394464,0.008,0,0
17,-0.63123380268696,0.008,0.002,0
18,-0.65178607133231,0.008,0,0.002
19,-0.41078654815445,0.008,0.002,0.002
20,-0.3878497981335,0.01,0,0
21,-0.63354936468219,0.01,0.002,0
22,-0.67327061348961,0.01,0,0.002
23,-0.17117337898206,0.01,0.002,0.002
24,-0.47470099470367,0.012,0,0
25,-0.57214629618006,0.012,0.002,0
26,-0.62520754014553,0.012,0,0.002
27,0.061142550680128,0.012,0.002,0.002
28,-0.51318120253624,0.014,0,0
29,-0.52032876647451,0.014,0.002,0
30,-0.57888388101206,0.014,0,0.002
31,0.20494501460015,0.014,0.002,0.002
32,-0.5131812025362,0.016,0,0
33,-0.52032876647457,0.016,0.002,0
34,-0.57888388101209,0.016,0,0.002
35,0.20494501460015,0.016,0.002,0.002
36,-0.47470099470373,0.018,0,0
37,-0.57214629618009,0.018,0.002,0
38,-0.62520754014547,0.018,0,0.002
39,0.061142550679994,0.018,0.002,0.002
40,-0.38784979813346,0.02,0,0
41,-0.63354936468217,0.02,0.002,0
42,-0.67327061348966,0.02,0,0.002
43,-0.1711733789822,0.02,0.002,0.002
44,-0.26018152394456,0.022,0,0
45,-0.63123380268692,0.022,0.002,0
46,-0.65178607133228,0.022,0,0.002
47,-0.41078654815457,0.022,0.002,0.002
48,-0.10254881105767,0.024,0,0
49,-0.51889228990791,0.024,0.002,0
50,-0.51805325068548,0.024,0,0.002
51,-0.5588804852365,0.024,0.002,0.002
52,0.031868326701678,0.026,0,0
53,-0.30512892663688,0.026,0.002,0
54,-0.28793827966116,0.026,0,0.002
55,-0.54742558139388,0.026,0.002,0.002
56,0.088018731455256,0.028,0,0
57,-0.047870771893032,0.028,0.002,0
58,-0.029373426908621,0.028,0,0.002
59,-0.34417606507724,0.028,0.002,0.002
60,0.017883450380708,0.03,0,0
61,0.069520240091949,0.03,0.002,0
62,0.075128938197337,0.03,0,0.002
63,-0.072779415595744,0.03,0.002,0.002
64,-0.18577401797399,0.002,0.004,0
65,0.027335116100259,0,0.004,0
66,-0.43414681521323,0.002,0.004,0.002
67,-0.23304363647838,0,0.004,0.002
68,-0.45334423521527,0.004,0.004,0
69,-0.37446990638942,0.004,0.004,0.002
70,-0.57812668545256,0.006,0.004,0
71,-0.10657353158907,0.006,0.004,0.002
72,-0.5336935109152,0.008,0.004,0
73,0.25815527700974,0.008,0.004,0.002
74,-0.36198053558574,0.01,0.004,0
75,0.60007001242957,0.01,0.004,0.002
76,-0.16531512765394,0.012,0.004,0
77,0.8550401830472,0.012,0.004,0.002
78,-0.033538322474775,0.014,0.004,0
79,0.98430082548623,0.014,0.004,0.002
80,-0.033538322474765,0.016,0.004,0
81,0.98430082548614,0.016,0.004,0.002
82,-0.16531512765398,0.018,0.004,0
83,0.8550401830471,0.018,0.004,0.002
84,-0.36198053558581,0.02,0.004,0
85,0.60007001242933,0.02,0.004,0.002
86,-0.53369351091535,0.022,0.004,0
87,0.25815527700949,0.022,0.004,0.002
88,-0.5781266854526,0.024,0.004,0
89,-0.10657353158931,0.024,0.004,0.002
90,-0.45334423521524,0.026,0.004,0
91,-0.37446990638956,0.026,0.004,0.002
92,-0.18577401797401,0.028,0.004,0
93,-0.43414681521324,0.028,0.004,0.002
94,0.02733511610027,0.03,0.004,0
95,-0.23304363647839,0.03,0.004,0.002
96,-0.25294143672628,0.002,0.006,0
97,-0.04169491588573,0,0.006,0
98,-0.25426258814442,0.002,0.006,0.002
99,-0.27993406859174,0,0.006,0.002
100,-0.34284986697443,0.004,0.006,0
101,0.1230620045331,0.004,0.006,0.002
102,-0.2399930100941,0.006,0.006,0
103,0.58087605120667,0.006,0.006,0.002
104,0.0011488872940364,0.008,0.006,0
105,0.93882287305164,0.008,0.006,0.002
106,0.28611611573124,0.01,0.006,0
107,1.1269267395438,0.01,0.006,0.002
108,0.53169478961018,0.012,0.006,0
109,1.1726700126377,0.012,0.006,0.002
110,0.66707371599371,0.014,0.006,0
111,1.1681977185289,0.014,0.006,0.002
112,0.6670737159936,0.016,0.006,0
113,1.1681977185289,0.016,0.006,0.002
114,0.53169478960993,0.018,0.006,0
115,1.1726700126376,0.018,0.006,0.002
116,0.28611611573102,0.02,0.006,0
117,1.1269267395436,0.02,0.006,0.002
118,0.0011488872938981,0.022,0.006,0
119,0.93882287305132,0.022,0.006,0.002
120,-0.2399930100943,0.024,0.006,0
121,0.58087605120646,0.024,0.006,0.002
122,-0.34284986697454,0.026,0.006,0
123,0.12306200453295,0.026,0.006,0.002
124,-0.25294143672631,0.028,0.006,0
125,-0.25426258814453,0.028,0.006,0.002
126,-0.041694915885725,0.03,0.006,0
127,-0.27993406859177,0.03,0.006,0.002
128,-0.211848416394,0.002,0.008,0
129,-0.10875126723552,0,0.008,0
130,0.10172436293155,0.002,0.008,0.002
131,-0.20067484754134,0,0.008,0.002
132,-0.030532976208086,0.004,0.008,0
133,0.67555754355075,0.004,0.008,0.002
134,0.31325173989728,0.006,0.008,0
135,1.1011031058342,0.006,0.008,0.002
136,0.67041649310028,0.008,0.008,0
137,1.211844303419,0.008,0.008,0.002
138,0.93124040987653,0.01,0.008,0
139,1.0379536091782,0.01,0.008,0.002
140,1.0738526841231,0.012,0.008,0
141,0.75466610335323,0.012,0.008,0.002
142,1.1314674808609,0.014,0.008,0
143,0.55184629381751,0.014,0.008,0.002
144,1.1314674808609,0.016,0.008,0
145,0.55184629381752,0.016,0.008,0.002
146,1.0738526841231,0.018,0.008,0
147,0.75466610335324,0.018,0.008,0.002
148,0.93124040987647,0.02,0.008,0
149,1.0379536091781,0.02,0.008,0.002
150,0.6704164931002,0.022,0.008,0
151,1.2118443034189,0.022,0.008,0.002
152,0.31325173989721,0.024,0.008,0
153,1.1011031058341,0.024,0.008,0.002
154,-0.030532976208198,0.026,0.008,0
155,0.67555754355063,0.026,0.008,0.002
156,-0.21184841639406,0.028,0.008,0
157,0.10172436293145,0.028,0.008,0.002
158,-0.10875126723554,0.03,0.008,0
159,-0.2006748475414,0.03,0.008,0.002
160,-0.083208725822499,0.002,0.01,0
161,-0.14866657072171,0,0.01,0
162,0.47389977865458,0.002,0.01,0.002
163,-0.024371973643768,0,0.01,0.002
164,0.3508228008052,0.004,0.01,0
165,1.0154854679903,0.004,0.01,0.002
166,0.82678806182832,0.006,0.01,0
167,1.1773860806755,0.006,0.01,0.002
