id,uxr,x,y,z
5292,0.1161870826449,0,0,0.018
5293,0.29704239147612,0.0015,0,0.018
5294,0.34164774051799,0.0015,0.0015,0.018
5295,0.393235876638,0,0.0015,0.018
5296,0.34663268436026,0.003,0,0.018
5297,0.04257056907034,0.003,0.0015,0.018
5298,0.25185052752857,0.0045,0,0.018
5299,-0.38366432379233,0.0045,0.0015,0.018
5300,-0.0084548838557886,0.006,0,0.018
5301,-0.85508284158006,0.006,0.0015,0.018
5302,-0.34517797410761,0.0075,0,0.018
5303,-1.3403409100772,0.0075,0.0015,0.018
5304,-0.7600770835009,0.009,0,0.018
5305,-1.7297944201003,0.009,0.0015,0.018
5306,-1.1202347396678,0.0105,0,0.018
5307,-2.0613099052081,0.0105,0.0015,0.018
5308,-1.4566115208079,0.012,0,0.018
5309,-2.247311529821,0.012,0.0015,0.018
5310,-1.6331055457027,0.0135,0,0.018
5311,-2.3965937696935,0.0135,0.0015,0.018
5312,-1.7296116240201,0.015,0,0.018
5313,-2.4145260306165,0.015,0.0015,0.018
5314,-1.6279609976414,0.0165,0,0.018
5315,-2.4183982116455,0.0165,0.0015,0.018
5316,-1.4597441309635,0.018,0,0.018
5317,-2.2706668296638,0.018,0.0015,0.018
5318,-1.1123368857186,0.0195,0,0.018
5319,-2.0981938182765,0.0195,0.0015,0.018
5320,-0.77574465020869,0.021,0,0.018
5321,-1.7392267481198,0.021,0.0015,0.018
5322,-0.34958928703153,0.0225,0,0.018
5323,-1.3640871154288,0.0225,0.0015,0.018
5324,-0.040882703698037,0.024,0,0.018
5325,-0.85436382400538,0.024,0.0015,0.018
5326,0.23081550734823,0.0255,0,0.018
5327,-0.40524220503784,0.0255,0.0015,0.018
5328,0.31419355949728,0.027,0,0.018
5329,0.028844581223603,0.027,0.0015,0.018
5330,0.28331770532987,0.0285,0,0.018
5331,0.31217340820644,0.0285,0.0015,0.018
5332,0.11037436918784,0.03,0,0.018
5333,0.3736163647134,0.03,0.0015,0.018
5334,0.13547753826434,0.0015,0.003,0.018
5335,0.30745724190162,0,0.003,0.018
5336,-0.30535970837284,0.003,0.003,0.018
5337,-0.84189321448776,0.0045,0.003,0.018
5338,-1.3660906115716,0.006,0.003,0.018
5339,-1.7654569571827,0.0075,0.003,0.018
5340,-2.0404958015233,0.009,0.003,0.018
5341,-2.1392813469843,0.0105,0.003,0.018
5342,-2.187023912291,0.012,0.003,0.018
5343,-2.1491720031434,0.0135,0.003,0.018
5344,-2.180455645578,0.015,0.003,0.018
5345,-2.1743112812855,0.0165,0.003,0.018
5346,-2.2342112875758,0.018,0.003,0.018
