x,y,z,value
0,0,0.018,-0.000122586785894222
0.0015,0,0.018,7.99160553832386e-05
0.0015,0.0015,0.018,0.00014466134529907
0,0.0015,0.018,-0.000184239712122122
0.003,0,0.018,-0.000103179251816348
0.003,0.0015,0.018,-2.73834470070243e-05
0.0045,0,0.018,-0.000102562314190816
0.0045,0.0015,0.018,0.000194827209962491
0.006,0,0.018,-7.05231557492923e-05
0.006,0.0015,0.018,1.8397380382536e-05
0.0075,0,0.018,-0.000182538888113478
0.0075,0.0015,0.018,-1.00532904618846e-05
0.009,0,0.018,-9.63034157221512e-05
0.009,0.0015,0.018,1.67783724892075e-05
0.0105,0,0.018,-0.000231097147091843
0.0105,0.0015,0.018,4.18738812122132e-05
0.012,0,0.018,0.000202375005482291
0.012,0.0015,0.018,-0.000352995482550573
0.0135,0,0.018,-1.1855053686571e-05
0.0135,0.0015,0.018,-0.000235350661637196
0.015,0,0.018,-0.000151433533927807
0.015,0.0015,0.018,-7.7868004549165e-05
0.0165,0,0.018,0.000112078163104698
0.0165,0.0015,0.018,7.25204483691403e-05
0.018,0,0.018,0.000343506220190382
0.018,0.0015,0.018,-0.000129819098118906
0.0195,0,0.018,-0.000188272373008493
0.0195,0.0015,0.018,-0.000257771557518165
0.021,0,0.018,-0.000131501284845873
0.021,0.0015,0.018,7.64280921370816e-05
0.0225,0,0.018,0.000334316559949407
0.0225,0.0015,0.018,-0.000185475658652833
0.024,0,0.018,-0.000125959594419167
0.024,0.0015,0.018,-0.000163067571311821
0.0255,0,0.018,0.000189264719489035
0.0255,0.0015,0.018,0.000506678996749218
0.027,0,0.018,0.000119294828014796
0.027,0.0015,0.018,3.9676557327853e-05
0.0285,0,0.018,0.000302107637248943
0.0285,0.0015,0.018,-0.000315803151279123
0.03,0,0.018,0.00030351010361782
0.03,0.0015,0.018,-0.000243164251564438
0.0015,0.003,0.018,2.52240211280983e-05
0,0.003,0.018,2.45752523761276e-05
0.003,0.003,0.018,0.00010387080512939
0.0045,0.003,0.018,-0.000237546354961899
0.006,0.003,0.018,0.000190043516633254
0.0075,0.003,0.018,-5.81163854616721e-06
0.009,0.003,0.018,-0.000211952222170516
0.0105,0.003,0.018,0.000331520586688245
0.012,0.003,0.018,0.000338003798740191
0.0135,0.003,0.018,-0.000141870714982563
0.015,0.003,0.018,-7.87996580408506e-05
0.0165,0.003,0.018,-9.73879077170026e-05
0.018,0.003,0.018,-0.000471173711395999
0.0195,0.003,0.018,2.47534072157843e-05
0.021,0.003,0.018,-0.000231100778930069
0.0225,0.003,0.018,-0.000414370225105706
0.024,0.003,0.018,-0.000184328256285791
0.0255,0.003,0.018,0.00037623828804254
0.027,0.003,0.018,-0.000138931563027433
0.0285,0.003,0.018,-0.000190299324939039
0.03,0.003,0.018,-0.000129208812277724
0.0015,0.0045,0.018,-0.000299292639273538
0,0.0045,0.018,-5.85193325462757e-05
0.003,0.0045,0.018,-0.000426381600365225
0.0045,0.0045,0.018,0.0001605815064944
0.006,0.0045,0.018,0.000192476202033808
0.0075,0.0045,0.018,-3.51715743301852e-05
0.009,0.0045,0.018,0.000140296023285218
0.0105,0.0045,0.018,0.000214975934952284
0.012,0.0045,0.018,-0.000110699473676763
0.0135,0.0045,0.018,0.000308847422516779
0.015,0.0045,0.018,-0.000264988080718397
0.0165,0.0045,0.018,-0.000145980103142305
0.018,0.0045,0.018,-8.49268823178528e-06
0.0195,0.0045,0.018,-0.000160426180288792
0.021,0.0045,0.018,-8.06925050849176e-05
0.0225,0.0045,0.018,0.000170181349542197
0.024,0.0045,0.018,0.000416950773505637
0.0255,0.0045,0.018,0.000132059137568498
0.027,0.0045,0.018,-4.52355907053626e-05
0.0285,0.0045,0.018,8.01321198849399e-05
0.03,0.0045,0.018,-0.000348645537970838
0.0015,0.006,0.018,-0.000161987873088964
0,0.006,0.018,-0.000119845737053183
0.003,0.006,0.018,-0.00010248934187199
