x,y,z,value
0,0,0.018,0.000135311669029814
0.0015,0,0.018,0.000282632327598466
0.0015,0.0015,0.018,9.29142395253359e-05
0,0.0015,0.018,0.000424022854638723
0.003,0,0.018,0.000417463385509193
0.003,0.0015,0.018,-0.00011111380919393
0.0045,0,0.018,-1.20737673463248e-05
0.0045,0.0015,0.018,9.48926638934944e-05
0.006,0,0.018,0.000414580234872069
0.006,0.0015,0.018,-0.000169040762509483
0.0075,0,0.018,0.000118684117234062
0.0075,0.0015,0.018,-0.000144184917301304
0.009,0,0.018,2.2100247970398e-05
0.009,0.0015,0.018,-2.22947639775192e-05
0.0105,0,0.018,-4.3463778598757e-05
0.0105,0.0015,0.018,0.000426777431026145
0.012,0,0.018,-0.000178470239580582
0.012,0.0015,0.018,0.000210404019780063
0.0135,0,0.018,0.000440641310022789
0.0135,0.0015,0.018,-3.42656788333986e-05
0.015,0,0.018,-0.000147814746504136
0.015,0.0015,0.018,0.000131289448231661
0.0165,0,0.018,-0.000153501767578316
0.0165,0.0015,0.018,-0.00017127122813679
0.018,0,0.018,-3.24073367212853e-05
0.018,0.0015,0.018,3.2552892452708e-05
0.0195,0,0.018,-0.000446676120610433
0.0195,0.0015,0.018,-9.66481864166051e-05
0.021,0,0.018,-0.000369655009459545
0.021,0.0015,0.018,-3.34655485283995e-05
0.0225,0,0.018,0.000200625514227955
0.0225,0.0015,0.018,0.000192690515822025
0.024,0,0.018,3.3652062465425e-05
0.024,0.0015,0.018,-0.000229061749594343
0.0255,0,0.018,0.000524038335915158
0.0255,0.0015,0.018,4.71978891618032e-05
0.027,0,0.018,-0.00016833469645393
0.027,0.0015,0.018,-0.000431110611104886
0.0285,0,0.018,-0.000272920119379616
0.0285,0.0015,0.018,-0.000180654209527635
0.03,0,0.018,2.39900990299659e-05
0.03,0.0015,0.018,-0.000288048788784971
0.0015,0.003,0.018,0.000161370046813059
0,0.003,0.018,-0.000271949051367128
0.003,0.003,0.018,-0.000148570408050804
0.0045,0.003,0.018,-0.000207610345127565
0.006,0.003,0.018,-3.58662756493726e-05
0.0075,0.003,0.018,-0.000336160522806451
0.009,0.003,0.018,0.000739715133806629
0.0105,0.003,0.018,0.000378059183834928
0.012,0.003,0.018,-0.000373889130539558
0.0135,0.003,0.018,-0.000211238302994695
0.015,0.003,0.018,-3.74714826669594e-05
0.0165,0.003,0.018,3.07600942896654e-05
0.018,0.003,0.018,7.33943171421111e-05
0.0195,0.003,0.018,0.00020503706329805
0.021,0.003,0.018,-6.58064724847823e-05
0.0225,0.003,0.018,0.000191639557525044
0.024,0.003,0.018,0.000106027208006418
0.0255,0.003,0.018,0.000338550248621373
0.027,0.003,0.018,-1.15744538280595e-05
0.0285,0.003,0.018,0.000106236993880761
0.03,0.003,0.018,-0.000278551456569821
0.0015,0.0045,0.018,-0.000196954129073029
0,0.0045,0.018,-0.000190534937866121
0.003,0.0045,0.018,0.000390016729105168
0.0045,0.0045,0.018,-0.000451292494949971
0.006,0.0045,0.018,0.000141983976102939
0.0075,0.0045,0.018,-0.00024336235676488
0.009,0.0045,0.018,-0.000109514070248679
0.0105,0.0045,0.018,0.000316797980860818
0.012,0.0045,0.018,0.000201742714542951
0.0135,0.0045,0.018,8.06649262429196e-05
0.015,0.0045,0.018,9.99198773374406e-05
0.0165,0.0045,0.018,-0.000277060776183241
0.018,0.0045,0.018,-0.00022224039330902
0.0195,0.0045,0.018,-0.000259923983366446
0.021,0.0045,0.018,-0.000153623280187139
0.0225,0.0045,0.018,1.57444597973401e-06
0.024,0.0045,0.018,0.000200962411992307
0.0255,0.0045,0.018,-0.000120762865135349
0.027,0.0045,0.018,-0.000214722122266902
0.0285,0.0045,0.018,0.000200678611402436
0.03,0.0045,0.018,0.000123827534867807
0.0015,0.006,0.018,-5.90137626543394e-05
0,0.006,0.018,9.68625707552728e-05
0.003,0.006,0.018,3.2602025776435e-05
0.0045,0.006,0.018,8.84130456748616e-05
0.006,0.006,0.018,0.000563022764578976
0.0075,0.006,0.018,0.000167445246608368
0.009,0.006,0.018,-0.000132572975999797
0.0105,0.006,0.018,-0.000205864887173561
0.012,0.006,0.018,-0.000292107012923645
0.0135,0.006,0.018,0.000308569916326422
0.015,0.006,0.018,0.000143791708753221
0.0165,0.006,0.018,-4.80686724391212e-05
0.018,0.006,0.018,0.000170600182064694
0.0195,0.006,0.018,6.1734782608857e-05
0.021,0.006,0.018,0.000107386906612365
