id,uzr,x,y,z
60,-0.22362504510409,0.015,0,0
61,-0.17432115039401,0.015,0.001,0
62,-0.20303714167935,0.015,0,0.001
63,0.081000670890176,0.015,0.001,0.001
154,0.11904997986613,0.015,0.002,0
155,0.52347649240984,0.015,0.002,0.001
216,0.51756465144399,0.015,0.003,0
217,0.91207696340538,0.015,0.003,0.001
278,0.82644817777111,0.015,0.004,0
279,1.2253182530127,0.015,0.004,0.001
340,1.0733670745774,0.015,0.005,0
341,1.2762764178027,0.015,0.005,0.001
402,1.0697099923951,0.015,0.006,0
403,1.1517896269085,0.015,0.006,0.001
464,0.94014956347748,0.015,0.007,0
465,0.73371931976795,0.015,0.007,0.001
526,0.54494026142041,0.015,0.008,0
527,0.22801625065659,0.015,0.008,0.001
588,0.1128002820972,0.015,0.009,0
589,-0.43598954363485,0.015,0.009,0.001
650,-0.47115735517181,0.015,0.01,0
651,-0.98051946610212,0.015,0.01,0.001
712,-0.91837017403839,0.015,0.011,0
713,-1.5039504278008,0.015,0.011,0.001
774,-1.3761557983545,0.015,0.012,0
775,-1.7351314163843,0.015,0.012,0.001
836,-1.562660651021,0.015,0.013,0
837,-1.8607062317323,0.015,0.013,0.001
898,-1.6906939487682,0.015,0.014,0
899,-1.668864624151,0.015,0.014,0.001
960,-1.5358630232773,0.015,0.015,0
961,-1.4204508047506,0.015,0.015,0.001
1022,-1.3435773518809,0.015,0.016,0
1023,-0.97055917851552,0.015,0.016,0.001
1084,-0.96974117610508,0.015,0.017,0
1085,-0.5650193374598,0.015,0.017,0.001
1146,-0.60701427417437,0.015,0.018,0
1147,-0.1151631889499,0.015,0.018,0.001
1208,-0.20466692472456,0.015,0.019,0
1209,0.25352522198809,0.015,0.019,0.001
1270,0.18011166314606,0.015,0.02,0
1271,0.55864275953958,0.015,0.02,0.001
1332,0.48431691082224,0.015,0.021,0
1333,0.84387289698602,0.015,0.021,0.001
1394,0.8066470819409,0.015,0.022,0
1395,1.0157072644789,0.015,0.022,0.001
1952,-0.046518152234966,0.015,0,0.002
1953,0.55867194989983,0.015,0.001,0.002
1999,0.96580650718104,0.015,0.002,0.002
2030,1.333235914792,0.015,0.003,0.002
2061,1.3841103515436,0.015,0.004,0.002
2092,1.2827354935182,0.015,0.005,0.002
2123,0.82068830186993,0.015,0.006,0.002
2154,0.30402778343823,0.015,0.007,0.002
2185,-0.43403653077715,0.015,0.008,0.002
2216,-0.98475166769318,0.015,0.009,0.002
2247,-1.5652556842112,0.015,0.01,0.002
2278,-1.7468405765376,0.015,0.011,0.002
2309,-1.8784002744058,0.015,0.012,0.002
2340,-1.5699348173473,0.015,0.013,0.002
2371,-1.2967157446295,0.015,0.014,0.002
2402,-0.72082365159823,0.015,0.015,0.002
2433,-0.32893649888722,0.015,0.016,0.002
2464,0.16173424200717,0.015,0.017,0.002
2495,0.42164404784277,0.015,0.018,0.002
2526,0.62989644650386,0.015,0.019,0.002
2557,0.74176619330469,0.015,0.02,0.002
2588,0.73304124594886,0.015,0.021,0.002
2619,0.85178969501112,0.015,0.022,0.002
2913,0.33489536801272,0.015,0,0.003
2914,0.97085606670507,0.015,0.001,0.003
2960,1.4844499814862,0.015,0.002,0.003
2991,1.5640590957388,0.015,0.003,0.003
3022,1.4830779638531,0.015,0.004,0.003
3053,0.95560100610191,0.015,0.005,0.003
3084,0.38814034348998,0.015,0.006,0.003
3115,-0.46111517710453,0.015,0.007,0.003
3146,-1.0563813264096,0.015,0.008,0.003
3177,-1.7096290995174,0.015,0.009,0.003
3208,-1.8425029220844,0.015,0.01,0.003
3239,-1.9513667216803,0.015,0.011,0.003
3270,-1.4754427320801,0.015,0.012,0.003
3301,-1.1142068601681,0.015,0.013,0.003
3332,-0.32390088707448,0.015,0.014,0.003
