id,integral_strain_stress,x,y,z
0,1.0603433134448e-09,0.0005,0.0005,0.0005
1,5.6037770127628e-10,0.0015,0.0005,0.0005
2,-1.5643013359621e-09,0.0025,0.0005,0.0005
3,-3.2026446495714e-09,0.0035,0.0005,0.0005
4,-3.002001515252e-09,0.0045,0.0005,0.0005
5,-1.4930137536135e-09,0.0055,0.0005,0.0005
6,1.0408609140902e-10,0.0065,0.0005,0.0005
7,1.1128480219869e-09,0.0075,0.0005,0.0005
8,1.4694215634995e-09,0.0085,0.0005,0.0005
9,1.2990457551775e-09,0.0095,0.0005,0.0005
10,4.2234052073617e-10,0.0105,0.0005,0.0005
11,-1.0290833952135e-09,0.0115,0.0005,0.0005
12,-2.1500469904753e-09,0.0125,0.0005,0.0005
13,-1.9699148910476e-09,0.0135,0.0005,0.0005
14,-1.6447661963649e-09,0.0145,0.0005,0.0005
15,-1.6447661963631e-09,0.0155,0.0005,0.0005
16,-1.9699148910471e-09,0.0165,0.0005,0.0005
17,-2.1500469904758e-09,0.0175,0.0005,0.0005
18,-1.0290833952136e-09,0.0185,0.0005,0.0005
19,4.2234052073699e-10,0.0195,0.0005,0.0005
20,1.2990457551786e-09,0.0205,0.0005,0.0005
21,1.4694215635001e-09,0.0215,0.0005,0.0005
22,1.112848021987e-09,0.0225,0.0005,0.0005
23,1.0408609140757e-10,0.0235,0.0005,0.0005
24,-1.4930137536163e-09,0.0245,0.0005,0.0005
25,-3.0020015152561e-09,0.0255,0.0005,0.0005
26,-3.2026446495758e-09,0.0265,0.0005,0.0005
27,-1.5643013359652e-09,0.0275,0.0005,0.0005
28,5.6037770127503e-10,0.0285,0.0005,0.0005
29,1.0603433134452e-09,0.0295,0.0005,0.0005
30,1.6963568875306e-10,0.0005,0.0015,0.0005
31,-2.6218646480375e-09,0.0015,0.0015,0.0005
32,-3.8725994484275e-09,0.0025,0.0015,0.0005
33,-2.4983267951137e-09,0.0035,0.0015,0.0005
34,-5.8726166700297e-11,0.0045,0.0015,0.0005
35,1.2334487080499e-09,0.0055,0.0015,0.0005
36,8.22285823074e-10,0.0065,0.0015,0.0005
37,-4.6674131127988e-10,0.0075,0.0015,0.0005
38,-1.7053229513241e-09,0.0085,0.0015,0.0005
39,-2.6143671777507e-09,0.0095,0.0015,0.0005
40,-3.3597585593279e-09,0.0105,0.0015,0.0005
41,-3.4344797058869e-09,0.0115,0.0015,0.0005
42,-2.1347430213818e-09,0.0125,0.0015,0.0005
43,1.6663457625382e-10,0.0135,0.0015,0.0005
44,2.0194906744451e-09,0.0145,0.0015,0.0005
45,2.0194906744489e-09,0.0155,0.0015,0.0005
46,1.666345762548e-10,0.0165,0.0015,0.0005
47,-2.1347430213802e-09,0.0175,0.0015,0.0005
48,-3.4344797058854e-09,0.0185,0.0015,0.0005
49,-3.3597585593264e-09,0.0195,0.0015,0.0005
50,-2.6143671777498e-09,0.0205,0.0015,0.0005
51,-1.7053229513237e-09,0.0215,0.0015,0.0005
52,-4.6674131127915e-10,0.0225,0.0015,0.0005
53,8.2228582307563e-10,0.0235,0.0015,0.0005
54,1.2334487080525e-09,0.0245,0.0015,0.0005
55,-5.8726166698988e-11,0.0255,0.0015,0.0005
56,-2.4983267951145e-09,0.0265,0.0015,0.0005
57,-3.8725994484301e-09,0.0275,0.0015,0.0005
58,-2.6218646480402e-09,0.0285,0.0015,0.0005
59,1.6963568875115e-10,0.0295,0.0015,0.0005
60,-8.0872796394955e-10,0.0005,0.0025,0.0005
61,-2.5071770523146e-09,0.0015,0.0025,0.0005
62,-1.4050301726216e-09,0.0025,0.0025,0.0005
63,1.0841760378744e-09,0.0035,0.0025,0.0005
64,2.1793430728772e-09,0.0045,0.0025,0.0005
65,1.0838011383772e-09,0.0055,0.0025,0.0005
66,-7.6870494172188e-10,0.0065,0.0025,0.0005
67,-1.7613305783149e-09,0.0075,0.0025,0.0005
68,-1.502872758781e-09,0.0085,0.0025,0.0005
69,-5.6568059042502e-10,0.0095,0.0025,0.0005
70,2.5242306761595e-10,0.0105,0.0025,0.0005
71,1.0950490460606e-09,0.0115,0.0025,0.0005
72,2.5935358346907e-09,0.0125,0.0025,0.0005
73,4.6028870422085e-09,0.0135,0.0025,0.0005
74,5.7641314057274e-09,0.0145,0.0025,0.0005
75,5.7641314057357e-09,0.0155,0.0025,0.0005
76,4.6028870422103e-09,0.0165,0.0025,0.0005
77,2.5935358346912e-09,0.0175,0.0025,0.0005
78,1.0950490460611e-09,0.0185,0.0025,0.0005
79,2.5242306761744e-10,0.0195,0.0025,0.0005
80,-5.65680590424e-10,0.0205,0.0025,0.0005
81,-1.5028727587806e-09,0.0215,0.0025,0.0005
82,-1.7613305783146e-09,0.0225,0.0025,0.0005
83,-7.6870494172037e-10,0.0235,0.0025,0.0005
84,1.083801138382e-09,0.0245,0.0025,0.0005
85,2.1793430728837e-09,0.0255,0.0025,0.0005
86,1.084176037879e-09,0.0265,0.0025,0.0005
87,-1.4050301726199e-09,0.0275,0.0025,0.0005
88,-2.5071770523145e-09,0.0285,0.0025,0.0005
89,-8.087279639511e-10,0.0295,0.0025,0.0005
90,-2.0426710636882e-10,0.0005,0.0035,0.0005
91,-9.804421669556e-10,0.0015,0.0035,0.0005
92,2.1352753529096e-10,0.0025,0.0035,0.0005
93,1.2981212687045e-09,0.0035,0.0035,0.0005
94,8.9502243110269e-10,0.0045,0.0035,0.0005
95,-9.7111562507056e-11,0.0055,0.0035,0.0005
96,-1.3367453775428e-10,0.0065,0.0035,0.0005
97,1.0493122034207e-09,0.0075,0.0035,0.0005
98,2.4854776756562e-09,0.0085,0.0035,0.0005
99,3.2275464857275e-09,0.0095,0.0035,0.0005
100,2.8263595367176e-09,0.0105,0.0035,0.0005
101,1.95394110566e-09,0.0115,0.0035,0.0005
102,1.80581758419e-09,0.0125,0.0035,0.0005
103,2.4230771531696e-09,0.0135,0.0035,0.0005
104,2.9868598321413e-09,0.0145,0.0035,0.0005
105,2.9868598321492e-09,0.0155,0.0035,0.0005
106,2.4230771531647e-09,0.0165,0.0035,0.0005
107,1.8058175841859e-09,0.0175,0.0035,0.0005
108,1.9539411056564e-09,0.0185,0.0035,0.0005
109,2.8263595367153e-09,0.0195,0.0035,0.0005
110,3.2275464857266e-09,0.0205,0.0035,0.0005
111,2.4854776756556e-09,0.0215,0.0035,0.0005
112,1.0493122034197e-09,0.0225,0.0035,0.0005
113,-1.3367453775315e-10,0.0235,0.0035,0.0005
114,-9.7111562503397e-11,0.0245,0.0035,0.0005
115,8.9502243110937e-10,0.0255,0.0035,0.0005
116,1.2981212687109e-09,0.0265,0.0035,0.0005
117,2.1352753529501e-10,0.0275,0.0035,0.0005
118,-9.8044216695239e-10,0.0285,0.0035,0.0005
119,-2.0426710636716e-10,0.0295,0.0035,0.0005
120,1.9809370787191e-10,0.0005,0.0045,0.0005
121,-1.7176711672301e-09,0.0015,0.0045,0.0005
122,-1.3453096873821e-09,0.0025,0.0045,0.0005
123,-2.3010883870258e-10,0.0035,0.0045,0.0005
124,8.9004974309254e-10,0.0045,0.0045,0.0005
125,2.0703089668735e-09,0.0055,0.0045,0.0005
126,3.1862724820234e-09,0.0065,0.0045,0.0005
127,3.3903710086484e-09,0.0075,0.0045,0.0005
128,1.9826351340263e-09,0.0085,0.0045,0.0005
129,-6.9974728898857e-10,0.0095,0.0045,0.0005
130,-3.6543816039599e-09,0.0105,0.0045,0.0005
131,-5.4654301562401e-09,0.0115,0.0045,0.0005
132,-4.9755723409121e-09,0.0125,0.0045,0.0005
133,-2.9676541372328e-09,0.0135,0.0045,0.0005
134,-2.7328265576419e-10,0.0145,0.0045,0.0005
135,-2.7328265575572e-10,0.0155,0.0045,0.0005
136,-2.9676541372412e-09,0.0165,0.0045,0.0005
137,-4.9755723409191e-09,0.0175,0.0045,0.0005
138,-5.4654301562467e-09,0.0185,0.0045,0.0005
139,-3.6543816039657e-09,0.0195,0.0045,0.0005
140,-6.9974728899304e-10,0.0205,0.0045,0.0005
141,1.9826351340222e-09,0.0215,0.0045,0.0005
142,3.3903710086431e-09,0.0225,0.0045,0.0005
143,3.1862724820208e-09,0.0235,0.0045,0.0005
144,2.0703089668735e-09,0.0245,0.0045,0.0005
145,8.9004974309441e-10,0.0255,0.0045,0.0005
146,-2.3010883869962e-10,0.0265,0.0045,0.0005
147,-1.3453096873804e-09,0.0275,0.0045,0.0005
148,-1.7176711672279e-09,0.0285,0.0045,0.0005
149,1.9809370787481e-10,0.0295,0.0045,0.0005
150,-1.8527716667318e-09,0.0005,0.0055,0.0005
151,-3.4012016840727e-09,0.0015,0.0055,0.0005
152,-7.7510722709893e-10,0.0025,0.0055,0.0005
153,2.6995787994146e-09,0.0035,0.0055,0.0005
154,4.5334792261755e-09,0.0045,0.0055,0.0005
155,4.2410844598156e-09,0.0055,0.0055,0.0005
156,2.3134001601433e-09,0.0065,0.0055,0.0005
157,-7.7342844043023e-10,0.0075,0.0055,0.0005
158,-4.5204249470116e-09,0.0085,0.0055,0.0005
159,-7.8422621496257e-09,0.0095,0.0055,0.0005
160,-9.4995809745796e-09,0.0105,0.0055,0.0005
161,-8.4410073769805e-09,0.0115,0.0055,0.0005
162,-4.2099688963593e-09,0.0125,0.0055,0.0005
163,9.3778117802559e-10,0.0135,0.0055,0.0005
164,5.9798250761431e-09,0.0145,0.0055,0.0005
165,5.9798250761575e-09,0.0155,0.0055,0.0005
166,9.3778117801948e-10,0.0165,0.0055,0.0005
167,-4.2099688963617e-09,0.0175,0.0055,0.0005
168,-8.4410073769811e-09,0.0185,0.0055,0.0005
169,-9.4995809745793e-09,0.0195,0.0055,0.0005
170,-7.8422621496265e-09,0.0205,0.0055,0.0005
171,-4.5204249470153e-09,0.0215,0.0055,0.0005
172,-7.7342844043801e-10,0.0225,0.0055,0.0005
173,2.3134001601355e-09,0.0235,0.0055,0.0005
174,4.2410844598112e-09,0.0245,0.0055,0.0005
175,4.5334792261718e-09,0.0255,0.0055,0.0005
176,2.6995787994133e-09,0.0265,0.0055,0.0005
177,-7.7510722709965e-10,0.0275,0.0055,0.0005
178,-3.4012016840734e-09,0.0285,0.0055,0.0005
179,-1.8527716667309e-09,0.0295,0.0055,0.0005
