id,integral_strain_stress,x,y,z
0,2.024851512265e-08,0.00025,0.00025,0
1,4.0316258967135e-08,0.00075,0.00025,0
2,-3.9780119935238e-08,0.00125,0.00025,0
3,-8.0185863929326e-08,0.00175,0.00025,0
4,-5.1870865520315e-08,0.00225,0.00025,0
5,1.3953686127099e-08,0.00275,0.00025,0
6,7.9310573944426e-08,0.00325,0.00025,0
7,8.8577970200347e-08,0.00375,0.00025,0
8,2.5122036007807e-08,0.00425,0.00025,0
9,-6.7044023687693e-08,0.00475,0.00025,0
10,-1.4393285201476e-07,0.00525,0.00025,0
11,-1.365414433463e-07,0.00575,0.00025,0
12,1.0507023140146e-08,0.00625,0.00025,0
13,1.519652927969e-07,0.00675,0.00025,0
14,1.4474755164662e-07,0.00725,0.00025,0
15,2.117660779555e-08,0.00775,0.00025,0
16,-9.779441452141e-08,0.00825,0.00025,0
17,-9.3556223366107e-08,0.00875,0.00025,0
18,-1.7865300601592e-08,0.00925,0.00025,0
19,3.6291895548727e-08,0.00975,0.00025,0
20,4.5579011667472e-08,0.01025,0.00025,0
21,1.6918585073884e-08,0.01075,0.00025,0
22,-8.2302393811211e-09,0.01125,0.00025,0
23,3.6430022277435e-08,0.01175,0.00025,0
24,1.690267286929e-07,0.01225,0.00025,0
25,2.8392137983047e-07,0.01275,0.00025,0
26,2.8834510450247e-07,0.01325,0.00025,0
27,2.0243898270833e-08,0.01375,0.00025,0
28,-6.4130907165569e-08,0.01425,0.00025,0
29,1.3186097343174e-07,0.01475,0.00025,0
30,1.318609734318e-07,0.01525,0.00025,0
31,-6.4130907165619e-08,0.01575,0.00025,0
32,2.0243898270815e-08,0.01625,0.00025,0
33,2.8834510450254e-07,0.01675,0.00025,0
34,2.8392137983056e-07,0.01725,0.00025,0
35,1.6902672869301e-07,0.01775,0.00025,0
36,3.6430022277499e-08,0.01825,0.00025,0
37,-8.2302393811311e-09,0.01875,0.00025,0
38,1.6918585073832e-08,0.01925,0.00025,0
39,4.5579011667416e-08,0.01975,0.00025,0
40,3.6291895548675e-08,0.02025,0.00025,0
41,-1.7865300601656e-08,0.02075,0.00025,0
42,-9.3556223366184e-08,0.02125,0.00025,0
43,-9.779441452148e-08,0.02175,0.00025,0
44,2.1176607795511e-08,0.02225,0.00025,0
45,1.4474755164669e-07,0.02275,0.00025,0
46,1.51965292797e-07,0.02325,0.00025,0
47,1.0507023140198e-08,0.02375,0.00025,0
48,-1.3654144334637e-07,0.02425,0.00025,0
49,-1.4393285201486e-07,0.02475,0.00025,0
50,-6.7044023687771e-08,0.02525,0.00025,0
51,2.5122036007838e-08,0.02575,0.00025,0
52,8.85779702005e-08,0.02625,0.00025,0
53,7.931057394455e-08,0.02675,0.00025,0
54,1.39536861271e-08,0.02725,0.00025,0
55,-5.1870865520403e-08,0.02775,0.00025,0
56,-8.0185863929401e-08,0.02825,0.00025,0
57,-3.9780119935208e-08,0.02875,0.00025,0
58,4.0316258967204e-08,0.02925,0.00025,0
59,2.024851512265e-08,0.02975,0.00025,0
60,3.4152922425975e-08,0.00025,0.00075,0
61,-9.67784566335e-08,0.00075,0.00075,0
62,-9.4957359352789e-08,0.00125,0.00075,0
63,-1.8251118463185e-08,0.00175,0.00075,0
64,6.6406016890421e-08,0.00225,0.00075,0
65,7.7125808791258e-08,0.00275,0.00075,0
66,2.9386284346807e-09,0.00325,0.00075,0
67,-9.8442621326458e-08,0.00375,0.00075,0
68,-1.7562105222677e-07,0.00425,0.00075,0
69,-1.8437015815724e-07,0.00475,0.00075,0
70,-7.8146289608176e-08,0.00525,0.00075,0
71,7.4044447856437e-08,0.00575,0.00075,0
72,9.4788545861243e-08,0.00625,0.00075,0
73,-2.2466626366626e-08,0.00675,0.00075,0
74,-1.6362022315172e-07,0.00725,0.00075,0
75,-1.7933501117893e-07,0.00775,0.00075,0
76,-6.2198461343264e-08,0.00825,0.00075,0
77,2.9854367490346e-08,0.00875,0.00075,0
78,6.2026989700187e-08,0.00925,0.00075,0
79,6.1435568937991e-08,0.00975,0.00075,0
80,2.8675737091672e-08,0.01025,0.00075,0
81,-1.9810596683045e-08,0.01075,0.00075,0
82,-3.1791827022433e-08,0.01125,0.00075,0
83,2.1823340210109e-08,0.01175,0.00075,0
84,4.5263572165567e-08,0.01225,0.00075,0
85,-9.5206803610061e-08,0.01275,0.00075,0
86,-5.0357455937294e-07,0.01325,0.00075,0
87,-6.9555552818601e-07,0.01375,0.00075,0
88,-9.1750752933915e-07,0.01425,0.00075,0
89,-1.2721585900056e-06,0.01475,0.00075,0
90,-1.2721585900058e-06,0.01525,0.00075,0
91,-9.1750752933921e-07,0.01575,0.00075,0
92,-6.9555552818629e-07,0.01625,0.00075,0
93,-5.0357455937343e-07,0.01675,0.00075,0
94,-9.5206803610245e-08,0.01725,0.00075,0
95,4.5263572165632e-08,0.01775,0.00075,0
96,2.1823340210223e-08,0.01825,0.00075,0
97,-3.1791827022333e-08,0.01875,0.00075,0
98,-1.9810596682992e-08,0.01925,0.00075,0
99,2.8675737091694e-08,0.01975,0.00075,0
100,6.1435568937992e-08,0.02025,0.00075,0
101,6.2026989700167e-08,0.02075,0.00075,0
102,2.985436749032e-08,0.02125,0.00075,0
103,-6.2198461343334e-08,0.02175,0.00075,0
104,-1.7933501117899e-07,0.02225,0.00075,0
105,-1.636202231518e-07,0.02275,0.00075,0
106,-2.2466626366686e-08,0.02325,0.00075,0
107,9.4788545861267e-08,0.02375,0.00075,0
108,7.4044447856491e-08,0.02425,0.00075,0
109,-7.8146289608192e-08,0.02475,0.00075,0
110,-1.8437015815735e-07,0.02525,0.00075,0
111,-1.7562105222692e-07,0.02575,0.00075,0
112,-9.8442621326547e-08,0.02625,0.00075,0
113,2.9386284347081e-09,0.02675,0.00075,0
114,7.7125808791361e-08,0.02725,0.00075,0
115,6.6406016890455e-08,0.02775,0.00075,0
116,-1.8251118463283e-08,0.02825,0.00075,0
117,-9.4957359352922e-08,0.02875,0.00075,0
118,-9.6778456633525e-08,0.02925,0.00075,0
119,3.4152922426044e-08,0.02975,0.00075,0
120,-4.1633871335223e-08,0.00025,0.00125,0
121,-8.7566519092431e-08,0.00075,0.00125,0
122,2.7301640939903e-09,0.00125,0.00125,0
123,1.0244729740287e-07,0.00175,0.00125,0
124,1.0247335302037e-07,0.00225,0.00125,0
125,-8.5654244278984e-10,0.00275,0.00125,0
126,-1.1008206891884e-07,0.00325,0.00125,0
127,-1.5713401949079e-07,0.00375,0.00125,0
128,-1.2889487006084e-07,0.00425,0.00125,0
129,-2.9316150311228e-08,0.00475,0.00125,0
130,9.2932689702794e-08,0.00525,0.00125,0
131,9.8492260133612e-08,0.00575,0.00125,0
132,-5.487200944377e-08,0.00625,0.00125,0
133,-2.4686480596471e-07,0.00675,0.00125,0
134,-2.7854913882553e-07,0.00725,0.00125,0
135,-9.6120362474638e-08,0.00775,0.00125,0
136,6.1955621920248e-08,0.00825,0.00125,0
137,9.5481513135013e-08,0.00875,0.00125,0
138,4.431980136212e-08,0.00925,0.00125,0
139,-4.1247456187618e-08,0.00975,0.00125,0
140,-1.1984330591797e-07,0.01025,0.00125,0
141,-1.5353479846769e-07,0.01075,0.00125,0
142,-9.1936631893876e-08,0.01125,0.00125,0
143,1.6120615939136e-08,0.01175,0.00125,0
144,-1.2092896816682e-09,0.01225,0.00125,0
145,-1.8937028047174e-07,0.01275,0.00125,0
146,-3.9411997043128e-07,0.01325,0.00125,0
147,-3.1293281646544e-07,0.01375,0.00125,0
148,-5.744316650922e-07,0.01425,0.00125,0
149,-5.7679794224181e-07,0.01475,0.00125,0
150,-5.7679794224164e-07,0.01525,0.00125,0
151,-5.7443166509221e-07,0.01575,0.00125,0
152,-3.1293281646559e-07,0.01625,0.00125,0
153,-3.9411997043162e-07,0.01675,0.00125,0
154,-1.8937028047216e-07,0.01725,0.00125,0
155,-1.2092896818623e-09,0.01775,0.00125,0
156,1.612061593918e-08,0.01825,0.00125,0
157,-9.193663189379e-08,0.01875,0.00125,0
158,-1.5353479846763e-07,0.01925,0.00125,0
159,-1.1984330591792e-07,0.01975,0.00125,0
160,-4.1247456187556e-08,0.02025,0.00125,0
161,4.4319801362166e-08,0.02075,0.00125,0
162,9.5481513135022e-08,0.02125,0.00125,0
163,6.1955621920256e-08,0.02175,0.00125,0
164,-9.6120362474653e-08,0.02225,0.00125,0
165,-2.7854913882562e-07,0.02275,0.00125,0
166,-2.468648059649e-07,0.02325,0.00125,0
167,-5.4872009443911e-08,0.02375,0.00125,0
168,9.8492260133633e-08,0.02425,0.00125,0
169,9.2932689702941e-08,0.02475,0.00125,0
170,-2.9316150311193e-08,0.02525,0.00125,0
171,-1.2889487006101e-07,0.02575,0.00125,0
172,-1.5713401949103e-07,0.02625,0.00125,0
173,-1.1008206891899e-07,0.02675,0.00125,0
174,-8.5654244277427e-10,0.02725,0.00125,0
175,1.0247335302044e-07,0.02775,0.00125,0
176,1.0244729740289e-07,0.02825,0.00125,0
177,2.7301640938827e-09,0.02875,0.00125,0
178,-8.7566519092543e-08,0.02925,0.00125,0
179,-4.1633871335201e-08,0.02975,0.00125,0
180,-6.3704087907657e-08,0.00025,0.00175,0
181,3.367670988216e-08,0.00075,0.00175,0
182,1.3579407926622e-07,0.00125,0.00175,0
183,1.2006718078328e-07,0.00175,0.00175,0
184,1.3656181420814e-08,0.00225,0.00175,0
185,-7.9079303272462e-08,0.00275,0.00175,0
186,-5.9868414970081e-08,0.00325,0.00175,0
187,4.7699803570339e-08,0.00375,0.00175,0
188,1.1720893514238e-07,0.00425,0.00175,0
189,1.0244053802914e-07,0.00475,0.00175,0
190,3.5778927088195e-08,0.00525,0.00175,0
191,-6.4451040871976e-08,0.00575,0.00175,0
192,-1.5071607913894e-07,0.00625,0.00175,0
193,-1.4527906483043e-07,0.00675,0.00175,0
194,-3.049334570609e-08,0.00725,0.00175,0
195,7.0197103347084e-08,0.00775,0.00175,0
196,8.2464868096276e-08,0.00825,0.00175,0
197,1.8272870814628e-08,0.00875,0.00175,0
198,-7.1115229864592e-08,0.00925,0.00175,0
