id,uxi,x,y,z
0.0165,0.013195282195359,0.015,0.017,0
0.0115,0.059088022021282,0.015,0.012,0
0.012,0.046054145899007,0.015,0.0125,0
0.0125,0.022121460986663,0.015,0.013,0
0.013,-0.0082230670986116,0.015,0.0135,0
0.0135,-0.038446229784809,0.015,0.014,0
0.014,-0.062136116348724,0.015,0.0145,0
0.0145,-0.073871977002103,0.015,0.015,0
0.015,-0.071010932480717,0.015,0.0155,0
0.0155,-0.053201263525918,0.015,0.016,0
0.016,-0.023477271223942,0.015,0.0165,0
0.011,0.058634795022656,0.015,0.0115,0
0.017,0.04849113890841,0.015,0.0175,0
0.0175,0.0758941243594,0.015,0.018,0
0.018,0.088012652081967,0.015,0.0185,0
0.0185,0.081413042353642,0.015,0.019,0
0.019,0.055184161774435,0.015,0.0195,0
0.0195,0.012475223542546,0.015,0.02,0
0.02,-0.040281970674112,0.015,0.0205,0
0.0205,-0.091974191418801,0.015,0.021,0
0.021,-0.13311889135507,0.015,0.0215,0
0.0215,-0.14913410136029,0.015,0.022,0
0.0055,0.060280874139089,0.015,0.006,0
0.0005,-0.057609577428549,0.015,0.001,0
0.001,-0.017836049532627,0.015,0.0015,0
0.0015,0.035445267152298,0.015,0.002,0
0.002,0.069477657957159,0.015,0.0025,0
0.0025,0.060387133520897,0.015,0.003,0
0.003,0.012388570086589,0.015,0.0035,0
0.0035,-0.043734488598543,0.015,0.004,0
0.004,-0.071662343736909,0.015,0.0045,0
0.0045,-0.052826574418119,0.015,0.005,0
0.005,0.0031223653209315,0.015,0.0055,0
0,-0.058535890795969,0.015,0.0005,0
0.006,0.083426751698648,0.015,0.0065,0
0.0065,0.055806130858372,0.015,0.007,0
0.007,-0.0031579320785534,0.015,0.0075,0
0.0075,-0.052519073188912,0.015,0.008,0
0.008,-0.061599260379667,0.015,0.0085,0
0.0085,-0.055049680785842,0.015,0.009,0
0.009,-0.035346292557434,0.015,0.0095,0
0.0095,-0.0080087004039611,0.015,0.01,0
0.01,0.020848790919401,0.015,0.0105,0
0.0105,0.044836962124697,0.015,0.011,0
