x,y,z,value
0.015,0.017,0,-0.00224659711045268
0.015,0.012,0,0.000878154899204564
0.015,0.0125,0,-2.11992333828681e-05
0.015,0.013,0,-0.000166204138223103
0.015,0.0135,0,-0.000333384983086452
0.015,0.014,0,-0.000264024264845925
0.015,0.0145,0,0.000463140453987348
0.015,0.015,0,0.00109445842964656
0.015,0.0155,0,0.000845143693609662
0.015,0.016,0,-0.000654735644575605
0.015,0.0165,0,-0.00206660968080351
0.015,0.0115,0,0.00240193280880424
0.015,0.0175,0,-0.00303729993953655
0.015,0.018,0,-0.00230192407092566
0.015,0.0185,0,-0.00101466096874153
0.015,0.019,0,-0.000471699421577432
0.015,0.0195,0,0.00170898366812539
0.015,0.02,0,-4.23527681480476e-05
0.015,0.0205,0,-0.000629900284797036
0.015,0.021,0,-0.000241585336862193
0.015,0.0215,0,-0.000899592816753447
0.015,0.022,0,-0.000856980003996921
0.015,0.006,0,-0.000488960552614881
0.015,0.001,0,-0.000538082803567957
0.015,0.0015,0,0.00103740811888933
0.015,0.002,0,-0.000537928563254214
0.015,0.0025,0,0.00112866730713551
0.015,0.003,0,0.00210690708615929
0.015,0.0035,0,0.000827789513676784
0.015,0.004,0,0.00149330386082483
0.015,0.0045,0,0.00265030493784163
0.015,0.005,0,0.00146735043762189
0.015,0.0055,0,0.00124948364679375
0.015,0.0005,0,0.000446103448854734
0.015,0.0065,0,0.00144547052171662
0.015,0.007,0,0.0012238387265503
0.015,0.0075,0,0.0015525142978935
0.015,0.008,0,0.00211762166001217
0.015,0.0085,0,-0.000264991281149235
0.015,0.009,0,-0.00091452081309612
0.015,0.0095,0,0.00117181751230694
0.015,0.01,0,0.00215873030157421
0.015,0.0105,0,0.00303061947784837
0.015,0.011,0,0.00300961386059076
