id,uxr,x,y,z
0,-0.45325352776937,0,0,0
1,-0.34036709571153,0.001,0,0
2,-0.11554425767595,0.001,0.001,0
3,-0.25862033847876,0,0.001,0
4,-0.30442484186691,0,0,0.001
5,-0.16455684846215,0.001,0,0.001
6,0.099884232478493,0.001,0.001,0.001
7,-0.050344901528026,0,0.001,0.001
8,-0.16430698107286,0.002,0,0
9,0.059279920647345,0.002,0.001,0
10,0.014757700931646,0.002,0,0.001
11,0.24938288419556,0.002,0.001,0.001
12,0.038695995987384,0.003,0,0
13,0.25471390413087,0.003,0.001,0
14,0.216245985693,0.003,0,0.001
15,0.42390451602151,0.003,0.001,0.001
16,0.25351639266042,0.004,0,0
17,0.45655824636912,0.004,0.001,0
18,0.42441974141501,0.004,0,0.001
19,0.60323871470838,0.004,0.001,0.001
20,0.47337057741493,0.005,0,0
21,0.65797725292991,0.005,0.001,0
22,0.63305370275116,0.005,0,0.001
23,0.78049734852642,0.005,0.001,0.001
24,0.69028665581429,0.006,0,0
25,0.85336589826153,0.006,0.001,0
26,0.83617142352116,0.006,0,0.001
27,0.9499914549331,0.006,0.001,0.001
28,0.89974808913611,0.007,0,0
29,1.0380843503904,0.007,0.001,0
30,1.0290887526174,0.007,0,0.001
31,1.1084320408983,0.007,0.001,0.001
32,1.0962909565207,0.008,0,0
33,1.2089389240741,0.008,0.001,0
34,1.2082167666506,0.008,0,0.001
35,1.2528546360754,0.008,0.001,0.001
36,1.2760535200075,0.009,0,0
37,1.3627825467488,0.009,0.001,0
38,1.370144066978,0.009,0,0.001
39,1.3813119959962,0.009,0.001,0.001
40,1.4351541673367,0.01,0,0
41,1.4970278740329,0.01,0.001,0
42,1.5119637543137,0.01,0,0.001
43,1.4923783842875,0.01,0.001,0.001
44,1.5698272761834,0.011,0,0
45,1.6101062581108,0.011,0.001,0
46,1.6317103094218,0.011,0,0.001
47,1.5843068073698,0.011,0.001,0.001
48,1.6782881305845,0.012,0,0
49,1.6992039389755,0.012,0.001,0
50,1.7264309080945,0.012,0,0.001
51,1.657179301843,0.012,0.001,0.001
52,1.7569016183301,0.013,0,0
53,1.7642923796292,0.013,0.001,0
54,1.7956666356356,0.013,0,0.001
55,1.7092670605711,0.013,0.001,0.001
56,1.8044790882688,0.014,0,0
57,1.8040065750099,0.014,0.001,0
58,1.8379130624567,0.014,0,0.001
59,1.7404262455411,0.014,0.001,0.001
60,1.8217832203725,0.015,0,0
61,1.816056700695,0.015,0.001,0
62,1.8509876621938,0.015,0,0.001
63,1.7518466590744,0.015,0.001,0.001
64,1.8044790882688,0.016,0,0
65,1.80400657501,0.016,0.001,0
66,1.8379130624566,0.016,0,0.001
67,1.7404262455412,0.016,0.001,0.001
68,1.7569016183304,0.017,0,0
69,1.7642923796294,0.017,0.001,0
70,1.7956666356358,0.017,0,0.001
71,1.7092670605713,0.017,0.001,0.001
72,1.6782881305848,0.018,0,0
73,1.6992039389758,0.018,0.001,0
74,1.7264309080947,0.018,0,0.001
75,1.6571793018433,0.018,0.001,0.001
76,1.5698272761838,0.019,0,0
77,1.6101062581113,0.019,0.001,0
78,1.6317103094222,0.019,0,0.001
79,1.5843068073703,0.019,0.001,0.001
80,1.4351541673372,0.02,0,0
81,1.4970278740334,0.02,0.001,0
82,1.5119637543143,0.02,0,0.001
83,1.4923783842881,0.02,0.001,0.001
84,1.276053520008,0.021,0,0
85,1.3627825467493,0.021,0.001,0
86,1.3701440669787,0.021,0,0.001
87,1.3813119959967,0.021,0.001,0.001
88,1.0962909565212,0.022,0,0
89,1.2089389240747,0.022,0.001,0
90,1.2082167666511,0.022,0,0.001
91,1.2528546360759,0.022,0.001,0.001
92,0.89974808913675,0.023,0,0
93,1.0380843503907,0.023,0.001,0
94,1.0290887526178,0.023,0,0.001
95,1.108432040899,0.023,0.001,0.001
96,0.69028665581465,0.024,0,0
97,0.85336589826201,0.024,0.001,0
98,0.83617142352159,0.024,0,0.001
99,0.94999145493367,0.024,0.001,0.001
100,0.4733705774153,0.025,0,0
101,0.65797725293034,0.025,0.001,0
102,0.6330537027516,0.025,0,0.001
103,0.78049734852694,0.025,0.001,0.001
104,0.25351639266079,0.026,0,0
105,0.45655824636955,0.026,0.001,0
106,0.42441974141548,0.026,0,0.001
107,0.60323871470884,0.026,0.001,0.001
108,0.038695995987673,0.027,0,0
109,0.2547139041313,0.027,0.001,0
110,0.21624598569339,0.027,0,0.001
111,0.42390451602191,0.027,0.001,0.001
112,-0.16430698107268,0.028,0,0
113,0.059279920647648,0.028,0.001,0
114,0.014757700931925,0.028,0,0.001
115,0.24938288419594,0.028,0.001,0.001
116,-0.34036709571149,0.029,0,0
117,-0.11554425767572,0.029,0.001,0
118,-0.16455684846198,0.029,0,0.001
119,0.099884232478775,0.029,0.001,0.001
120,-0.4532535277694,0.03,0,0
121,-0.25862033847866,0.03,0.001,0
122,-0.30442484186685,0.03,0,0.001
123,-0.050344901527819,0.03,0.001,0.001
124,0.058075267576731,0.001,0.002,0
125,-0.12046952751195,0,0.002,0
126,0.29876696819707,0.001,0.002,0.001
127,0.12532596105827,0,0.002,0.001
128,0.25056710815567,0.002,0.002,0
129,0.44640717802584,0.002,0.002,0.001
130,0.44435908357416,0.003,0.002,0
131,0.59928883776215,0.003,0.002,0.001
132,0.63394989659861,0.004,0.002,0
133,0.75221131715142,0.004,0.002,0.001
134,0.81727420944434,0.005,0.002,0
135,0.8979810100943,0.005,0.002,0.001
136,0.98956088761848,0.006,0.002,0
137,1.0340407252126,0.006,0.002,0.001
138,1.1490899034673,0.007,0.002,0
139,1.1573809810379,0.007,0.002,0.001
140,1.2932275593817,0.008,0.002,0
141,1.2670463835061,0.008,0.002,0.001
142,1.4206304084754,0.009,0.002,0
143,1.3621467988276,0.009,0.002,0.001
144,1.53023307632,0.01,0.002,0
145,1.4421126815108,0.01,0.002,0.001
146,1.6204429758637,0.011,0.002,0
147,1.507600224456,0.011,0.002,0.001
148,1.6918880030611,0.012,0.002,0
149,1.557548903049,0.012,0.002,0.001
150,1.7426286708098,0.013,0.002,0
151,1.5934729171329,0.013,0.002,0.001
152,1.7729285118463,0.014,0.002,0
153,1.6151375804367,0.014,0.002,0.001
154,1.7843035305891,0.015,0.002,0
155,1.6213184932994,0.015,0.002,0.001
156,1.7729285118464,0.016,0.002,0
157,1.615137580437,0.016,0.002,0.001
158,1.7426286708101,0.017,0.002,0
159,1.5934729171332,0.017,0.002,0.001
160,1.6918880030613,0.018,0.002,0
161,1.5575489030495,0.018,0.002,0.001
162,1.620442975864,0.019,0.002,0
163,1.5076002244565,0.019,0.002,0.001
164,1.5302330763203,0.02,0.002,0
165,1.4421126815112,0.02,0.002,0.001
166,1.4206304084758,0.021,0.002,0
167,1.3621467988281,0.021,0.002,0.001
168,1.2932275593822,0.022,0.002,0
169,1.2670463835066,0.022,0.002,0.001
170,1.1490899034679,0.023,0.002,0
171,1.1573809810384,0.023,0.002,0.001
172,0.9895608876189,0.024,0.002,0
173,1.0340407252131,0.024,0.002,0.001
174,0.81727420944493,0.025,0.002,0
175,0.89798101009475,0.025,0.002,0.001
176,0.63394989659914,0.026,0.002,0
177,0.75221131715197,0.026,0.002,0.001
178,0.44435908357462,0.027,0.002,0
179,0.59928883776269,0.027,0.002,0.001
180,0.2505671081561,0.028,0.002,0
181,0.44640717802626,0.028,0.002,0.001
182,0.05807526757706,0.029,0.002,0
183,0.29876696819744,0.029,0.002,0.001
184,-0.1204695275117,0.03,0.002,0
185,0.12532596105856,0.03,0.002,0.001
186,0.19313040700459,0.001,0.003,0
187,-0.0082850176406782,0,0.003,0
188,0.44897847440197,0.001,0.003,0.001
189,0.26754547349078,0,0.003,0.001
190,0.40188334721822,0.002,0.003,0
191,0.59470904204725,0.002,0.003,0.001
192,0.59798145736621,0.003,0.003,0
193,0.73461316728169,0.003,0.003,0.001
194,0.77779356655863,0.004,0.003,0
195,0.86307376692196,0.004,0.003,0.001
196,0.94325088363113,0.005,0.003,0
197,0.97956064378949,0.005,0.003,0.001
198,1.0931441306902,0.006,0.003,0
199,1.0822738541325,0.006,0.003,0.001
200,1.2270602502256,0.007,0.003,0
201,1.1711146228578,0.007,0.003,0.001
202,1.3445281258401,0.008,0.003,0
203,1.2461985410553,0.008,0.003,0.001
204,1.4457274103214,0.009,0.003,0
205,1.3078887262193,0.009,0.003,0.001
206,1.5301044438164,0.01,0.003,0
207,1.3577672939592,0.01,0.003,0.001
208,1.5991013027225,0.011,0.003,0
209,1.3957572169382,0.011,0.003,0.001
210,1.6512401168207,0.012,0.003,0
211,1.4247006517358,0.012,0.003,0.001
212,1.6889211521677,0.013,0.003,0
213,1.4438385721965,0.013,0.003,0.001
214,1.7115194119822,0.014,0.003,0
215,1.4548406243292,0.014,0.003,0.001
216,1.7177245310126,0.015,0.003,0
217,1.459480384056,0.015,0.003,0.001
218,1.7115194119823,0.016,0.003,0
219,1.4548406243294,0.016,0.003,0.001
220,1.6889211521677,0.017,0.003,0
221,1.4438385721969,0.017,0.003,0.001
222,1.6512401168208,0.018,0.003,0
223,1.424700651736,0.018,0.003,0.001
224,1.5991013027227,0.019,0.003,0
225,1.3957572169385,0.019,0.003,0.001
226,1.5301044438167,0.02,0.003,0
227,1.3577672939595,0.02,0.003,0.001
228,1.4457274103219,0.021,0.003,0
229,1.3078887262196,0.021,0.003,0.001
230,1.3445281258406,0.022,0.003,0
231,1.2461985410557,0.022,0.003,0.001
232,1.227060250226,0.023,0.003,0
233,1.1711146228583,0.023,0.003,0.001
234,1.0931441306908,0.024,0.003,0
235,1.082273854133,0.024,0.003,0.001
236,0.94325088363164,0.025,0.003,0
237,0.97956064379005,0.025,0.003,0.001
238,0.77779356655919,0.026,0.003,0
239,0.86307376692249,0.026,0.003,0.001
240,0.59798145736673,0.027,0.003,0
241,0.73461316728221,0.027,0.003,0.001
242,0.40188334721874,0.028,0.003,0
243,0.59470904204771,0.028,0.003,0.001
244,0.19313040700501,0.029,0.003,0
245,0.44897847440239,0.029,0.003,0.001
246,-0.0082850176403339,0.03,0.003,0
247,0.2675454734911,0.03,0.003,0.001
248,0.30139804744562,0.001,0.004,0
249,0.083478867806572,0,0.004,0
250,0.56300863273379,0.001,0.004,0.001
251,0.37750784949224,0,0.004,0.001
252,0.51828110102256,0.002,0.004,0
253,0.70079830671799,0.002,0.004,0.001
254,0.71404516204166,0.003,0.004,0
255,0.82605654740211,0.003,0.004,0.001
256,0.88350671340688,0.004,0.004,0
257,0.93248032469628,0.004,0.004,0.001
258,1.031627222929,0.005,0.004,0
259,1.020201567447,0.005,0.004,0.001
260,1.1588310930074,0.006,0.004,0
261,1.0909859372441,0.006,0.004,0.001
262,1.2673452132655,0.007,0.004,0
263,1.1459605489926,0.007,0.004,0.001
264,1.3584192481218,0.008,0.004,0
265,1.1869095809969,0.008,0.004,0.001
266,1.4330055979271,0.009,0.004,0
267,1.2164197758638,0.009,0.004,0.001
268,1.4934988793121,0.01,0.004,0
269,1.2356167693913,0.01,0.004,0.001
270,1.5395592103061,0.011,0.004,0
271,1.2484776116533,0.011,0.004,0.001
272,1.5750242397136,0.012,0.004,0
273,1.2547155688588,0.012,0.004,0.001
274,1.598321124308,0.013,0.004,0
275,1.2586728339769,0.013,0.004,0.001
276,1.6119017442774,0.014,0.004,0
277,1.2604092137646,0.014,0.004,0.001
278,1.6177282483041,0.015,0.004,0
279,1.2598236424441,0.015,0.004,0.001
280,1.6119017442775,0.016,0.004,0
281,1.2604092137647,0.016,0.004,0.001
282,1.5983211243082,0.017,0.004,0
283,1.258672833977,0.017,0.004,0.001
284,1.5750242397138,0.018,0.004,0
285,1.2547155688589,0.018,0.004,0.001
286,1.5395592103064,0.019,0.004,0
287,1.2484776116535,0.019,0.004,0.001
288,1.4934988793124,0.02,0.004,0
289,1.2356167693916,0.02,0.004,0.001
290,1.4330055979274,0.021,0.004,0
291,1.2164197758642,0.021,0.004,0.001
292,1.3584192481222,0.022,0.004,0
293,1.1869095809973,0.022,0.004,0.001
294,1.2673452132661,0.023,0.004,0
295,1.1459605489929,0.023,0.004,0.001
296,1.1588310930079,0.024,0.004,0
297,1.0909859372445,0.024,0.004,0.001
298,1.0316272229296,0.025,0.004,0
299,1.0202015674475,0.025,0.004,0.001
300,0.88350671340744,0.026,0.004,0
301,0.93248032469666,0.026,0.004,0.001
302,0.71404516204217,0.027,0.004,0
303,0.82605654740254,0.027,0.004,0.001
304,0.51828110102309,0.028,0.004,0
305,0.70079830671837,0.028,0.004,0.001
306,0.30139804744608,0.029,0.004,0
307,0.56300863273419,0.029,0.004,0.001
308,0.083478867807006,0.03,0.004,0
309,0.37750784949263,0.03,0.004,0.001
310,0.38624838607022,0.001,0.005,0
311,0.15966643897221,0,0.005,0
312,0.64373299842885,0.001,0.005,0.001
313,0.46128365654503,0,0.005,0.001
314,0.60446684600808,0.002,0.005,0
315,0.76894480925268,0.002,0.005,0.001
316,0.79412676110572,0.003,0.005,0
317,0.87641001871775,0.003,0.005,0.001
318,0.95067037973019,0.004,0.005,0
319,0.95922655078729,0.004,0.005,0.001
320,1.0798665418963,0.005,0.005,0
321,1.0188540414287,0.005,0.005,0.001
322,1.1839225466363,0.006,0.005,0
323,1.0581823045851,0.006,0.005,0.001
324,1.2669866808672,0.007,0.005,0
325,1.0799169520603,0.007,0.005,0.001
326,1.3310040419939,0.008,0.005,0
327,1.0882585331081,0.008,0.005,0.001
328,1.3801707362727,0.009,0.005,0
329,1.0852766301699,0.009,0.005,0.001
330,1.4151271687351,0.01,0.005,0
331,1.0764263736401,0.01,0.005,0.001
332,1.4411689811071,0.011,0.005,0
333,1.0622471411894,0.011,0.005,0.001
334,1.4568979483226,0.012,0.005,0
335,1.0493076634127,0.012,0.005,0.001
