id,uxi,x,y,z
0,-1.2608104908031,0.015,0.001,0
0.001,-1.6972850313175,0.015,0.002,0
0.002,-2.052738072925,0.015,0.003,0
0.003,-2.3011963708816,0.015,0.004,0
0.004,-2.4227567393455,0.015,0.005,0
0.005,-2.4055447024778,0.015,0.006,0
0.006,-2.2462187971839,0.015,0.007,0
0.007,-1.9492343115181,0.015,0.008,0
0.008,-1.5264220139894,0.015,0.009,0
0.009,-0.9969911289286,0.015,0.01,0
0.01,-0.38253791154668,0.015,0.011,0
0.011,0.28891207780521,0.015,0.012,0
0.012,0.99295364539939,0.015,0.013,0
0.013,1.7002764904235,0.015,0.014,0
0.014,2.3874911250451,0.015,0.015,0
0.015,3.0282849437459,0.015,0.016,0
0.016,3.6051493386521,0.015,0.017,0
0.017,4.0968415108516,0.015,0.018,0
0.018,4.4952234366742,0.015,0.019,0
0.019,4.7838651573998,0.015,0.02,0
0.02,4.9673661541412,0.015,0.021,0
0.021,5.0153263131487,0.015,0.022,0
