x,y,z,value
0,0,0.015,-8.86001381800142e-07
0.001,0,0.015,-6.66690900505596e-07
0.001,0.001,0.015,-2.88174699118598e-07
0,0.001,0.015,-5.05909335857416e-07
0.002,0,0.015,-3.57535155521856e-07
0.002,0.001,0.015,-8.19677338555744e-08
0.003,0,0.015,-4.93630873665909e-09
0.003,0.001,0.015,-1.77740160642922e-09
0.004,0,0.015,1.60509852886905e-07
0.004,0.001,0.015,6.90564684266166e-10
0.005,0,0.015,2.36019658458796e-07
0.005,0.001,0.015,-2.8177585460328e-07
0.006,0,0.015,-3.24486138621253e-08
0.006,0.001,0.015,-6.17018135752161e-07
0.007,0,0.015,-3.83092942199387e-07
0.007,0.001,0.015,-1.21182575796863e-06
0.008,0,0.015,-1.06465969987695e-06
0.008,0.001,0.015,-1.69009355129881e-06
0.009,0,0.015,-1.66348833555364e-06
0.009,0.001,0.015,-2.31540244447021e-06
0.01,0,0.015,-2.48335973862331e-06
0.01,0.001,0.015,-2.63754778270892e-06
0.011,0,0.015,-3.01177746258338e-06
0.011,0.001,0.015,-3.06547488908106e-06
0.012,0,0.015,-3.66956097739131e-06
0.012,0.001,0.015,-3.12159710589684e-06
0.013,0,0.015,-3.93474949663043e-06
0.013,0.001,0.015,-3.33737578831335e-06
0.014,0,0.015,-4.29778187473515e-06
0.014,0.001,0.015,-3.23393568866365e-06
0.015,0,0.015,-4.24087476896161e-06
0.015,0.001,0.015,-3.3785769260479e-06
0.016,0,0.015,-4.29778187477332e-06
0.016,0.001,0.015,-3.23393568860028e-06
0.017,0,0.015,-3.93474949669385e-06
0.017,0.001,0.015,-3.33737578832587e-06
0.018,0,0.015,-3.66956097759552e-06
0.018,0.001,0.015,-3.12159710589652e-06
0.019,0,0.015,-3.01177746280028e-06
0.019,0.001,0.015,-3.06547488918311e-06
0.02,0,0.015,-2.48335973884037e-06
0.02,0.001,0.015,-2.63754778290031e-06
0.021,0,0.015,-1.66348833575757e-06
0.021,0.001,0.015,-2.31540244468759e-06
0.022,0,0.015,-1.06465970000423e-06
0.022,0.001,0.015,-1.69009355149058e-06
0.023,0,0.015,-3.83092942315126e-07
0.023,0.001,0.015,-1.21182575794297e-06
0.024,0,0.015,-3.24486138795403e-08
0.024,0.001,0.015,-6.17018135764657e-07
0.025,0,0.015,2.36019658431041e-07
0.025,0.001,0.015,-2.81775854645117e-07
0.026,0,0.015,1.60509852841236e-07
0.026,0.001,0.015,6.90564676771618e-10
0.027,0,0.015,-4.9363087351302e-09
0.027,0.001,0.015,-1.77740161260917e-09
0.028,0,0.015,-3.57535155529429e-07
0.028,0.001,0.015,-8.19677338543326e-08
0.029,0,0.015,-6.66690900503143e-07
