id,uxi,x,y,z
0,0.067704331712086,0,0,0
1,0.077138915959206,0.001,0,0
2,0.014161617418749,0.001,0.001,0
3,0.066859662960549,0,0.001,0
4,0.06456245441831,0,0,0.001
5,0.01590619005602,0.001,0,0.001
6,-0.11864764320995,0.001,0.001,0.001
7,-0.024523633755162,0,0.001,0.001
8,0.033552122023162,0.002,0,0
9,-0.085175646656195,0.002,0.001,0
10,-0.079934117145369,0.002,0,0.001
11,-0.22715485450678,0.002,0.001,0.001
12,-0.047286894643752,0.003,0,0
13,-0.19947590635068,0.003,0.001,0
14,-0.19290389598443,0.003,0,0.001
15,-0.33231090199291,0.003,0.001,0.001
16,-0.15264407204806,0.004,0,0
17,-0.31878281192135,0.004,0.001,0
18,-0.3129204590474,0.004,0,0.001
19,-0.42483019343392,0.004,0.001,0.001
20,-0.26600618314792,0.005,0,0
21,-0.4304649125892,0.005,0.001,0
22,-0.42688004075877,0.005,0,0.001
23,-0.49759454655649,0.005,0.001,0.001
24,-0.37798279350207,0.006,0,0
25,-0.52689954062518,0.006,0.001,0
26,-0.52660693068073,0.006,0,0.001
27,-0.54664753429161,0.006,0.001,0.001
28,-0.47899558184782,0.007,0,0
29,-0.60257886544373,0.007,0.001,0
30,-0.60619721935477,0.007,0,0.001
31,-0.57177470146743,0.007,0.001,0.001
32,-0.56393041227237,0.008,0,0
33,-0.65560160529389,0.008,0.001,0
34,-0.66335700483342,0.008,0,0.001
35,-0.57486165103144,0.008,0.001,0.001
36,-0.6296670787019,0.009,0,0
37,-0.6867703321003,0.009,0.001,0
38,-0.69856670975675,0.009,0,0.001
39,-0.56017292016087,0.009,0.001,0.001
40,-0.67658970505847,0.01,0,0
41,-0.69924440705484,0.01,0.001,0
42,-0.71474776102816,0.01,0,0.001
43,-0.53320864869177,0.01,0.001,0.001
44,-0.7065265327176,0.011,0,0
45,-0.69824668739384,0.011,0.001,0
46,-0.71690305593269,0.011,0,0.001
47,-0.49986627275792,0.011,0.001,0.001
48,-0.72381049702325,0.012,0,0
49,-0.68901257694284,0.012,0.001,0
50,-0.710195521414,0.012,0,0.001
51,-0.46661411308747,0.012,0.001,0.001
52,-0.73193478394938,0.013,0,0
53,-0.67775788631649,0.013,0.001,0
54,-0.7007494497427,0.013,0,0.001
55,-0.43840682164925,0.013,0.001,0.001
56,-0.73504950137321,0.014,0,0
57,-0.66895390500202,0.014,0.001,0
58,-0.69302443313037,0.014,0,0.001
59,-0.4196335406929,0.014,0.001,0.001
60,-0.73612062813461,0.015,0,0
61,-0.66534858508919,0.015,0.001,0
62,-0.6898175461039,0.015,0,0.001
63,-0.41330594934384,0.015,0.001,0.001
64,-0.73504950137327,0.016,0,0
65,-0.66895390500199,0.016,0.001,0
66,-0.69302443313044,0.016,0,0.001
67,-0.41963354069289,0.016,0.001,0.001
68,-0.73193478394945,0.017,0,0
69,-0.67775788631653,0.017,0.001,0
70,-0.70074944974278,0.017,0,0.001
71,-0.43840682164925,0.017,0.001,0.001
72,-0.72381049702331,0.018,0,0
73,-0.68901257694289,0.018,0.001,0
74,-0.71019552141407,0.018,0,0.001
75,-0.46661411308754,0.018,0.001,0.001
76,-0.70652653271764,0.019,0,0
77,-0.69824668739395,0.019,0.001,0
78,-0.71690305593276,0.019,0,0.001
79,-0.49986627275804,0.019,0.001,0.001
80,-0.67658970505853,0.02,0,0
81,-0.69924440705496,0.02,0.001,0
82,-0.71474776102829,0.02,0,0.001
83,-0.53320864869191,0.02,0.001,0.001
84,-0.62966707870199,0.021,0,0
85,-0.68677033210042,0.021,0.001,0
86,-0.69856670975687,0.021,0,0.001
87,-0.56017292016104,0.021,0.001,0.001
88,-0.56393041227243,0.022,0,0
89,-0.655601605294,0.022,0.001,0
90,-0.6633570048335,0.022,0,0.001
91,-0.57486165103154,0.022,0.001,0.001
92,-0.47899558184782,0.023,0,0
93,-0.60257886544384,0.023,0.001,0
94,-0.60619721935488,0.023,0,0.001
95,-0.57177470146752,0.023,0.001,0.001
96,-0.37798279350209,0.024,0,0
97,-0.52689954062528,0.024,0.001,0
98,-0.52660693068082,0.024,0,0.001
99,-0.54664753429171,0.024,0.001,0.001
100,-0.26600618314797,0.025,0,0
101,-0.43046491258927,0.025,0.001,0
102,-0.42688004075884,0.025,0,0.001
103,-0.49759454655658,0.025,0.001,0.001
104,-0.15264407204804,0.026,0,0
105,-0.31878281192142,0.026,0.001,0
106,-0.31292045904746,0.026,0,0.001
107,-0.42483019343397,0.026,0.001,0.001
108,-0.047286894643712,0.027,0,0
109,-0.19947590635066,0.027,0.001,0
110,-0.19290389598442,0.027,0,0.001
111,-0.33231090199297,0.027,0.001,0.001
112,0.033552122023235,0.028,0,0
113,-0.085175646656157,0.028,0.001,0
114,-0.07993411714536,0.028,0,0.001
115,-0.2271548545068,0.028,0.001,0.001
116,0.077138915959286,0.029,0,0
117,0.014161617418802,0.029,0.001,0
118,0.015906190056056,0.029,0,0.001
119,-0.11864764320994,0.029,0.001,0.001
120,0.067704331712142,0.03,0,0
121,0.066859662960626,0.03,0.001,0
122,0.064562454418361,0.03,0,0.001
123,-0.024523633755142,0.03,0.001,0.001
124,-0.051288740585574,0.001,0.002,0
125,0.042781355820285,0,0.002,0
126,-0.2310996251562,0.001,0.002,0.001
127,-0.1136284218283,0,0.002,0.001
128,-0.18426960091623,0.002,0.002,0
129,-0.33413173164453,0.002,0.002,0.001
130,-0.31727245433216,0.003,0.002,0
131,-0.4156866747886,0.003,0.002,0.001
132,-0.43537064059876,0.004,0.002,0
133,-0.46711313112086,0.004,0.002,0.001
134,-0.53052426896475,0.005,0.002,0
135,-0.48684531928362,0.005,0.002,0.001
136,-0.59778850372039,0.006,0.002,0
137,-0.47655033531998,0.006,0.002,0.001
138,-0.63600203060924,0.007,0.002,0
139,-0.44088600067554,0.007,0.002,0.001
140,-0.64708329214907,0.008,0.002,0
141,-0.38631729037542,0.008,0.002,0.001
142,-0.63546692172191,0.009,0.002,0
143,-0.32027005690889,0.009,0.002,0.001
144,-0.60774261317511,0.01,0.002,0
145,-0.25001554300712,0.01,0.002,0.001
146,-0.57088171515669,0.011,0.002,0
147,-0.18280497113553,0.011,0.002,0.001
148,-0.53298050128095,0.012,0.002,0
149,-0.12401097510659,0.012,0.002,0.001
150,-0.50018415007968,0.013,0.002,0
151,-0.078865194874219,0.013,0.002,0.001
152,-0.47818849773156,0.014,0.002,0
153,-0.050459710458165,0.014,0.002,0.001
154,-0.47073598939896,0.015,0.002,0
155,-0.040552033392889,0.015,0.002,0.001
156,-0.47818849773152,0.016,0.002,0
157,-0.050459710458124,0.016,0.002,0.001
158,-0.5001841500797,0.017,0.002,0
