id,uxi,x,y,z
0,0.042851002393727,0.015,0.001,0
0.001,-0.26096409455166,0.015,0.002,0
0.002,-0.54295238670289,0.015,0.003,0
0.003,-0.747062301082,0.015,0.004,0
0.004,-0.82875299065199,0.015,0.005,0
0.005,-0.76745331494487,0.015,0.006,0
0.006,-0.56155186772377,0.015,0.007,0
0.007,-0.23300609993608,0.015,0.008,0
0.008,0.18730862282774,0.015,0.009,0
0.009,0.65646418212399,0.015,0.01,0
0.01,1.1369768522914,0.015,0.011,0
0.011,1.5866360686514,0.015,0.012,0
0.012,1.9767499139992,0.015,0.013,0
0.013,2.2783828864716,0.015,0.014,0
0.014,2.4814992191473,0.015,0.015,0
0.015,2.5761822573022,0.015,0.016,0
0.016,2.5689623966798,0.015,0.017,0
0.017,2.4683420279878,0.015,0.018,0
0.018,2.2978544643582,0.015,0.019,0
0.019,2.0613840426222,0.015,0.02,0
0.02,1.8216829536183,0.015,0.021,0
0.021,1.5467760599756,0.015,0.022,0
