id,uxi,x,y,z
14415,0.044227502098921,0,0,0.015
14416,-0.013078641102594,0.001,0,0.015
14417,-0.22640018954168,0.001,0.001,0.015
14418,-0.090080388766236,0,0.001,0.015
14419,-0.14319712474327,0.002,0,0.015
14420,-0.38950516802909,0.002,0.001,0.015
14421,-0.31559343722526,0.003,0,0.015
14422,-0.52850269167633,0.003,0.001,0.015
14423,-0.48664521959216,0.004,0,0.015
14424,-0.63849300352819,0.004,0.001,0.015
14425,-0.65498774945592,0.005,0,0.015
14426,-0.67731249026165,0.005,0.001,0.015
14427,-0.76839625361664,0.006,0,0.015
14428,-0.66905082148373,0.006,0.001,0.015
14429,-0.85166073177811,0.007,0,0.015
14430,-0.57341109583857,0.007,0.001,0.015
14431,-0.85617170514533,0.008,0,0.015
14432,-0.44311245161233,0.008,0.001,0.015
14433,-0.83427361502902,0.009,0,0.015
14434,-0.24255203484176,0.009,0.001,0.015
14435,-0.74543482471411,0.01,0,0.015
14436,-0.044780443153761,0.01,0.001,0.015
14437,-0.66074837857574,0.011,0,0.015
14438,0.18373339950532,0.011,0.001,0.015
14439,-0.54336458826796,0.012,0,0.015
14440,0.36365360963735,0.012,0.001,0.015
14441,-0.46842480126413,0.013,0,0.015
14442,0.53275441552793,0.013,0.001,0.015
14443,-0.3938124995456,0.014,0,0.015
14444,0.61746779800647,0.014,0.001,0.015
14445,-0.38717534434222,0.015,0,0.015
14446,0.6663713203586,0.015,0.001,0.015
14447,-0.39381249954545,0.016,0,0.015
14448,0.61746779800627,0.016,0.001,0.015
14449,-0.46842480126383,0.017,0,0.015
14450,0.53275441552789,0.017,0.001,0.015
14451,-0.54336458826787,0.018,0,0.015
14452,0.3636536096375,0.018,0.001,0.015
14453,-0.66074837857579,0.019,0,0.015
14454,0.18373339950517,0.019,0.001,0.015
14455,-0.74543482471418,0.02,0,0.015
14456,-0.044780443154005,0.02,0.001,0.015
14457,-0.83427361502917,0.021,0,0.015
14458,-0.24255203484185,0.021,0.001,0.015
14459,-0.85617170514555,0.022,0,0.015
14460,-0.44311245161244,0.022,0.001,0.015
