id,uxr,x,y,z
14415,-0.0048739229356632,0,0,0.015
14416,0.080907387902927,0.001,0,0.015
14417,0.19716879848039,0.001,0.001,0.015
14418,0.13262608577608,0,0.001,0.015
14419,0.15438101117124,0.002,0,0.015
14420,0.2439516881996,0.002,0.001,0.015
14421,0.2710003014981,0.003,0,0.015
14422,0.17248082342633,0.003,0.001,0.015
14423,0.26097524528576,0.004,0,0.015
14424,0.13880754217778,0.004,0.001,0.015
14425,0.31659385770927,0.005,0,0.015
14426,-0.048125854476556,0.005,0.001,0.015
14427,0.18446685589573,0.006,0,0.015
14428,-0.1121348780009,0.006,0.001,0.015
14429,0.17877713419315,0.007,0,0.015
14430,-0.34793800778433,0.007,0.001,0.015
14431,-0.035385741464934,0.008,0,0.015
14432,-0.3876798371068,0.008,0.001,0.015
14433,-0.051429902962239,0.009,0,0.015
14434,-0.62238513168944,0.009,0.001,0.015
14435,-0.28502433438852,0.01,0,0.015
14436,-0.61022923950806,0.01,0.001,0.015
14437,-0.26663405881385,0.011,0,0.015
14438,-0.81790339604939,0.011,0.001,0.015
14439,-0.47782710661027,0.012,0,0.015
14440,-0.74868389810647,0.012,0.001,0.015
14441,-0.40713199837991,0.013,0,0.015
14442,-0.9225256455641,0.013,0.001,0.015
14443,-0.57878350946683,0.014,0,0.015
14444,-0.80739474946434,0.014,0.001,0.015
14445,-0.45442883291528,0.015,0,0.015
14446,-0.95325641404104,0.015,0.001,0.015
14447,-0.57878350946659,0.016,0,0.015
14448,-0.80739474946447,0.016,0.001,0.015
14449,-0.40713199837986,0.017,0,0.015
14450,-0.92252564556389,0.017,0.001,0.015
14451,-0.47782710661032,0.018,0,0.015
14452,-0.74868389810616,0.018,0.001,0.015
14453,-0.2666340588138,0.019,0,0.015
14454,-0.81790339604941,0.019,0.001,0.015
14455,-0.28502433438848,0.02,0,0.015
14456,-0.61022923950842,0.02,0.001,0.015
14457,-0.051429902962525,0.021,0,0.015
14458,-0.62238513168968,0.021,0.001,0.015
14459,-0.035385741465215,0.022,0,0.015
14460,-0.38767983710714,0.022,0.001,0.015
14461,0.17877713419298,0.023,0,0.015
14462,-0.34793800778462,0.023,0.001,0.015
14463,0.18446685589552,0.024,0,0.015
14464,-0.11213487800107,0.024,0.001,0.015
14465,0.31659385770907,0.025,0,0.015
14466,-0.048125854476784,0.025,0.001,0.015
14467,0.26097524528554,0.026,0,0.015
14468,0.13880754217761,0.026,0.001,0.015
14469,0.27100030149794,0.027,0,0.015
14470,0.17248082342618,0.027,0.001,0.015
14471,0.15438101117127,0.028,0,0.015
14472,0.24395168819944,0.028,0.001,0.015
14473,0.080907387902873,0.029,0,0.015
14474,0.19716879848038,0.029,0.001,0.015
14475,-0.0048739229356986,0.03,0,0.015
14476,0.13262608577594,0.03,0.001,0.015
14477,0.23205182660201,0.001,0.002,0.015
14478,0.17917018645773,0,0.002,0.015
14479,0.13573465432198,0.002,0.002,0.015
14480,0.028277814178665,0.003,0.002,0.015
14481,-0.20698284323522,0.004,0.002,0.015
14482,-0.32067688504196,0.005,0.002,0.015
14483,-0.55400583576664,0.006,0.002,0.015
14484,-0.5736977856792,0.007,0.002,0.015
14485,-0.74806078171728,0.008,0.002,0.015
14486,-0.67104389188435,0.009,0.002,0.015
14487,-0.80359352236365,0.01,0.002,0.015
