id,integral_strain_stress,x,y,z
0,1.6202175770894e-11,0.0005,0.0005,0.0005
1,2.4980006401723e-11,0.0015,0.0005,0.0005
2,-9.6289073256793e-12,0.0025,0.0005,0.0005
3,-6.007456287631e-11,0.0035,0.0005,0.0005
4,-1.0954074917411e-10,0.0045,0.0005,0.0005
5,-1.5470950483608e-10,0.0055,0.0005,0.0005
6,-1.8516080303346e-10,0.0065,0.0005,0.0005
7,-1.7940143616421e-10,0.0075,0.0005,0.0005
8,-1.1565106425825e-10,0.0085,0.0005,0.0005
9,1.6795971819478e-12,0.0095,0.0005,0.0005
10,1.4883287924063e-10,0.0105,0.0005,0.0005
11,2.9034424011524e-10,0.0115,0.0005,0.0005
12,4.0361730137874e-10,0.0125,0.0005,0.0005
13,4.7859440432922e-10,0.0135,0.0005,0.0005
14,5.1500362538358e-10,0.0145,0.0005,0.0005
15,5.1500362537978e-10,0.0155,0.0005,0.0005
16,4.7859440431912e-10,0.0165,0.0005,0.0005
17,4.0361730136438e-10,0.0175,0.0005,0.0005
18,2.9034424010003e-10,0.0185,0.0005,0.0005
19,1.4883287922814e-10,0.0195,0.0005,0.0005
20,1.6795971757763e-12,0.0205,0.0005,0.0005
21,-1.1565106425593e-10,0.0215,0.0005,0.0005
22,-1.7940143615307e-10,0.0225,0.0005,0.0005
23,-1.8516080301575e-10,0.0235,0.0005,0.0005
24,-1.5470950481647e-10,0.0245,0.0005,0.0005
25,-1.0954074915844e-10,0.0255,0.0005,0.0005
26,-6.0074562868766e-11,0.0265,0.0005,0.0005
27,-9.6289073261488e-12,0.0275,0.0005,0.0005
28,2.4980006397863e-11,0.0285,0.0005,0.0005
29,1.6202175769753e-11,0.0295,0.0005,0.0005
30,2.174612166217e-11,0.0005,0.0015,0.0005
31,-5.539527115364e-11,0.0015,0.0015,0.0005
32,-1.2037100395634e-10,0.0025,0.0015,0.0005
33,-1.3249092039906e-10,0.0035,0.0015,0.0005
34,-1.122695146995e-10,0.0045,0.0015,0.0005
35,-7.6146490369248e-11,0.0055,0.0015,0.0005
36,-8.1260722298551e-12,0.0065,0.0015,0.0005
37,1.1653239132081e-10,0.0075,0.0015,0.0005
38,2.9192965012067e-10,0.0085,0.0015,0.0005
39,4.7420281680721e-10,0.0095,0.0015,0.0005
40,6.083220147726e-10,0.0105,0.0015,0.0005
41,6.6339759095197e-10,0.0115,0.0015,0.0005
42,6.474149787468e-10,0.0125,0.0015,0.0005
43,5.9701785887317e-10,0.0135,0.0015,0.0005
44,5.5757724303581e-10,0.0145,0.0015,0.0005
45,5.5757724303045e-10,0.0155,0.0015,0.0005
46,5.9701785885793e-10,0.0165,0.0015,0.0005
47,6.4741497872332e-10,0.0175,0.0015,0.0005
48,6.6339759092263e-10,0.0185,0.0015,0.0005
49,6.0832201474073e-10,0.0195,0.0015,0.0005
50,4.7420281677647e-10,0.0205,0.0015,0.0005
51,2.9192965009485e-10,0.0215,0.0015,0.0005
52,1.1653239130341e-10,0.0225,0.0015,0.0005
53,-8.1260722364442e-12,0.0235,0.0015,0.0005
54,-7.614649036445e-11,0.0245,0.0015,0.0005
55,-1.1226951468609e-10,0.0255,0.0015,0.0005
56,-1.324909203832e-10,0.0265,0.0015,0.0005
57,-1.2037100394558e-10,0.0275,0.0015,0.0005
58,-5.5395271151848e-11,0.0285,0.0015,0.0005
59,2.1746121658932e-11,0.0295,0.0015,0.0005
60,-2.7785154589683e-11,0.0005,0.0025,0.0005
61,-1.4295957333743e-10,0.0015,0.0025,0.0005
62,-1.4508064928717e-10,0.0025,0.0025,0.0005
63,-5.9554793549369e-11,0.0035,0.0025,0.0005
64,4.6680912288718e-11,0.0045,0.0025,0.0005
65,1.6391826811372e-10,0.0055,0.0025,0.0005
66,3.1536581002015e-10,0.0065,0.0025,0.0005
67,4.9461976052066e-10,0.0075,0.0025,0.0005
68,6.4569950950978e-10,0.0085,0.0025,0.0005
69,7.018583602492e-10,0.0095,0.0025,0.0005
70,6.3228103650175e-10,0.0105,0.0025,0.0005
71,4.5740300184216e-10,0.0115,0.0025,0.0005
72,2.3292755707409e-10,0.0125,0.0025,0.0005
73,2.8852352142594e-11,0.0135,0.0025,0.0005
74,-9.2574849362276e-11,0.0145,0.0025,0.0005
75,-9.2574849363587e-11,0.0155,0.0025,0.0005
76,2.8852352138274e-11,0.0165,0.0025,0.0005
77,2.3292755706587e-10,0.0175,0.0025,0.0005
78,4.5740300182841e-10,0.0185,0.0025,0.0005
79,6.3228103648164e-10,0.0195,0.0025,0.0005
80,7.0185836022279e-10,0.0205,0.0025,0.0005
81,6.4569950947851e-10,0.0215,0.0025,0.0005
82,4.9461976048799e-10,0.0225,0.0025,0.0005
83,3.153658099912e-10,0.0235,0.0025,0.0005
84,1.6391826809469e-10,0.0245,0.0025,0.0005
85,4.6680912284264e-11,0.0255,0.0025,0.0005
86,-5.9554793539706e-11,0.0265,0.0025,0.0005
87,-1.4508064927167e-10,0.0275,0.0025,0.0005
88,-1.4295957332774e-10,0.0285,0.0025,0.0005
89,-2.7785154591105e-11,0.0295,0.0025,0.0005
90,-1.1010618128754e-10,0.0005,0.0035,0.0005
91,-1.484228841948e-10,0.0015,0.0035,0.0005
92,-1.2381443268647e-11,0.0025,0.0035,0.0005
93,1.5439394575545e-10,0.0035,0.0035,0.0005
94,2.849874264527e-10,0.0045,0.0035,0.0005
95,4.0661852530974e-10,0.0055,0.0035,0.0005
