x,y,z,value
0,0,0.015,1.28209534628307e-07
0.001,0,0.015,5.63007111394381e-08
0.001,0.001,0.015,-6.50778327680087e-07
0,0.001,0.015,-1.39222685785261e-07
0.002,0,0.015,-3.73367396999791e-07
0.002,0.001,0.015,-1.16011641581192e-06
0.003,0,0.015,-8.14044333931382e-07
0.003,0.001,0.015,-1.46977752920742e-06
0.004,0,0.015,-1.26045542135383e-06
0.004,0.001,0.015,-1.34175801236242e-06
0.005,0,0.015,-1.35779436175783e-06
0.005,0.001,0.015,-1.01530321252672e-06
0.006,0,0.015,-1.3458106273234e-06
0.006,0.001,0.015,-3.34492308181377e-07
0.007,0,0.015,-9.0500791428894e-07
0.007,0.001,0.015,1.78046443969856e-07
0.008,0,0.015,-5.93350732396589e-07
0.008,0.001,0.015,8.13090375449007e-07
0.009,0,0.015,2.01264633127932e-09
0.009,0.001,0.015,9.50874423858153e-07
0.01,0,0.015,9.66863513907816e-08
0.01,0.001,0.015,1.25888286251101e-06
0.011,0,0.015,4.59320097864126e-07
0.011,0.001,0.015,9.72139718511808e-07
0.012,0,0.015,1.50656217137965e-07
0.012,0.001,0.015,1.13634721345356e-06
0.013,0,0.015,3.13903824523791e-07
0.013,0.001,0.015,7.13643801419525e-07
0.014,0,0.015,-1.14110047337731e-07
0.014,0.001,0.015,9.4421622115905e-07
0.015,0,0.015,1.46198734788847e-07
0.015,0.001,0.015,5.88522154104004e-07
0.016,0,0.015,-1.14110047310097e-07
0.016,0.001,0.015,9.44216221113066e-07
0.017,0,0.015,3.13903824507541e-07
0.017,0.001,0.015,7.13643801458492e-07
0.018,0,0.015,1.5065621713108e-07
0.018,0.001,0.015,1.13634721344878e-06
0.019,0,0.015,4.5932009777457e-07
0.019,0.001,0.015,9.72139718539354e-07
0.02,0,0.015,9.66863512921192e-08
0.02,0.001,0.015,1.25888286249488e-06
0.021,0,0.015,2.0126462212599e-09
0.021,0.001,0.015,9.50874423823757e-07
0.022,0,0.015,-5.93350732465233e-07
0.022,0.001,0.015,8.13090375412388e-07
0.023,0,0.015,-9.05007914323431e-07
0.023,0.001,0.015,1.78046443944675e-07
0.024,0,0.015,-1.34581062731425e-06
0.024,0.001,0.015,-3.34492308192788e-07
0.025,0,0.015,-1.35779436175e-06
0.025,0.001,0.015,-1.01530321251972e-06
0.026,0,0.015,-1.26045542137284e-06
