id,uxr,x,y,z
0,-0.16919097021152,0.015,0.001,0
0.001,-0.18331983883153,0.015,0.002,0
0.002,-0.10292603460715,0.015,0.003,0
0.003,0.044660486233039,0.015,0.004,0
0.004,0.19167801785716,0.015,0.005,0
0.005,0.28588662694231,0.015,0.006,0
0.006,0.29219995445145,0.015,0.007,0
0.007,0.22367937051628,0.015,0.008,0
0.008,0.093512748738442,0.015,0.009,0
0.009,-0.065576407299515,0.015,0.01,0
0.01,-0.26557075860248,0.015,0.011,0
0.011,-0.49137318396424,0.015,0.012,0
0.012,-0.75603082429598,0.015,0.013,0
0.013,-1.0104209136681,0.015,0.014,0
0.014,-1.2188593624253,0.015,0.015,0
0.015,-1.3008225345334,0.015,0.016,0
0.016,-1.2567047665149,0.015,0.017,0
0.017,-1.0490748639519,0.015,0.018,0
0.018,-0.80468890029603,0.015,0.019,0
0.019,-0.4880017887038,0.015,0.02,0
0.02,-0.3730934195588,0.015,0.021,0
0.021,-0.09859469742196,0.015,0.022,0
