x,y,z,value
0,0,0.016,-3.29449850671013e-08
0.002,0,0.016,-1.8693089027414e-07
0.002,0.002,0.016,-2.50232131357843e-07
0,0.002,0.016,-5.17969363793996e-08
0.004,0,0.016,-4.62958458412717e-07
0.004,0.002,0.016,-4.44797580666061e-07
0.006,0,0.016,-7.81571033556152e-07
0.006,0.002,0.016,-7.3336411949372e-07
0.008,0,0.016,-1.24256374186399e-06
0.008,0.002,0.016,-9.83003556109157e-07
0.01,0,0.016,-1.61755072046845e-06
0.01,0.002,0.016,-1.31334626880027e-06
0.012,0,0.016,-2.07917930966986e-06
0.012,0.002,0.016,-1.36202874451239e-06
0.014,0,0.016,-2.17303470134125e-06
0.014,0.002,0.016,-1.57240421074195e-06
0.016,0,0.016,-2.1858726817483e-06
0.016,0.002,0.016,-1.50690270735382e-06
0.018,0,0.016,-1.96372335226134e-06
0.018,0.002,0.016,-1.35722048014717e-06
0.02,0,0.016,-1.45687865241747e-06
0.02,0.002,0.016,-1.23400315714416e-06
0.022,0,0.016,-9.81257657548993e-07
0.022,0.002,0.016,-8.39017970911743e-07
0.024,0,0.016,-3.78273214414677e-07
0.024,0.002,0.016,-5.49802113411035e-07
0.026,0,0.016,1.93305012080402e-08
0.026,0.002,0.016,-1.24909690876176e-07
0.028,0,0.016,3.88652464721896e-07
0.028,0.002,0.016,1.31901372714237e-07
0.03,0,0.016,5.39989550146037e-07
0.03,0.002,0.016,3.92644864753217e-07
0.002,0.004,0.016,-8.10316863521926e-08
0,0.004,0.016,2.17534366819187e-08
0.004,0.004,0.016,-1.84719005599278e-07
0.006,0.004,0.016,-3.2409642628981e-07
0.008,0.004,0.016,-5.50211852994552e-07
0.01,0.004,0.016,-6.25611478210705e-07
0.012,0.004,0.016,-9.02559789222029e-07
0.014,0.004,0.016,-7.38513781161406e-07
0.016,0.004,0.016,-8.21490744235421e-07
0.018,0.004,0.016,-8.77913880752146e-07
0.02,0.004,0.016,-6.53526684641845e-07
0.022,0.004,0.016,-5.78744930797813e-07
0.024,0.004,0.016,-1.95322092498215e-07
0.026,0.004,0.016,1.56116256859896e-08
0.028,0.004,0.016,2.66331240087565e-07
0.03,0.004,0.016,4.19927048039148e-07
0.002,0.006,0.016,2.00376698832831e-07
0,0.006,0.016,2.18106649426232e-07
0.004,0.006,0.016,2.14876667805632e-07
0.006,0.006,0.016,1.72081036117159e-07
0.008,0.006,0.016,-1.79494751056854e-08
0.01,0.006,0.016,-3.11663472168933e-07
0.012,0.006,0.016,-2.48405362896029e-08
0.014,0.006,0.016,-2.81621211324547e-07
0.016,0.006,0.016,-1.67843285144541e-07
0.018,0.006,0.016,-1.39308642024393e-07
0.02,0.006,0.016,-4.18244886558157e-07
0.022,0.006,0.016,-3.75173882593378e-08
0.024,0.006,0.016,1.57954578340288e-07
0.026,0.006,0.016,4.86757979603625e-07
0.028,0.006,0.016,5.82538977718849e-07
0.03,0.006,0.016,6.46509063053084e-07
0.002,0.008,0.016,4.76977095303227e-07
0,0.008,0.016,4.4163874304506e-07
