id,uyr,x,y,z
0,0.0044763460769926,0,0,0
1,-0.0065710923731141,0.0005,0,0
2,-0.010214256499916,0.0005,0.0005,0
3,0.00048124313097262,0,0.0005,0
4,-0.014024343436509,0.001,0,0
5,-0.018174978074681,0.001,0.0005,0
6,-0.020178585397329,0.0015,0,0
7,-0.024339201461923,0.0015,0.0005,0
8,-0.025226157193138,0.002,0,0
9,-0.029426020061165,0.002,0.0005,0
10,-0.029484570052908,0.0025,0,0
11,-0.033629167843481,0.0025,0.0005,0
12,-0.033040885494107,0.003,0,0
13,-0.03712036902982,0.003,0.0005,0
14,-0.035994719033703,0.0035,0,0
15,-0.039976319673762,0.0035,0.0005,0
16,-0.038391907848892,0.004,0,0
17,-0.042264488810287,0.004,0.0005,0
18,-0.040277430932265,0.0045,0,0
19,-0.044023101466277,0.0045,0.0005,0
20,-0.04167776495547,0.005,0,0
21,-0.045286868679372,0.005,0.0005,0
22,-0.042618921756718,0.0055,0,0
23,-0.046078967966761,0.0055,0.0005,0
24,-0.043119490852254,0.006,0,0
25,-0.046421985263071,0.006,0.0005,0
26,-0.043198574542468,0.0065,0,0
27,-0.046334161093805,0.0065,0.0005,0
28,-0.042872971014356,0.007,0,0
29,-0.045834291253194,0.007,0.0005,0
30,-0.042160293185302,0.0075,0,0
31,-0.044940664141761,0.0075,0.0005,0
32,-0.041078730197334,0.008,0,0
33,-0.043672331457282,0.008,0.0005,0
34,-0.039647158774556,0.0085,0,0
35,-0.042049981029874,0.0085,0.0005,0
36,-0.037886527711302,0.009,0,0
37,-0.040094875650712,0.009,0.0005,0
38,-0.035818231636846,0.0095,0,0
39,-0.037830766421141,0.0095,0.0005,0
40,-0.033466083362426,0.01,0,0
41,-0.035281710034359,0.01,0.0005,0
42,-0.030854168073086,0.0105,0,0
43,-0.032473995325137,0.0105,0.0005,0
44,-0.028008400084149,0.011,0,0
45,-0.029434001549356,0.011,0.0005,0
46,-0.024954896199271,0.0115,0,0
47,-0.026189272490368,0.0115,0.0005,0
48,-0.021720459056394,0.012,0,0
49,-0.022767286496075,0.012,0.0005,0
50,-0.018332066620194,0.0125,0,0
51,-0.019195312671932,0.0125,0.0005,0
52,-0.014816231577442,0.013,0,0
53,-0.01550042729189,0.013,0.0005,0
54,-0.011199595264742,0.0135,0,0
55,-0.011708463023938,0.0135,0.0005,0
56,-0.0075077288290749,0.014,0,0
57,-0.0078449903084942,0.014,0.0005,0
58,-0.0037662671744565,0.0145,0,0
59,-0.0039341785501264,0.0145,0.0005,0
