id,uxr,x,y,z
2048,-0.48006490761174,0,0,0.016
2049,-0.69087095697898,0.002,0,0.016
2050,-0.50060650527586,0.002,0.002,0.016
2051,-0.80492113902065,0,0.002,0.016
2052,-0.57790082450211,0.004,0,0.016
2053,0.2277958219903,0.004,0.002,0.016
2054,-0.16829630950996,0.006,0,0.016
2055,1.0470272223591,0.006,0.002,0.016
2056,0.36997019846735,0.008,0,0.016
2057,1.9356625241034,0.008,0.002,0.016
2058,0.97728569971474,0.01,0,0.016
2059,2.6819627751886,0.01,0.002,0.016
2060,1.4570068282579,0.012,0,0.016
2061,3.2549486460313,0.012,0.002,0.016
2062,1.6881142382536,0.014,0,0.016
2063,3.5705370246517,0.014,0.002,0.016
2064,1.6658076096828,0.016,0,0.016
2065,3.5133845146161,0.016,0.002,0.016
2066,1.2932714893533,0.018,0,0.016
2067,3.2092791301431,0.018,0.002,0.016
2068,0.76619089148252,0.02,0,0.016
2069,2.5507406846578,0.02,0.002,0.016
2070,0.13048264420279,0.022,0,0.016
2071,1.7475961069919,0.022,0.002,0.016
2072,-0.40062627790959,0.024,0,0.016
2073,0.82651799349778,0.024,0.002,0.016
2074,-0.72444263115229,0.026,0,0.016
2075,-0.026219617237789,0.026,0.002,0.016
2076,-0.75093831852273,0.028,0,0.016
2077,-0.71713744801364,0.028,0.002,0.016
2078,-0.45509617846115,0.03,0,0.016
2079,-0.94499102316185,0.03,0.002,0.016
2080,0.0091371075073933,0.002,0.004,0.016
2081,-0.50617960515653,0,0.004,0.016
2082,0.888745273692,0.004,0.004,0.016
2083,1.894117723472,0.006,0.004,0.016
2084,2.7722349963072,0.008,0.004,0.016
2085,3.5527148874672,0.01,0.004,0.016
2086,4.0807252931282,0.012,0.004,0.016
2087,4.3469842864495,0.014,0.004,0.016
2088,4.4026286516367,0.016,0.004,0.016
2089,4.0530081868569,0.018,0.004,0.016
2090,3.5279150066359,0.02,0.004,0.016
2091,2.6608014579661,0.022,0.004,0.016
2092,1.6682578453064,0.024,0.004,0.016
2093,0.60172904407094,0.026,0.004,0.016
2094,-0.31167815748821,0.028,0.004,0.016
2095,-0.76066811586158,0.03,0.004,0.016
2096,0.56442081856493,0.002,0.006,0.016
2097,-0.064666673391775,0,0.006,0.016
2098,1.3172555798217,0.004,0.006,0.016
2099,2.0654009307598,0.006,0.006,0.016
2100,2.7141014524427,0.008,0.006,0.016
2101,3.094045732864,0.01,0.006,0.016
2102,3.4060224948964,0.012,0.006,0.016
2103,3.5677983846458,0.014,0.006,0.016
2104,3.5355620405181,0.016,0.006,0.016
2105,3.5362573762425,0.018,0.006,0.016
2106,3.1540814686687,0.02,0.006,0.016
2107,2.6996357267192,0.022,0.006,0.016
2108,1.9392510355481,0.024,0.006,0.016
2109,1.0360839628449,0.026,0.006,0.016
2110,0.21730672857993,0.028,0.006,0.016
2111,-0.38329227167734,0.03,0.006,0.016
2112,0.84513767069706,0.002,0.008,0.016
2113,0.34941651174441,0,0.008,0.016
2114,1.263597767731,0.004,0.008,0.016
2115,1.5299348439649,0.006,0.008,0.016
2116,1.6411103803015,0.008,0.008,0.016
2117,1.5638776728178,0.01,0.008,0.016
2118,1.1988377764145,0.012,0.008,0.016
2119,0.91776130548299,0.014,0.008,0.016
2120,0.98678726970676,0.016,0.008,0.016
2121,1.2794591635512,0.018,0.008,0.016
2122,1.7772721208489,0.02,0.008,0.016
2123,1.7817503015131,0.022,0.008,0.016
2124,1.5366999805925,0.024,0.008,0.016
2125,1.1113830553982,0.026,0.008,0.016
2126,0.55215294411333,0.028,0.008,0.016
2127,0.027961596182737,0.03,0.008,0.016
2128,0.7322443591421,0.002,0.01,0.016
2129,0.4944709770739,0,0.01,0.016
2130,0.6101495796843,0.004,0.01,0.016
2131,0.39388395694698,0.006,0.01,0.016
2132,-0.082298282315575,0.008,0.01,0.016
2133,-0.69643887758544,0.01,0.01,0.016
2134,-0.96897877556867,0.012,0.01,0.016
2135,-0.90757967783552,0.014,0.01,0.016
2136,-0.85673723205067,0.016,0.01,0.016
2137,-0.78237270504072,0.018,0.01,0.016
2138,-0.44850713616498,0.02,0.01,0.016
2139,0.25752921203834,0.022,0.01,0.016
2140,0.61250106132036,0.024,0.01,0.016
2141,0.65564861835506,0.026,0.01,0.016
2142,0.58167625715797,0.028,0.01,0.016
2143,0.27642891295369,0.03,0.01,0.016
2144,0.14402595461325,0.002,0.012,0.016
2145,0.36881861236962,0,0.012,0.016
2146,-0.37277547928367,0.004,0.012,0.016
2147,-1.2386309724001,0.006,0.012,0.016
2148,-2.0050527601462,0.008,0.012,0.016
2149,-2.3913892859362,0.01,0.012,0.016
2150,-2.6250365612511,0.012,0.012,0.016
2151,-2.7651952162537,0.014,0.012,0.016
2152,-2.6353341099715,0.016,0.012,0.016
2153,-2.3849873972309,0.018,0.012,0.016
2154,-2.027841993465,0.02,0.012,0.016
2155,-1.5382496418382,0.022,0.012,0.016
2156,-0.76489879758985,0.024,0.012,0.016
2157,-0.11470330363198,0.026,0.012,0.016
2158,0.24844568779103,0.028,0.012,0.016
2159,0.28770635520263,0.03,0.012,0.016
2160,-0.67949076312555,0.002,0.014,0.016
2161,-0.11577903298101,0,0.014,0.016
2162,-1.6005142043547,0.004,0.014,0.016
2163,-2.493006727978,0.006,0.014,0.016
2164,-3.1480251494296,0.008,0.014,0.016
2165,-3.5983441797604,0.01,0.014,0.016
2166,-3.9636978969043,0.012,0.014,0.016
2167,-4.0768616485205,0.014,0.014,0.016
2168,-4.0319307037558,0.016,0.014,0.016
2169,-3.6447571351337,0.018,0.014,0.016
2170,-3.1608048211401,0.02,0.014,0.016
2171,-2.6606524894058,0.022,0.014,0.016
2172,-1.9870171447663,0.024,0.014,0.016
2173,-1.0487162031637,0.026,0.014,0.016
2174,-0.35863094294595,0.028,0.014,0.016
2175,0.10022052038191,0.03,0.014,0.016
2176,-1.643414750782,0.002,0.016,0.016
2177,-0.68559220944141,0,0.016,0.016
2178,-2.5257370115169,0.004,0.016,0.016
2179,-3.4497793074798,0.006,0.016,0.016
2180,-3.8031901091257,0.008,0.016,0.016
