id,uxi,x,y,z
2048,0.33472458938991,0,0,0.016
2049,-0.19147464639872,0.002,0,0.016
2050,-1.1360632569346,0.002,0.002,0.016
2051,-0.5697103659333,0,0.002,0.016
2052,-0.91929908624384,0.004,0,0.016
2053,-1.4640432531556,0.004,0.002,0.016
2054,-1.6407431953063,0.006,0,0.016
2055,-1.6254039348928,0.006,0.002,0.016
2056,-2.2522790892562,0.008,0,0.016
2057,-1.6228196937909,0.008,0.002,0.016
2058,-2.739568832064,0.01,0,0.016
2059,-1.4787239872299,0.01,0.002,0.016
2060,-3.0462995829932,0.012,0,0.016
2061,-1.3443022326507,0.012,0.002,0.016
2062,-3.2142822901475,0.014,0,0.016
2063,-1.2561086820109,0.014,0.002,0.016
2064,-3.2393461467541,0.016,0,0.016
2065,-1.2967316230854,0.016,0.002,0.016
2066,-3.084049374137,0.018,0,0.016
2067,-1.4803361345484,0.018,0.002,0.016
2068,-2.7783332870932,0.02,0,0.016
2069,-1.6481623065331,0.02,0.002,0.016
2070,-2.242976691641,0.022,0,0.016
2071,-1.7857716785895,0.022,0.002,0.016
2072,-1.5669771873731,0.024,0,0.016
2073,-1.7223115584355,0.024,0.002,0.016
2074,-0.78204848421009,0.026,0,0.016
2075,-1.4615937953461,0.026,0.002,0.016
2076,-0.024103272620678,0.028,0,0.016
2077,-1.025768193253,0.028,0.002,0.016
2078,0.47550101604846,0.03,0,0.016
2079,-0.40738351458451,0.03,0.002,0.016
2080,-1.3893525123355,0.002,0.004,0.016
2081,-0.98433385092179,0,0.004,0.016
2082,-1.3451030467784,0.004,0.004,0.016
2083,-0.94614841256822,0.006,0.004,0.016
2084,-0.33662132681118,0.008,0.004,0.016
2085,0.32406932641333,0.01,0.004,0.016
2086,0.95258207371528,0.012,0.004,0.016
2087,1.2473700783027,0.014,0.004,0.016
2088,1.1627733230898,0.016,0.004,0.016
2089,0.7512267634445,0.018,0.004,0.016
2090,0.026044227320611,0.02,0.004,0.016
2091,-0.64848951727538,0.022,0.004,0.016
2092,-1.203808935534,0.024,0.004,0.016
2093,-1.4861871726651,0.026,0.004,0.016
2094,-1.3930862111961,0.028,0.004,0.016
2095,-0.89367091875398,0.03,0.004,0.016
2096,-1.0908500840604,0.002,0.006,0.016
2097,-0.977515802221,0,0.006,0.016
2098,-0.65182454146618,0.004,0.006,0.016
2099,0.14482538972166,0.006,0.006,0.016
2100,1.2129896204885,0.008,0.006,0.016
2101,2.3087185813761,0.01,0.006,0.016
2102,3.1303203668434,0.012,0.006,0.016
2103,3.7525784253361,0.014,0.006,0.016
2104,3.6819595183118,0.016,0.006,0.016
2105,2.8821755863843,0.018,0.006,0.016
2106,1.9565412279327,0.02,0.006,0.016
2107,0.80409476514401,0.022,0.006,0.016
2108,-0.24588999775944,0.024,0.006,0.016
2109,-0.94542683339402,0.026,0.006,0.016
2110,-1.2412537679628,0.028,0.006,0.016
