x,y,z,value
0,0,0.016,4.28633872759867e-07
0.002,0,0.016,5.46852679332924e-07
0.002,0.002,0.016,-1.99287880627474e-07
0,0.002,0.016,6.97932636490291e-07
0.004,0,0.016,-2.84957721234376e-07
0.004,0.002,0.016,-1.18969468618257e-06
0.006,0,0.016,-1.19898202068796e-06
0.006,0.002,0.016,-2.39265557758206e-06
0.008,0,0.016,-2.57192136473715e-06
0.008,0.002,0.016,-2.44508259224284e-06
0.01,0,0.016,-3.25739798351962e-06
0.01,0.002,0.016,-2.36201093941095e-06
0.012,0,0.016,-3.49035640423824e-06
0.012,0.002,0.016,-1.96198063682736e-06
0.014,0,0.016,-3.61733891730874e-06
0.014,0.002,0.016,-1.44203411983477e-06
0.016,0,0.016,-3.64660705651828e-06
0.016,0.002,0.016,-1.47475273151488e-06
0.018,0,0.016,-3.42505321537638e-06
0.018,0.002,0.016,-2.1320827096312e-06
0.02,0,0.016,-3.61762969263704e-06
0.02,0.002,0.016,-2.30702511456581e-06
0.022,0,0.016,-2.68716028456537e-06
0.022,0.002,0.016,-3.12817803088086e-06
0.024,0,0.016,-1.93093401640342e-06
0.024,0.002,0.016,-2.51024372246327e-06
0.026,0,0.016,-2.76348724937011e-07
0.026,0.002,0.016,-2.01172084695884e-06
0.028,0,0.016,6.89326307643788e-07
0.028,0.002,0.016,-4.96119173515352e-07
0.03,0,0.016,1.2357253334903e-06
0.03,0.002,0.016,4.23644854685335e-07
0.002,0.004,0.016,-1.84305207384075e-07
0,0.004,0.016,3.82828249945947e-07
0.004,0.004,0.016,-1.54914811443922e-06
0.006,0.004,0.016,-1.99012943602955e-06
0.008,0.004,0.016,-2.47403774098112e-06
0.01,0.004,0.016,-1.51041916998695e-06
0.012,0.004,0.016,-4.56593769083188e-07
0.014,0.004,0.016,-1.47513034040852e-07
0.016,0.004,0.016,-7.7784653459631e-08
0.018,0.004,0.016,-3.98970366629042e-07
0.02,0.004,0.016,-1.97733120575782e-06
0.022,0.004,0.016,-2.27455359602056e-06
0.024,0.004,0.016,-3.26224786722671e-06
0.026,0.004,0.016,-2.24388342037805e-06
0.028,0.004,0.016,-1.32665529263337e-06
0.03,0.004,0.016,1.42553628187226e-07
0.002,0.006,0.016,-1.9397024704032e-07
0,0.006,0.016,6.5316772779252e-07
0.004,0.006,0.016,-9.6891917580968e-07
0.006,0.006,0.016,-2.49760797093961e-06
0.008,0.006,0.016,-1.72845494467362e-06
0.01,0.006,0.016,-1.4911149565902e-06
0.012,0.006,0.016,-8.37184115393998e-07
0.014,0.006,0.016,-2.15616529581318e-07
0.016,0.006,0.016,-3.68222453391801e-07
0.018,0.006,0.016,-1.04342021208523e-06
0.02,0.006,0.016,-6.76217226261953e-07
0.022,0.006,0.016,-2.92189029559204e-06
0.024,0.006,0.016,-2.61702075243607e-06
0.026,0.006,0.016,-2.79306739016044e-06
0.028,0.006,0.016,-1.3147452827391e-06
0.03,0.006,0.016,-2.05339831359534e-07
0.002,0.008,0.016,1.21536771812487e-07
0,0.008,0.016,3.10354453155522e-07
0.004,0.008,0.016,-8.31535493561297e-07
0.006,0.008,0.016,-1.26489966674351e-06
0.008,0.008,0.016,-2.84748652232638e-06
0.01,0.008,0.016,-4.09784503913914e-07
0.012,0.008,0.016,6.03927136102328e-07
0.014,0.008,0.016,1.79467320924644e-06
0.016,0.008,0.016,-4.74039850312594e-07
0.018,0.008,0.016,1.4265375689426e-06
0.02,0.008,0.016,-1.51584604974123e-06
0.022,0.008,0.016,-1.66942012675472e-06
0.024,0.008,0.016,-3.18415005954361e-06
0.026,0.008,0.016,-2.37253757044426e-06
0.028,0.008,0.016,-1.58288901334899e-06
0.03,0.008,0.016,-2.63913570532667e-07
0.002,0.01,0.016,-4.02160134614052e-07
0,0.01,0.016,-6.82727152801952e-08
0.004,0.01,0.016,-2.48532710121459e-07
0.006,0.01,0.016,1.00462154057864e-06
0.008,0.01,0.016,-1.73918364463049e-07
0.01,0.01,0.016,-3.81033762018282e-06
0.012,0.01,0.016,3.49741592447919e-06
0.014,0.01,0.016,1.45721060598432e-06
0.016,0.01,0.016,6.73834857903201e-06
0.018,0.01,0.016,3.11324362718387e-06
0.02,0.01,0.016,1.1640202825364e-06
0.022,0.01,0.016,-1.81233515302373e-06
0.024,0.01,0.016,-1.09302634575693e-06
0.026,0.01,0.016,-2.48262598751816e-06
0.028,0.01,0.016,-1.95965693309416e-06
0.03,0.01,0.016,-6.22436932936536e-07
0.002,0.012,0.016,-1.14782639200209e-06
0,0.012,0.016,-7.08540252742154e-07
0.004,0.012,0.016,-6.12486690860559e-07
0.006,0.012,0.016,2.77162482210664e-06
0.008,0.012,0.016,4.23809184472366e-06
0.01,0.012,0.016,6.45651075302018e-06
0.012,0.012,0.016,-2.25633629322304e-06
0.014,0.012,0.016,-9.25722967640026e-07
0.016,0.012,0.016,-6.77203628370385e-06
0.018,0.012,0.016,4.83081291069435e-06
0.02,0.012,0.016,-1.12831305389301e-07
0.022,0.012,0.016,3.65983799102318e-06
0.024,0.012,0.016,2.57670301950948e-06
0.026,0.012,0.016,-3.59510245326431e-06
0.028,0.012,0.016,-1.88876674085084e-06
0.03,0.012,0.016,-1.46470989907789e-06
0.002,0.014,0.016,-1.76711053231329e-06
0,0.014,0.016,-1.35797658895484e-06
0.004,0.014,0.016,-1.61038064214467e-06
0.006,0.014,0.016,2.80637028818575e-06
0.008,0.014,0.016,1.6533047950617e-06
0.01,0.014,0.016,-2.17533532230235e-06
0.012,0.014,0.016,-8.8641810368109e-07
0.014,0.014,0.016,-1.06506091876919e-05
0.016,0.014,0.016,1.58561871360305e-06
0.018,0.014,0.016,-4.840988700242e-06
0.02,0.014,0.016,7.96228532293198e-07
0.022,0.014,0.016,1.46676481283003e-06
0.024,0.014,0.016,1.48032239902833e-06
0.026,0.014,0.016,-1.89851113737257e-06
0.028,0.014,0.016,-2.5122103467045e-06
0.03,0.014,0.016,-1.13241482471515e-06
0.002,0.016,0.016,-2.02555437507488e-06
0,0.016,0.016,-1.41964197008832e-06
0.004,0.016,0.016,-2.26178286690068e-06
0.006,0.016,0.016,2.46026846610647e-06
0.008,0.016,0.016,2.32392360029242e-06
0.01,0.016,0.016,2.20792536921501e-07
0.012,0.016,0.016,-4.69019807433678e-06
0.014,0.016,0.016,4.86007502430597e-07
0.016,0.016,0.016,-9.67776551178811e-06
0.018,0.016,0.016,2.44912620616603e-06
0.02,0.016,0.016,2.43501603637781e-06
0.022,0.016,0.016,2.44028045911625e-06
0.024,0.016,0.016,2.63799747701981e-06
0.026,0.016,0.016,-1.6694491739888e-06
0.028,0.016,0.016,-1.33469745611269e-06
0.03,0.016,0.016,-1.41207269330386e-06
0.002,0.018,0.016,-2.13519081746969e-06
0,0.018,0.016,-1.7477179203052e-06
0.004,0.018,0.016,-5.15548556350495e-07
0.006,0.018,0.016,-1.51841627842996e-06
0.008,0.018,0.016,3.66307125883357e-06
0.01,0.018,0.016,-6.97026570578921e-06
0.012,0.018,0.016,3.29048805499483e-06
0.014,0.018,0.016,5.82831301561282e-07
0.016,0.018,0.016,5.1382937667644e-06
0.018,0.018,0.016,3.60495332906059e-06
0.02,0.018,0.016,1.31381025083623e-06
0.022,0.018,0.016,3.9569063223369e-06
0.024,0.018,0.016,3.60097169869187e-07
0.026,0.018,0.016,4.12803170137313e-07
0.028,0.018,0.016,-5.46236591505045e-07
0.03,0.018,0.016,-2.81490211364536e-07
0.002,0.02,0.016,-2.65175813489536e-06
0,0.02,0.016,-2.35513661043598e-06
0.004,0.02,0.016,5.89895296040487e-07
0.006,0.02,0.016,2.19632092332382e-06
0.008,0.02,0.016,8.05308882340658e-06
0.01,0.02,0.016,1.12550168987302e-05
0.012,0.02,0.016,-9.82684989564702e-06
0.014,0.02,0.016,1.11253323589605e-05
0.016,0.02,0.016,4.74082458794267e-06
0.018,0.02,0.016,7.58605624109898e-07
0.02,0.02,0.016,-2.69617363877258e-07
0.022,0.02,0.016,5.05013854943705e-07
0.024,0.02,0.016,-1.0186041817014e-06
0.026,0.02,0.016,1.30885676442047e-06
0.028,0.02,0.016,8.58946565309706e-07
0.03,0.02,0.016,1.71354712003296e-07
