id,uxi,x,y,z
2048,-0.092558453169085,0,0,0.016
2049,0.003612076348491,0.002,0,0.016
2050,0.54686408563741,0.002,0.002,0.016
2051,0.11748128145502,0,0.002,0.016
2052,0.40933964940151,0.004,0,0.016
2053,0.99749461890237,0.004,0.002,0.016
2054,0.91315372746901,0.006,0,0.016
2055,1.2907530188349,0.006,0.002,0.016
2056,1.4679030140983,0.008,0,0.016
2057,1.2970315708929,0.008,0.002,0.016
2058,1.8785570904363,0.01,0,0.016
2059,1.1641977809874,0.01,0.002,0.016
2060,2.1962045235302,0.012,0,0.016
2061,0.91622326327578,0.012,0.002,0.016
2062,2.3525888527122,0.014,0,0.016
2063,0.81865634669264,0.014,0.002,0.016
2064,2.3692392674625,0.016,0,0.016
2065,0.94771887588214,0.016,0.002,0.016
2066,2.2558240181711,0.018,0,0.016
2067,1.2322755502269,0.018,0.002,0.016
2068,1.8947285974931,0.02,0,0.016
2069,1.6045213871124,0.02,0.002,0.016
2070,1.4060705866106,0.022,0,0.016
2071,1.7037274443021,0.022,0.002,0.016
2072,0.75736349392279,0.024,0,0.016
2073,1.5343308735607,0.024,0.002,0.016
2074,0.2166994844326,0.026,0,0.016
2075,1.002635407995,0.026,0.002,0.016
2076,-0.14061401264921,0.028,0,0.016
2077,0.35579578787466,0.028,0.002,0.016
2078,-0.1285079292577,0.03,0,0.016
2079,-0.098594941544688,0.03,0.002,0.016
2080,0.77093689377757,0.002,0.004,0.016
2081,0.47600049088645,0,0.004,0.016
2082,0.7762763315142,0.004,0.004,0.016
2083,0.42252186168558,0.006,0.004,0.016
2084,-0.16909984439585,0.008,0.004,0.016
2085,-0.97441546902681,0.01,0.004,0.016
2086,-1.6014890974463,0.012,0.004,0.016
2087,-1.9605540306032,0.014,0.004,0.016
2088,-1.8285561274134,0.016,0.004,0.016
2089,-1.1749211126828,0.018,0.004,0.016
2090,-0.36159450805676,0.02,0.004,0.016
2091,0.50853391181762,0.022,0.004,0.016
2092,0.96330413340542,0.024,0.004,0.016
2093,1.0199060585265,0.026,0.004,0.016
2094,0.69457511630567,0.028,0.004,0.016
2095,0.25798772476838,0.03,0.004,0.016
2096,0.53727850121407,0.002,0.006,0.016
2097,0.61433117220131,0,0.006,0.016
2098,-0.0433397943619,0.004,0.006,0.016
