id,uxr,x,y,z
2048,0.12925439505127,0,0,0.016
2049,0.41076916182872,0.002,0,0.016
2050,0.48994013557567,0.002,0.002,0.016
2051,0.48328463830494,0,0.002,0.016
2052,0.57936848685657,0.004,0,0.016
2053,0.057944647327209,0.004,0.002,0.016
2054,0.55168926982366,0.006,0,0.016
2055,-0.61393142385478,0.006,0.002,0.016
2056,0.33040611552316,0.008,0,0.016
2057,-1.3632740933921,0.008,0.002,0.016
2058,-0.022796862783581,0.01,0,0.016
2059,-2.0121894793603,0.01,0.002,0.016
2060,-0.32053100624873,0.012,0,0.016
2061,-2.5362108016851,0.012,0.002,0.016
2062,-0.51065960054931,0.014,0,0.016
2063,-2.7468596933346,0.014,0.002,0.016
2064,-0.40341425376883,0.016,0,0.016
2065,-2.7513687600303,0.016,0.002,0.016
2066,-0.079984039926738,0.018,0,0.016
2067,-2.443793131619,0.018,0.002,0.016
2068,0.33245545537677,0.02,0,0.016
2069,-1.829603864308,0.02,0.002,0.016
2070,0.71444563417508,0.022,0,0.016
2071,-1.0725750857886,0.022,0.002,0.016
2072,0.82433741168983,0.024,0,0.016
2073,-0.23876133713934,0.024,0.002,0.016
2074,0.70435612605871,0.026,0,0.016
2075,0.37310016606318,0.026,0.002,0.016
2076,0.3589289860273,0.028,0,0.016
2077,0.66666944624828,0.028,0.002,0.016
2078,0.025588372781689,0.03,0,0.016
2079,0.49391294313143,0.03,0.002,0.016
2080,0.06936193341043,0.002,0.004,0.016
2081,0.34597701941615,0,0.004,0.016
2082,-0.63578048834883,0.004,0.004,0.016
2083,-1.4043836383767,0.006,0.004,0.016
2084,-2.0588933410215,0.008,0.004,0.016
2085,-2.5291710997712,0.01,0.004,0.016
2086,-2.7097144289146,0.012,0.004,0.016
2087,-2.9125521009535,0.014,0.004,0.016
2088,-2.9737187762914,0.016,0.004,0.016
2089,-2.953867788132,0.018,0.004,0.016
2090,-2.7339053951794,0.02,0.004,0.016
2091,-2.1033705578552,0.022,0.004,0.016
2092,-1.2541757536969,0.024,0.004,0.016
2093,-0.32068247535057,0.026,0.004,0.016
2094,0.37859468821496,0.028,0.004,0.016
2095,0.52295377979939,0.03,0.004,0.016
2096,-0.51034455556492,0.002,0.006,0.016
2097,-0.093525615249289,0,0.006,0.016
2098,-0.91215591747754,0.004,0.006,0.016
2099,-1.1577185500611,0.006,0.006,0.016
2100,-1.0467650983138,0.008,0.006,0.016
2101,-0.67501655781692,0.01,0.006,0.016
2102,-0.40732954394989,0.012,0.006,0.016
2103,-0.067302846252654,0.014,0.006,0.016
2104,-0.3002516117128,0.016,0.006,0.016
2105,-0.87053096143523,0.018,0.006,0.016
2106,-1.2957727006965,0.02,0.006,0.016
2107,-1.5695347119481,0.022,0.006,0.016
2108,-1.3977637329728,0.024,0.006,0.016
2109,-0.83531871044194,0.026,0.006,0.016
2110,-0.19873857710141,0.028,0.006,0.016
2111,0.21268193964809,0.03,0.006,0.016
2112,-0.79611155253637,0.002,0.008,0.016
2113,-0.56693061841327,0,0.008,0.016
2114,-0.58089135953177,0.004,0.008,0.016
2115,0.1147276387244,0.006,0.008,0.016
2116,1.0254047841854,0.008,0.008,0.016
2117,2.0697009405152,0.01,0.008,0.016
2118,3.0693609322645,0.012,0.008,0.016
2119,3.2519009484452,0.014,0.008,0.016
2120,3.1823738925353,0.016,0.008,0.016
2121,2.7031593244728,0.018,0.008,0.016
2122,1.4136012303982,0.02,0.008,0.016
2123,0.22301626272883,0.022,0.008,0.016
2124,-0.49997575649464,0.024,0.008,0.016
2125,-0.81393996622922,0.026,0.008,0.016
2126,-0.63706427650718,0.028,0.008,0.016
2127,-0.2478627840432,0.03,0.008,0.016
2128,-0.62384841991092,0.002,0.01,0.016
2129,-0.79131400033461,0,0.01,0.016
2130,0.21578448996144,0.004,0.01,0.016
2131,1.3836886578471,0.006,0.01,0.016
2132,2.6761261593864,0.008,0.01,0.016
2133,3.553281280098,0.01,0.01,0.016
2134,3.570250766767,0.012,0.01,0.016
2135,3.4919708779493,0.014,0.01,0.016
2136,3.4688810472366,0.016,0.01,0.016
2137,3.4942854227786,0.018,0.01,0.016
2138,3.2624224071865,0.02,0.01,0.016
2139,2.0934836467755,0.022,0.01,0.016
2140,0.680478988117,0.024,0.01,0.016
2141,-0.25823081218287,0.026,0.01,0.016
2142,-0.73484279843521,0.028,0.01,0.016
2143,-0.57128876916671,0.03,0.01,0.016
2144,-0.097260833782478,0.002,0.012,0.016
2145,-0.6357369243125,0,0.012,0.016
2146,0.91261173523885,0.004,0.012,0.016
2147,1.8556860621752,0.006,0.012,0.016
2148,2.4598580819676,0.008,0.012,0.016
2149,2.5045208411607,0.01,0.012,0.016
2150,2.4004592154354,0.012,0.012,0.016
2151,2.3804469494906,0.014,0.012,0.016
2152,2.4940123366099,0.016,0.012,0.016
2153,2.6058054350871,0.018,0.012,0.016
2154,2.7073575726535,0.02,0.012,0.016
2155,2.4938125119525,0.022,0.012,0.016
2156,1.5391786473522,0.024,0.012,0.016
2157,0.34510261454265,0.026,0.012,0.016
2158,-0.4849442244328,0.028,0.012,0.016
2159,-0.69761432573634,0.03,0.012,0.016
2160,0.57276747707101,0.002,0.014,0.016
2161,-0.25596066346327,0,0.014,0.016
2162,1.096885730487,0.004,0.014,0.016
2163,1.189198718929,0.006,0.014,0.016
2164,0.85600329495993,0.008,0.014,0.016
2165,0.37175295015084,0.01,0.014,0.016
2166,-0.013498114653358,0.012,0.014,0.016
2167,-0.064522704204801,0.014,0.014,0.016
2168,0.12989227411353,0.016,0.014,0.016
2169,0.62969225184537,0.018,0.014,0.016
2170,1.1971018560339,0.02,0.014,0.016
2171,1.5683753702034,0.022,0.014,0.016
2172,1.3905937641982,0.024,0.014,0.016
2173,0.71750566445982,0.026,0.014,0.016
2174,-0.095950439089975,0.028,0.014,0.016
2175,-0.56638944254759,0.03,0.014,0.016
2176,0.95558396878195,0.002,0.016,0.016
2177,0.31159371755663,0,0.016,0.016
2178,0.92540292513572,0.004,0.016,0.016
2179,-0.41213503886414,0.006,0.016,0.016
2180,-1.6731510074048,0.008,0.016,0.016
2181,-2.4660458961334,0.01,0.016,0.016
2182,-3.1212729168124,0.012,0.016,0.016
2183,-3.3853522232587,0.014,0.016,0.016
2184,-2.9240757021443,0.016,0.016,0.016
2185,-2.0098412003957,0.018,0.016,0.016
2186,-0.95767171693517,0.02,0.016,0.016
2187,-0.2513861197902,0.022,0.016,0.016
2188,0.52218961301268,0.024,0.016,0.016
2189,0.76830109966598,0.026,0.016,0.016
2190,0.33193630229916,0.028,0.016,0.016
2191,-0.34485241294675,0.03,0.016,0.016
2192,1.0783658933506,0.002,0.018,0.016
2193,0.60108150173163,0,0.018,0.016
2194,0.060213145034912,0.004,0.018,0.016
2195,-1.595093119215,0.006,0.018,0.016
2196,-3.8624382299719,0.008,0.018,0.016
2197,-5.2024667754742,0.01,0.018,0.016
2198,-6.0573400282147,0.012,0.018,0.016
2199,-6.3679945161292,0.014,0.018,0.016
2200,-5.8080388881574,0.016,0.018,0.016
2201,-4.5538528767394,0.018,0.018,0.016
2202,-3.3207595074741,0.02,0.018,0.016
2203,-1.7620725877467,0.022,0.018,0.016
2204,-0.41200190613649,0.024,0.018,0.016
2205,0.70233461553859,0.026,0.018,0.016
2206,0.60276901685539,0.028,0.018,0.016
2207,-0.0030388697898853,0.03,0.018,0.016
2208,0.63920261510416,0.002,0.02,0.016
2209,0.83562951663825,0,0.02,0.016
2210,-0.77079017814217,0.004,0.02,0.016
2211,-3.2376766119419,0.006,0.02,0.016
2212,-4.6059028643029,0.008,0.02,0.016
2213,-6.8743407112373,0.01,0.02,0.016
2214,-7.6561834771997,0.012,0.02,0.016
2215,-7.4143037965226,0.014,0.02,0.016
2216,-6.7376867211163,0.016,0.02,0.016
2217,-6.2050842409998,0.018,0.02,0.016
2218,-4.8477018700913,0.02,0.02,0.016
2219,-3.5522094438187,0.022,0.02,0.016
2220,-1.0169462961675,0.024,0.02,0.016
2221,0.3093567738143,0.026,0.02,0.016
