id,uxi,x,y,z
0,-0.25034583193476,0.015,0.001,0
0.001,-0.60162329547735,0.015,0.002,0
0.002,-0.77831200011448,0.015,0.003,0
0.003,-0.9550007047516,0.015,0.004,0
0.004,-0.7806025044196,0.015,0.005,0
0.005,-0.60620430408759,0.015,0.006,0
0.006,-0.13058028868496,0.015,0.007,0
0.007,0.34504372671768,0.015,0.008,0
0.008,0.90618008886731,0.015,0.009,0
0.009,1.4673164510169,0.015,0.01,0
0.01,1.8506936854671,0.015,0.011,0
0.011,2.2340709199172,0.015,0.012,0
0.012,2.2696388760549,0.015,0.013,0
0.013,2.3052068321926,0.015,0.014,0
0.014,1.94896849999,0.015,0.015,0
0.015,1.5927301677875,0.015,0.016,0
0.016,0.94926572656204,0.015,0.017,0
0.017,0.30580128533656,0.015,0.018,0
0.018,-0.46240530268222,0.015,0.019,0
0.019,-1.230611890701,0.015,0.02,0
0.02,-1.9064887568549,0.015,0.021,0
0.021,-2.5823656230089,0.015,0.022,0
