id,integral_strain_stress,x,y,z
0,1.3928087420207e-10,0.001,0.001,0.001
1,-9.7622749456963e-10,0.003,0.001,0.001
2,-1.1637433382326e-10,0.005,0.001,0.001
3,7.5357199871001e-10,0.007,0.001,0.001
4,-2.4538366654306e-09,0.009,0.001,0.001
5,-8.9592689792851e-09,0.011,0.001,0.001
6,-1.4242392745938e-08,0.013,0.001,0.001
7,-1.5158472757582e-08,0.015,0.001,0.001
8,-1.1516687443621e-08,0.017,0.001,0.001
9,-5.0446622617155e-09,0.019,0.001,0.001
10,6.5957940908773e-10,0.021,0.001,0.001
11,2.8959108833112e-09,0.023,0.001,0.001
12,1.9559280641228e-09,0.025,0.001,0.001
13,4.1116868414322e-10,0.027,0.001,0.001
14,-1.418510762163e-10,0.029,0.001,0.001
15,-1.6465859665748e-09,0.001,0.003,0.001
16,-1.4574500073263e-10,0.003,0.003,0.001
17,3.1087583121073e-09,0.005,0.003,0.001
18,-2.8692601248076e-09,0.007,0.003,0.001
19,-1.5426213628639e-08,0.009,0.003,0.001
20,-2.3756709371754e-08,0.011,0.003,0.001
21,-2.4130255231888e-08,0.013,0.003,0.001
22,-2.1807852602341e-08,0.015,0.003,0.001
23,-2.0994089645928e-08,0.017,0.003,0.001
24,-1.9147812890233e-08,0.019,0.003,0.001
25,-1.2661630060552e-08,0.021,0.003,0.001
26,-3.9803904957419e-09,0.023,0.003,0.001
27,1.0466839299148e-09,0.025,0.003,0.001
28,9.6395744091113e-10,0.027,0.003,0.001
29,-2.0972374148953e-10,0.029,0.003,0.001
30,-2.1588085605824e-09,0.001,0.005,0.001
31,8.0689502995139e-09,0.003,0.005,0.001
32,6.365072896438e-09,0.005,0.005,0.001
33,-7.5846581182778e-09,0.007,0.005,0.001
34,-1.406437614704e-08,0.009,0.005,0.001
35,-4.5725099698681e-09,0.011,0.005,0.001
36,1.0592770391868e-08,0.013,0.005,0.001
37,1.7876197723532e-08,0.015,0.005,0.001
38,1.2469398897013e-08,0.017,0.005,0.001
39,8.1883587650379e-10,0.019,0.005,0.001
40,-6.9319882757363e-09,0.021,0.005,0.001
41,-5.3977405566593e-09,0.023,0.005,0.001
42,4.2391929621368e-10,0.025,0.005,0.001
43,1.9804305169227e-09,0.027,0.005,0.001
44,-5.29403070851e-10,0.029,0.005,0.001
45,2.2136135504223e-09,0.001,0.007,0.001
46,1.2647180005666e-08,0.003,0.007,0.001
47,-3.7125441720281e-09,0.005,0.007,0.001
48,-1.5582404319073e-08,0.007,0.007,0.001
49,2.7781253813455e-10,0.009,0.007,0.001
50,2.9534016797353e-08,0.011,0.007,0.001
51,4.8289820801858e-08,0.013,0.007,0.001
52,5.1161492214541e-08,0.015,0.007,0.001
53,4.3892092471673e-08,0.017,0.007,0.001
54,2.9422017199745e-08,0.019,0.007,0.001
55,1.1881225045371e-08,0.021,0.007,0.001
56,9.3272228048316e-10,0.023,0.007,0.001
57,1.251328251335e-09,0.025,0.007,0.001
58,3.9494466471596e-09,0.027,0.007,0.001
59,5.7808071359589e-11,0.029,0.007,0.001
60,8.6753486214095e-09,0.001,0.009,0.001
61,4.2486941517764e-09,0.003,0.009,0.001
62,-2.3702176144316e-08,0.005,0.009,0.001
63,-1.9597674297489e-08,0.007,0.009,0.001
64,1.8335805679908e-08,0.009,0.009,0.001
65,4.8227569976446e-08,0.011,0.009,0.001
66,4.8229131075141e-08,0.013,0.009,0.001
67,3.7327136251829e-08,0.015,0.009,0.001
68,3.2577405063858e-08,0.017,0.009,0.001
69,2.9167983859523e-08,0.019,0.009,0.001
70,1.7739106923539e-08,0.021,0.009,0.001
71,4.2020627428396e-09,0.023,0.009,0.001
72,8.3800073560642e-10,0.025,0.009,0.001
73,5.4100225144616e-09,0.027,0.009,0.001
74,1.6471663814415e-09,0.029,0.009,0.001
75,1.1897591757725e-08,0.001,0.011,0.001
76,-1.1378670876386e-08,0.003,0.011,0.001
77,-3.6704069713141e-08,0.005,0.011,0.001
78,-1.1335988495597e-08,0.007,0.011,0.001
79,3.4659463770819e-08,0.009,0.011,0.001
80,4.6221439138573e-08,0.011,0.011,0.001
81,2.1850645442606e-08,0.013,0.011,0.001
82,-1.0574180853297e-09,0.015,0.011,0.001
83,-1.8385472060842e-09,0.017,0.011,0.001
84,6.8427316283658e-09,0.019,0.011,0.001
85,6.4821123646037e-09,0.021,0.011,0.001
86,-2.9176357991391e-10,0.023,0.011,0.001
87,-1.0110120582469e-09,0.025,0.011,0.001
88,5.256783665003e-09,0.027,0.011,0.001
89,2.7438717950275e-09,0.029,0.011,0.001
90,1.0311096074774e-08,0.001,0.013,0.001
91,-2.4463047510973e-08,0.003,0.013,0.001
92,-3.5374278503983e-08,0.005,0.013,0.001
93,6.5648055186735e-09,0.007,0.013,0.001
94,4.7078125619379e-08,0.009,0.013,0.001
95,3.8447663905653e-08,0.011,0.013,0.001
96,1.0554650741768e-09,0.013,0.013,0.001
97,-2.2413025796257e-08,0.015,0.013,0.001
98,-1.9785404505545e-08,0.017,0.013,0.001
99,-9.7560306987949e-09,0.019,0.013,0.001
100,-7.2181861043297e-09,0.021,0.013,0.001
101,-7.8946859634854e-09,0.023,0.013,0.001
102,-2.757565730708e-09,0.025,0.013,0.001
103,4.6784086879608e-09,0.027,0.013,0.001
104,2.3361583757531e-09,0.029,0.013,0.001
105,6.1023835421194e-09,0.001,0.015,0.001
106,-3.0766822461595e-08,0.003,0.015,0.001
107,-2.4834962902765e-08,0.005,0.015,0.001
108,2.5025013779428e-08,0.007,0.015,0.001
109,5.6718771351782e-08,0.009,0.015,0.001
110,3.7249510202905e-08,0.011,0.015,0.001
111,3.7213656520595e-09,0.013,0.015,0.001
112,-1.2342400230257e-08,0.015,0.015,0.001
113,-8.6617192427907e-09,0.017,0.015,0.001
114,-6.8466949387766e-09,0.019,0.015,0.001
115,-1.3500041988939e-08,0.021,0.015,0.001
116,-1.4889521502127e-08,0.023,0.015,0.001
117,-3.2367265494788e-09,0.025,0.015,0.001
118,5.5830760201155e-09,0.027,0.015,0.001
119,8.3753784342796e-10,0.029,0.015,0.001
120,1.8231444144115e-09,0.001,0.017,0.001
121,-3.0412280947673e-08,0.003,0.017,0.001
122,-1.3025788464999e-08,0.005,0.017,0.001
123,3.7461789914484e-08,0.007,0.017,0.001
124,6.180496736407e-08,0.009,0.017,0.001
125,4.4441850564223e-08,0.011,0.017,0.001
126,2.095144794581e-08,0.013,0.017,0.001
127,1.7405223371365e-08,0.015,0.017,0.001
128,1.8211701423585e-08,0.017,0.017,0.001
129,8.9938754277706e-09,0.019,0.017,0.001
130,-1.2662509776286e-08,0.021,0.017,0.001
131,-1.9284900293821e-08,0.023,0.017,0.001
132,-2.7924616707304e-09,0.025,0.017,0.001
133,8.490599017516e-09,0.027,0.017,0.001
134,-9.734238932465e-10,0.029,0.017,0.001
135,-7.7307949177559e-10,0.001,0.019,0.001
136,-2.750146173472e-08,0.003,0.019,0.001
137,-5.1797422614438e-09,0.005,0.019,0.001
138,4.102748144831e-08,0.007,0.019,0.001
139,6.1134977671041e-08,0.009,0.019,0.001
140,5.198703870694e-08,0.011,0.019,0.001
141,3.9639203436894e-08,0.013,0.019,0.001
142,4.4459625396546e-08,0.015,0.019,0.001
143,4.0935407540084e-08,0.017,0.019,0.001
144,2.3208518024834e-08,0.019,0.019,0.001
145,-9.3504568006806e-09,0.021,0.019,0.001
146,-2.0439227378654e-08,0.023,0.019,0.001
147,-7.6106409622416e-10,0.025,0.019,0.001
148,1.0898089228125e-08,0.027,0.019,0.001
149,-2.6375886103068e-09,0.029,0.019,0.001
150,-8.0393227569696e-10,0.001,0.021,0.001
151,-2.702836708176e-08,0.003,0.021,0.001
152,-4.9215144232501e-09,0.005,0.021,0.001
153,3.7603643620461e-08,0.007,0.021,0.001
154,5.7734872818532e-08,0.009,0.021,0.001
155,5.8988290715277e-08,0.011,0.021,0.001
156,5.7545149201553e-08,0.013,0.021,0.001
157,5.944891338941e-08,0.015,0.021,0.001
158,4.9759088769254e-08,0.017,0.021,0.001
159,2.2900393575512e-08,0.019,0.021,0.001
160,-9.2222064266479e-09,0.021,0.021,0.001
161,-1.7347811769162e-08,0.023,0.021,0.001
162,2.5704717622847e-09,0.025,0.021,0.001
163,9.894655333581e-09,0.027,0.021,0.001
164,-3.7006369037821e-09,0.029,0.021,0.001
165,1.3312184419222e-09,0.001,0.023,0.001
166,-3.0056592956262e-08,0.003,0.023,0.001
167,-1.0914059152808e-08,0.005,0.023,0.001
168,2.5867907827506e-08,0.007,0.023,0.001
169,5.6766275888477e-08,0.009,0.023,0.001
170,6.4380248103147e-08,0.011,0.023,0.001
171,6.9302522995238e-08,0.013,0.023,0.001
172,6.2667534665175e-08,0.015,0.023,0.001
173,3.6927257911676e-08,0.017,0.023,0.001
174,9.0904660694154e-09,0.019,0.023,0.001
175,-1.4885588158113e-08,0.021,0.023,0.001
176,-1.1021095759281e-08,0.023,0.023,0.001
177,5.8390190934483e-09,0.025,0.023,0.001
178,5.4696050188544e-09,0.027,0.023,0.001
179,-3.5261113253691e-09,0.029,0.023,0.001
180,4.4757841518122e-09,0.001,0.025,0.001
181,-2.9483683024254e-08,0.003,0.025,0.001
182,-2.1840808314584e-08,0.005,0.025,0.001
183,7.7000871835717e-09,0.007,0.025,0.001
184,4.234798681275e-08,0.009,0.025,0.001
185,5.2303386235651e-08,0.011,0.025,0.001
186,5.381358976189e-08,0.013,0.025,0.001
187,3.6568880522599e-08,0.015,0.025,0.001
188,4.9669113353317e-09,0.017,0.025,0.001
189,-1.4248779505172e-08,0.019,0.025,0.001
190,-1.7275159028699e-08,0.021,0.025,0.001
191,-3.5546862641494e-09,0.023,0.025,0.001
192,6.4879852676173e-09,0.025,0.025,0.001
193,5.9891908305327e-11,0.027,0.025,0.001
194,-2.2137776606271e-09,0.029,0.025,0.001
195,6.0851465569709e-09,0.001,0.027,0.001
196,-1.7073943630465e-08,0.003,0.027,0.001
197,-2.8913543359451e-08,0.005,0.027,0.001
198,-1.4410776521447e-08,0.007,0.027,0.001
199,2.547671955761e-09,0.009,0.027,0.001
200,7.2511528992938e-09,0.011,0.027,0.001
201,-2.1416205299932e-09,0.013,0.027,0.001
202,-1.9057404438867e-08,0.015,0.027,0.001
203,-3.0394900315996e-08,0.017,0.027,0.001
204,-2.5349322724649e-08,0.019,0.027,0.001
205,-9.2918357287288e-09,0.021,0.027,0.001
206,2.7000341121307e-09,0.023,0.027,0.001
207,2.6928330699376e-09,0.025,0.027,0.001
208,-3.1581629219568e-09,0.027,0.027,0.001
209,-3.9892295991333e-10,0.029,0.027,0.001
210,3.9972673220018e-09,0.001,0.029,0.001
211,2.2881951276904e-09,0.003,0.029,0.001
212,-1.5787839995063e-08,0.005,0.029,0.001
213,-2.674365997228e-08,0.007,0.029,0.001
214,-2.9196058225733e-08,0.009,0.029,0.001
215,-3.5687361669891e-08,0.011,0.029,0.001
216,-4.5833181907381e-08,0.013,0.029,0.001
217,-4.6447630212967e-08,0.015,0.029,0.001
