id,integral_strain_stress,x,y,z
0,1.0409349659586e-07,0.001,0.001,0.001
1,9.1927616522519e-08,0.003,0.001,0.001
2,5.1332648730873e-08,0.005,0.001,0.001
3,-2.6506948732398e-09,0.007,0.001,0.001
4,-3.8023296953455e-08,0.009,0.001,0.001
5,-1.0830388536213e-07,0.011,0.001,0.001
6,-1.4438418432667e-07,0.013,0.001,0.001
7,-1.5784122960649e-07,0.015,0.001,0.001
8,-1.2867133923986e-07,0.017,0.001,0.001
9,-5.644900539249e-08,0.019,0.001,0.001
10,-3.1374657670729e-09,0.021,0.001,0.001
11,3.7791731364363e-08,0.023,0.001,0.001
12,4.2580086182932e-08,0.025,0.001,0.001
13,2.0579545006904e-08,0.027,0.001,0.001
14,1.9705141915438e-08,0.029,0.001,0.001
15,1.2811629115231e-07,0.001,0.003,0.001
16,2.2836152637578e-08,0.003,0.003,0.001
17,-2.3230032647291e-08,0.005,0.003,0.001
18,-8.1392566666347e-08,0.007,0.003,0.001
19,-1.5577228971246e-07,0.009,0.003,0.001
20,-2.1741311884783e-07,0.011,0.003,0.001
21,-2.7735906790553e-07,0.013,0.003,0.001
22,-2.713307812596e-07,0.015,0.003,0.001
23,-2.1055174828289e-07,0.017,0.003,0.001
24,-1.2830336754695e-07,0.019,0.003,0.001
25,-3.5213420902117e-08,0.021,0.003,0.001
26,4.4551545575779e-09,0.023,0.003,0.001
27,2.672558805747e-08,0.025,0.003,0.001
28,2.3791553694189e-08,0.027,0.003,0.001
29,4.4241242578498e-08,0.029,0.003,0.001
30,1.0860041130835e-07,0.001,0.005,0.001
31,-4.5769700530093e-08,0.003,0.005,0.001
32,-9.2913689123933e-08,0.005,0.005,0.001
33,-1.6180420123385e-07,0.007,0.005,0.001
34,-2.1366080438051e-07,0.009,0.005,0.001
35,-2.9486197328231e-07,0.011,0.005,0.001
36,-3.2497010614728e-07,0.013,0.005,0.001
37,-3.0177881471797e-07,0.015,0.005,0.001
38,-2.3810262350007e-07,0.017,0.005,0.001
39,-1.4082128040438e-07,0.019,0.005,0.001
40,-6.4914413703526e-08,0.021,0.005,0.001
41,-1.2031801346398e-08,0.023,0.005,0.001
42,4.7226213719291e-09,0.025,0.005,0.001
