id,uxi,x,y,z
0,-1.2997238324813,0.015,0.001,0
0.001,-0.93590245599768,0.015,0.002,0
0.002,-0.49114457616033,0.015,0.003,0
0.003,-0.046386696322986,0.015,0.004,0
0.004,0.43955016722409,0.015,0.005,0
0.005,0.92548703077116,0.015,0.006,0
0.006,1.4023834114178,0.015,0.007,0
0.007,1.8792797920645,0.015,0.008,0
0.008,2.2959526983948,0.015,0.009,0
0.009,2.7126256047251,0.015,0.01,0
0.01,3.0238034823221,0.015,0.011,0
0.011,3.334981359919,0.015,0.012,0
0.012,3.5203029439448,0.015,0.013,0
0.013,3.7056245279706,0.015,0.014,0
0.014,3.7604264127346,0.015,0.015,0
0.015,3.8152282974986,0.015,0.016,0
0.016,3.7751376626419,0.015,0.017,0
0.017,3.7350470277853,0.015,0.018,0
0.018,3.6428909023165,0.015,0.019,0
0.019,3.5507347768477,0.015,0.02,0
0.02,3.4689799087999,0.015,0.021,0
0.021,3.3872250407521,0.015,0.022,0
