x,y,z,value
0,0,0.016,0.000416804033062149
0.002,0,0.016,-0.000303272653260108
0.002,0.002,0.016,0.000343803197664791
0,0.002,0.016,7.64789621936434e-05
0.004,0,0.016,-0.000140657913449339
0.004,0.002,0.016,0.000253592799125781
0.006,0,0.016,-0.000381519173597299
0.006,0.002,0.016,-0.000233160717211808
0.008,0,0.016,-0.000513329581332596
0.008,0.002,0.016,5.07952628509617e-05
0.01,0,0.016,-0.000359017494931582
0.01,0.002,0.016,-6.18797502521893e-05
0.012,0,0.016,-0.000249505441190322
0.012,0.002,0.016,-0.000405672518384277
0.014,0,0.016,0.000151930645001929
0.014,0.002,0.016,0.000534809536908721
0.016,0,0.016,-0.000104191511998868
0.016,0.002,0.016,-0.000329088963269479
0.018,0,0.016,0.000566281549225205
0.018,0.002,0.016,-0.000450071529355452
0.02,0,0.016,0.000123212634969149
0.02,0.002,0.016,-0.000225038734708398
0.022,0,0.016,4.74431655895503e-05
0.022,0.002,0.016,0.000147177663799292
0.024,0,0.016,0.000342309573286557
0.024,0.002,0.016,0.000273231779590998
0.026,0,0.016,0.000149768309187507
0.026,0.002,0.016,0.000115086690384116
0.028,0,0.016,6.70367828696715e-05
0.028,0.002,0.016,-0.000180982385577787
0.03,0,0.016,-0.000184458435893003
0.03,0.002,0.016,0.000360373630873957
0.002,0.004,0.016,6.38764984334387e-05
0,0.004,0.016,-0.000385056899163507
0.004,0.004,0.016,-0.000494331700386583
0.006,0.004,0.016,0.000217517895222832
0.008,0.004,0.016,0.000447524725403048
0.01,0.004,0.016,0.000179466453004045
0.012,0.004,0.016,-4.97019236804145e-05
0.014,0.004,0.016,-0.000207454855149428
0.016,0.004,0.016,-0.000316937343417289
0.018,0.004,0.016,0.000157331066055359
0.02,0.004,0.016,6.00631706125667e-05
0.022,0.004,0.016,0.00067150668630844
0.024,0.004,0.016,-0.000278339680028926
0.026,0.004,0.016,0.000824473445715592
0.028,0.004,0.016,-0.000133876121430303
0.03,0.004,0.016,-6.03452415285146e-05
0.002,0.006,0.016,4.1346424159879e-06
0,0.006,0.016,0.000108254619739256
0.004,0.006,0.016,-0.000137313050793013
0.006,0.006,0.016,-5.61140140960949e-05
0.008,0.006,0.016,3.08291916214414e-05
0.01,0.006,0.016,-0.000167389592152476
0.012,0.006,0.016,8.87100541533668e-05
0.014,0.006,0.016,0.000138315573094601
0.016,0.006,0.016,-0.0004819595790083
0.018,0.006,0.016,0.000125047594128482
0.02,0.006,0.016,0.000505868193458149
0.022,0.006,0.016,-0.000347783196427398
0.024,0.006,0.016,0.0001230752299566
0.026,0.006,0.016,-7.59804436779367e-05
0.028,0.006,0.016,-0.000173312180113971
0.03,0.006,0.016,-0.000173889989248492
0.002,0.008,0.016,4.15390913796471e-05
0,0.008,0.016,-0.000339550032426052
0.004,0.008,0.016,0.000216081171597563
0.006,0.008,0.016,9.99534281327096e-05
0.008,0.008,0.016,-8.78737501476396e-05
0.01,0.008,0.016,0.000293657678299121
0.012,0.008,0.016,0.000284551331494553
0.014,0.008,0.016,0.000423493052926216
0.016,0.008,0.016,-0.000353004194069832
0.018,0.008,0.016,-0.000136276326791516
0.02,0.008,0.016,0.000362679392991328
0.022,0.008,0.016,0.000174941229259045
0.024,0.008,0.016,-8.91699019623102e-05
0.026,0.008,0.016,-5.97152892959267e-05
0.028,0.008,0.016,0.000428136914286842
0.03,0.008,0.016,-0.000267820996862783
0.002,0.01,0.016,-4.39455749248318e-06
0,0.01,0.016,0.000109950267479993
0.004,0.01,0.016,-7.55291447288751e-05
0.006,0.01,0.016,-0.000276759160556792
0.008,0.01,0.016,-7.70141985315001e-06
0.01,0.01,0.016,-0.000216713683189651
0.012,0.01,0.016,0.000454106238465029
0.014,0.01,0.016,-7.28571237657422e-05
0.016,0.01,0.016,-0.000104342362130089
0.018,0.01,0.016,-0.000153525956568784
0.02,0.01,0.016,0.000390388673918828
0.022,0.01,0.016,-0.000560589005270851
0.024,0.01,0.016,0.000115513427088316
0.026,0.01,0.016,-0.000107589217134753
0.028,0.01,0.016,-0.000251968876599868
0.03,0.01,0.016,0.000299219153361229
0.002,0.012,0.016,0.000542241654703008
0,0.012,0.016,-0.000444633556136953
0.004,0.012,0.016,-0.000142880899022674
0.006,0.012,0.016,6.47876201264263e-06
0.008,0.012,0.016,-3.29112413504309e-05
0.01,0.012,0.016,0.000184394225661497
0.012,0.012,0.016,0.000142886544309835
0.014,0.012,0.016,-0.000373192259726026
