id,uxi,x,y,z
0,0.84695976756271,0.015,0.001,0
0.001,0.32273134644762,0.015,0.002,0
0.002,-0.34579105405763,0.015,0.003,0
0.003,-1.0143134545629,0.015,0.004,0
0.004,-1.6461497942739,0.015,0.005,0
0.005,-2.2779861339849,0.015,0.006,0
0.006,-2.7107671851089,0.015,0.007,0
0.007,-3.1435482362328,0.015,0.008,0
0.008,-3.2426777689267,0.015,0.009,0
0.009,-3.3418073016205,0.015,0.01,0
0.01,-3.0864960360088,0.015,0.011,0
0.011,-2.8311847703972,0.015,0.012,0
0.012,-2.2503632104809,0.015,0.013,0
0.013,-1.6695416505646,0.015,0.014,0
0.014,-0.90818374060114,0.015,0.015,0
0.015,-0.14682583063763,0.015,0.016,0
0.016,0.65751907695132,0.015,0.017,0
0.017,1.4618639845403,0.015,0.018,0
0.018,2.1403727094703,0.015,0.019,0
0.019,2.8188814344003,0.015,0.02,0
0.02,3.2280344822394,0.015,0.021,0
0.021,3.6371875300784,0.015,0.022,0
