x,y,z,value
0,0,0.016,1.31109001888284e-05
0.002,0,0.016,-5.79880297161357e-05
0.002,0.002,0.016,0.00032026772590228
0,0.002,0.016,-0.000135938869847156
0.004,0,0.016,0.000875214941317333
0.004,0.002,0.016,-0.000528995779510668
0.006,0,0.016,0.000462117108928198
0.006,0.002,0.016,0.000187718485215744
0.008,0,0.016,-0.000125025713163729
0.008,0.002,0.016,-0.000242568242028732
0.01,0,0.016,0.000589659101399659
0.01,0.002,0.016,0.000804461306853907
0.012,0,0.016,-0.000187891049539032
0.012,0.002,0.016,-0.000251022210236383
0.014,0,0.016,-0.000239929399114079
0.014,0.002,0.016,0.000140131074838606
0.016,0,0.016,0.000346877584585686
0.016,0.002,0.016,1.07586936530875e-05
0.018,0,0.016,-0.000321985238304427
0.018,0.002,0.016,0.000333600746916212
0.02,0,0.016,-0.00029269433318037
0.02,0.002,0.016,-0.000537500795730624
0.022,0,0.016,-0.000143057157116151
0.022,0.002,0.016,-0.000463651352014933
0.024,0,0.016,-9.17418844098706e-05
0.024,0.002,0.016,0.000552748566057754
0.026,0,0.016,-0.00106193447656475
0.026,0.002,0.016,0.000788183266233819
0.028,0,0.016,-0.000376116579703494
0.028,0.002,0.016,0.000459065589228507
0.03,0,0.016,-0.000485468137284199
0.03,0.002,0.016,0.000366110560544616
0.002,0.004,0.016,-1.61149714404042e-05
0,0.004,0.016,-0.000144233770433801
0.004,0.004,0.016,5.9954552722909e-05
0.006,0.004,0.016,0.000142739782187668
0.008,0.004,0.016,-0.00027581854381891
0.01,0.004,0.016,0.000420861121132628
0.012,0.004,0.016,0.000248871045536965
0.014,0.004,0.016,-8.03234370781608e-05
0.016,0.004,0.016,0.000329049547083297
0.018,0.004,0.016,9.48314981866997e-05
0.02,0.004,0.016,-0.000125223111366783
0.022,0.004,0.016,-0.000454891075155862
0.024,0.004,0.016,-0.000159448649208148
0.026,0.004,0.016,-0.000244364506244331
0.028,0.004,0.016,-0.000403097616811736
0.03,0.004,0.016,-1.53025237532736e-05
0.002,0.006,0.016,-1.8749932203118e-05
0,0.006,0.016,-0.00014377667913599
0.004,0.006,0.016,-3.39776149875819e-05
0.006,0.006,0.016,0.000453645541890739
0.008,0.006,0.016,0.000130725712346643
0.01,0.006,0.016,0.00012120887248549
0.012,0.006,0.016,-0.000270405649822572
0.014,0.006,0.016,0.00010102550117094
0.016,0.006,0.016,-0.000235546819533582
0.018,0.006,0.016,5.3851241102387e-05
0.02,0.006,0.016,-0.00017227555590875
0.022,0.006,0.016,-0.000466971869186221
0.024,0.006,0.016,0.000272164387797952
0.026,0.006,0.016,0.000375573210278671
0.028,0.006,0.016,5.76098442271139e-05
0.03,0.006,0.016,1.3703420544536e-05
0.002,0.008,0.016,0.000344805362279497
0,0.008,0.016,0.000582288467983265
0.004,0.008,0.016,0.000406009413588143
0.006,0.008,0.016,0.000399536209510395
0.008,0.008,0.016,-0.000109850836574961
0.01,0.008,0.016,0.000107246195945056
0.012,0.008,0.016,-0.000202529799449659
0.014,0.008,0.016,-6.38134602594506e-05
0.016,0.008,0.016,4.53584846829005e-05
