id,uxi,x,y,z
0,0.084626021666909,0,0,0
1,-0.0041986701385149,0.002,0,0
2,-0.27616072602072,0.002,0.002,0
3,-0.0046074794329657,0,0.002,0
4,-0.0079902819419094,0,0,0.002
5,-0.2698427178541,0.002,0,0.002
6,-0.51561239397707,0.002,0.002,0.002
7,-0.31994902152566,0,0.002,0.002
8,-0.25642740345442,0.004,0,0
9,-0.54386761035347,0.004,0.002,0
10,-0.55405714520983,0.004,0,0.002
11,-0.4502566536484,0.004,0.002,0.002
12,-0.51884516507459,0.006,0,0
13,-0.69573523598121,0.006,0.002,0
14,-0.73691961554862,0.006,0,0.002
15,-0.24291990167274,0.006,0.002,0.002
16,-0.73537881523363,0.008,0,0
17,-0.74364301023127,0.008,0.002,0
18,-0.81816894109125,0.008,0,0.002
19,0.014778162755414,0.008,0.002,0.002
20,-0.86278925955556,0.01,0,0
21,-0.71554454550564,0.01,0.002,0
22,-0.81607830007548,0.01,0,0.002
23,0.24337318527243,0.01,0.002,0.002
24,-0.91154404009496,0.012,0,0
25,-0.65854581060202,0.012,0.002,0
26,-0.77078406384397,0.012,0,0.002
27,0.39225938554048,0.012,0.002,0.002
28,-0.91042992825824,0.014,0,0
29,-0.6122775987573,0.014,0.002,0
30,-0.72883923307259,0.014,0,0.002
31,0.44358049508994,0.014,0.002,0.002
32,-0.88079454868045,0.016,0,0
33,-0.6218831666452,0.016,0.002,0
34,-0.72944453198833,0.016,0,0.002
35,0.41113252603016,0.016,0.002,0.002
36,-0.85568679116836,0.018,0,0
37,-0.66961340438838,0.018,0.002,0
38,-0.7620226592823,0.018,0,0.002
39,0.2880379480326,0.018,0.002,0.002
40,-0.78801698702369,0.02,0,0
41,-0.74721291834232,0.02,0.002,0
42,-0.82013815384565,0.02,0,0.002
43,0.099814865815791,0.02,0.002,0.002
44,-0.66141428743743,0.022,0,0
45,-0.78488596785204,0.022,0.002,0
46,-0.82837880933727,0.022,0,0.002
47,-0.15186892414476,0.022,0.002,0.002
48,-0.44282759579651,0.024,0,0
49,-0.72664193675692,0.024,0.002,0
50,-0.73782268919211,0.024,0,0.002
51,-0.40122609847289,0.024,0.002,0.002
52,-0.17726642901439,0.026,0,0
53,-0.53518740720615,0.026,0.002,0
54,-0.52015420320697,0.026,0,0.002
55,-0.56524379888906,0.026,0.002,0.002
56,0.057503808530608,0.028,0,0
57,-0.21941349868038,0.028,0.002,0
58,-0.19733716330471,0.028,0,0.002
59,-0.54454932791438,0.028,0.002,0.002
60,0.10649155593508,0.03,0,0
61,0.048911883586728,0.03,0.002,0
62,0.053228884870017,0.03,0,0.002
63,-0.28352130457686,0.03,0.002,0.002
64,-0.39298267511563,0.002,0.004,0
65,-0.11421198152914,0,0.004,0
66,-0.392933309074,0.002,0.004,0.002
67,-0.41859734538304,0,0.004,0.002
68,-0.49128597699612,0.004,0.004,0
69,0.039471807979433,0.004,0.004,0.002
70,-0.40506431572418,0.006,0.004,0
71,0.57610622054835,0.006,0.004,0.002
72,-0.2167104728972,0.008,0.004,0
73,1.0677305497358,0.008,0.004,0.002
74,-0.012192213205251,0.01,0.004,0
75,1.4138431262221,0.01,0.004,0.002
76,0.15139704795595,0.012,0.004,0
77,1.5839281752648,0.012,0.004,0.002
78,0.2228108267168,0.014,0.004,0
79,1.614212895173,0.014,0.004,0.002
80,0.20104421986645,0.016,0.004,0
81,1.5432977304062,0.016,0.004,0.002
82,0.06278250995535,0.018,0.004,0
83,1.4124443938753,0.018,0.004,0.002
84,-0.14874937012265,0.02,0.004,0
85,1.1748362374227,0.02,0.004,0.002
86,-0.39431676614513,0.022,0.004,0
87,0.80584425205034,0.022,0.004,0.002
88,-0.57659828548495,0.024,0.004,0
89,0.30089432167393,0.024,0.004,0.002
90,-0.60036918152808,0.026,0.004,0
91,-0.21481660774448,0.026,0.004,0.002
92,-0.40141880788827,0.028,0.004,0
93,-0.56356515993894,0.028,0.004,0.002
94,-0.078433153675101,0.03,0.004,0
95,-0.48183921296365,0.03,0.004,0.002
96,-0.29761984037745,0.002,0.006,0
97,-0.17982511379114,0,0.006,0
98,0.061499747182469,0.002,0.006,0.002
99,-0.25752971038288,0,0.006,0.002
100,-0.087711425695544,0.004,0.006,0
101,0.71304029661205,0.004,0.006,0.002
102,0.28204434876501,0.006,0.006,0
103,1.3434924807356,0.006,0.006,0.002
104,0.68156816947569,0.008,0.006,0
105,1.8176455883434,0.008,0.006,0.002
106,1.0073927877176,0.01,0.006,0
107,2.0750496510483,0.01,0.006,0.002
108,1.2011105964257,0.012,0.006,0
109,2.1423077516995,0.012,0.006,0.002
110,1.2711139828274,0.014,0.006,0
111,2.0839563274353,0.014,0.006,0.002
112,1.2092790407738,0.016,0.006,0
113,2.0146138481399,0.016,0.006,0.002
