id,uyr,x,y,z
0,-0.0026842383696799,0,0,0
1,0.00082565218038476,0.0005,0,0
2,0.0020685784631633,0.0005,0.0005,0
3,-0.0012625625888195,0,0.0005,0
4,0.0030486643917479,0.001,0,0
5,0.0042431470481964,0.001,0.0005,0
6,0.0046816821820827,0.0015,0,0
7,0.0056316408536075,0.0015,0.0005,0
8,0.005808611770802,0.002,0,0
9,0.0064881907948923,0.002,0.0005,0
10,0.0065302545056407,0.0025,0,0
11,0.0069081332212416,0.0025,0.0005,0
12,0.0068941460008649,0.003,0,0
13,0.0069660503705389,0.003,0.0005,0
14,0.0069443919194109,0.0035,0,0
15,0.0067198485510108,0.0035,0.0005,0
16,0.0067253069412621,0.004,0,0
17,0.0062171662169561,0.004,0.0005,0
18,0.006275065899335,0.0045,0,0
19,0.0055098889054689,0.0045,0.0005,0
20,0.0056407750726541,0.005,0,0
21,0.0046406526773048,0.005,0.0005,0
22,0.004861199352268,0.0055,0,0
23,0.0036598347426884,0.0055,0.0005,0
24,0.0039844110831324,0.006,0,0
25,0.0026069605674086,0.006,0.0005,0
26,0.0030473973370983,0.0065,0,0
27,0.0015290692590528,0.0065,0.0005,0
28,0.0020950131164391,0.007,0,0
29,0.00046042971632524,0.007,0.0005,0
30,0.0011587502470132,0.0075,0,0
31,-0.00055814836832612,0.0075,0.0005,0
32,0.00027632262501271,0.008,0,0
33,-0.0014998689256307,0.008,0.0005,0
34,-0.00052906766273887,0.0085,0,0
35,-0.0023325360347817,0.0085,0.0005,0
36,-0.0012295368604909,0.009,0,0
37,-0.0030382107187594,0.009,0.0005,0
38,-0.0018115235451846,0.0095,0,0
39,-0.0035949122084792,0.0095,0.0005,0
40,-0.0022582729548387,0.01,0,0
41,-0.0039941396544594,0.01,0.0005,0
42,-0.0025659372394522,0.0105,0,0
43,-0.0042249829273339,0.0105,0.0005,0
44,-0.002728956360852,0.011,0,0
45,-0.0042883554788618,0.011,0.0005,0
46,-0.0027523759019616,0.0115,0,0
47,-0.004184533744914,0.0115,0.0005,0
48,-0.0026409086001679,0.012,0,0
49,-0.0039233682648646,0.012,0.0005,0
50,-0.0024071675469578,0.0125,0,0
51,-0.0035156603531086,0.0125,0.0005,0
52,-0.0020644789855911,0.013,0,0
53,-0.0029793091452093,0.013,0.0005,0
54,-0.001631426353617,0.0135,0,0
55,-0.0023341245303475,0.0135,0.0005,0
56,-0.0011277414668792,0.014,0,0
57,-0.0016045771979495,0.014,0.0005,0
58,-0.00057609559840729,0.0145,0,0
59,-0.00081698990932409,0.0145,0.0005,0
60,-4.9472220128121e-16,0.015,0,0
61,-1.2166666005689e-16,0.015,0.0005,0
62,0.00057609559841112,0.0155,0,0
63,0.0008169899093264,0.0155,0.0005,0
64,0.0011277414668866,0.016,0,0
65,0.0016045771979551,0.016,0.0005,0
66,0.0016314263536249,0.0165,0,0
67,0.0023341245303547,0.0165,0.0005,0
68,0.0020644789856017,0.017,0,0
69,0.0029793091452171,0.017,0.0005,0
70,0.0024071675469682,0.0175,0,0
71,0.0035156603531177,0.0175,0.0005,0
72,0.0026409086001787,0.018,0,0
73,0.003923368264873,0.018,0.0005,0
74,0.0027523759019721,0.0185,0,0
75,0.0041845337449219,0.0185,0.0005,0
76,0.0027289563608618,0.019,0,0
77,0.0042883554788697,0.019,0.0005,0
78,0.0025659372394599,0.0195,0,0
79,0.0042249829273399,0.0195,0.0005,0
80,0.0022582729548465,0.02,0,0
81,0.0039941396544647,0.02,0.0005,0
82,0.0018115235451914,0.0205,0,0
83,0.0035949122084853,0.0205,0.0005,0
84,0.0012295368604969,0.021,0,0
85,0.0030382107187648,0.021,0.0005,0
86,0.00052906766274361,0.0215,0,0
87,0.0023325360347869,0.0215,0.0005,0
88,-0.00027632262500857,0.022,0,0
89,0.0014998689256355,0.022,0.0005,0
90,-0.0011587502470092,0.0225,0,0
91,0.00055814836833182,0.0225,0.0005,0
92,-0.0020950131164336,0.023,0,0
93,-0.00046042971631778,0.023,0.0005,0
94,-0.0030473973370927,0.0235,0,0
95,-0.0015290692590447,0.0235,0.0005,0
96,-0.0039844110831272,0.024,0,0
97,-0.0026069605674001,0.024,0.0005,0
98,-0.0048611993522635,0.0245,0,0
99,-0.0036598347426814,0.0245,0.0005,0
100,-0.00564077507265,0.025,0,0
101,-0.0046406526772981,0.025,0.0005,0
102,-0.0062750658993309,0.0255,0,0
103,-0.0055098889054632,0.0255,0.0005,0
104,-0.0067253069412584,0.026,0,0
105,-0.0062171662169508,0.026,0.0005,0
106,-0.0069443919194093,0.0265,0,0
107,-0.0067198485510076,0.0265,0.0005,0
108,-0.0068941460008647,0.027,0,0
109,-0.0069660503705377,0.027,0.0005,0
110,-0.0065302545056405,0.0275,0,0
111,-0.006908133221242,0.0275,0.0005,0
112,-0.0058086117708021,0.028,0,0
113,-0.0064881907948929,0.028,0.0005,0
114,-0.0046816821820822,0.0285,0,0
115,-0.0056316408536087,0.0285,0.0005,0
116,-0.0030486643917468,0.029,0,0
117,-0.0042431470481967,0.029,0.0005,0
118,-0.00082565218038148,0.0295,0,0
119,-0.0020685784631616,0.0295,0.0005,0
120,0.0026842383696856,0.03,0,0
121,0.0012625625888245,0.03,0.0005,0
122,0.002924898083352,0.0005,0.001,0
123,0.00042090531233095,0,0.001,0
124,0.0047275500829711,0.001,0.001,0
125,0.0057838899287725,0.0015,0.001,0
126,0.0062882337830576,0.002,0.001,0
127,0.006366679812224,0.0025,0.001,0
128,0.0061105772740724,0.003,0.001,0
129,0.0055822692421967,0.0035,0.001,0
130,0.0048457513925188,0.004,0.001,0
131,0.0039441751905586,0.0045,0.001,0
132,0.0029324011491483,0.005,0.001,0
133,0.0018449613132463,0.0055,0.001,0
134,0.00073107893933347,0.006,0.001,0
135,-0.00038142841204482,0.0065,0.001,0
136,-0.001449047019385,0.007,0.001,0
137,-0.0024505231031843,0.0075,0.001,0
