id,uxr,x,y,z
0,-0.52259533435375,0.015,0.001,0
0.001,-0.48614900085914,0.015,0.002,0
0.002,-0.18804853940673,0.015,0.003,0
0.003,0.11005192204569,0.015,0.004,0
0.004,0.49121997145604,0.015,0.005,0
0.005,0.87238802086639,0.015,0.006,0
0.006,1.08434076208,0.015,0.007,0
0.007,1.2962935032935,0.015,0.008,0
0.008,1.1224178320112,0.015,0.009,0
0.009,0.94854216072893,0.015,0.01,0
0.01,0.39893508195049,0.015,0.011,0
0.011,-0.15067199682794,0.015,0.012,0
0.012,-0.94309979551963,0.015,0.013,0
0.013,-1.7355275942113,0.015,0.014,0
0.014,-2.4891509092925,0.015,0.015,0
0.015,-3.2427742243737,0.015,0.016,0
0.016,-3.8105344719823,0.015,0.017,0
0.017,-4.3782947195909,0.015,0.018,0
0.018,-4.6528695701842,0.015,0.019,0
0.019,-4.9274444207775,0.015,0.02,0
0.02,-4.9889056300876,0.015,0.021,0
0.021,-5.0503668393977,0.015,0.022,0
