id,uxi,x,y,z
0,-0.13785424456442,0,0,0
1,-0.097650884059012,0.002,0,0
2,0.22031336500886,0.002,0.002,0
3,-0.070087656302006,0,0.002,0
4,-0.069253173913923,0,0,0.002
5,0.2060827800293,0.002,0,0.002
6,0.68059288983969,0.002,0.002,0.002
7,0.32819316784327,0,0.002,0.002
8,0.15593905562067,0.004,0,0
9,0.61666228193098,0.004,0.002,0
10,0.60644140740422,0.004,0,0.002
11,0.89101814049199,0.004,0.002,0.002
12,0.48617875652575,0.006,0,0
13,0.95378210466888,0.006,0.002,0
14,0.9703872620906,0.006,0,0.002
15,0.96418997412282,0.006,0.002,0.002
16,0.81779805580745,0.008,0,0
17,1.2124940835382,0.008,0.002,0
18,1.2619798725143,0.008,0,0.002
19,0.93949620590209,0.008,0.002,0.002
20,1.0801295780328,0.01,0,0
21,1.3896962890137,0.01,0.002,0
22,1.470383797275,0.01,0,0.002
23,0.86450289936106,0.01,0.002,0.002
24,1.2663958915566,0.012,0,0
25,1.4900506068605,0.012,0.002,0
26,1.5924343908633,0.012,0,0.002
27,0.81046947331845,0.012,0.002,0.002
28,1.3385164035311,0.014,0,0
29,1.5589070026962,0.014,0.002,0
30,1.6642016838138,0.014,0,0.002
31,0.79379413334361,0.014,0.002,0.002
32,1.3290668417553,0.016,0,0
33,1.5715799645456,0.016,0.002,0
34,1.6701331667878,0.016,0,0.002
35,0.8500862885752,0.016,0.002,0.002
36,1.2079074297486,0.018,0,0
37,1.5467590488246,0.018,0.002,0
38,1.6215509831848,0.018,0,0.002
39,0.9428671754802,0.018,0.002,0.002
40,0.99564009187146,0.02,0,0
41,1.4395744766016,0.02,0.002,0
42,1.4817611349205,0.02,0,0.002
43,1.0508353328726,0.02,0.002,0.002
44,0.70327102372091,0.022,0,0
45,1.2357630751832,0.022,0.002,0
46,1.2438143069364,0.022,0,0.002
47,1.1108404212343,0.022,0.002,0.002
48,0.3644237199223,0.024,0,0
49,0.92532404016479,0.024,0.002,0
50,0.90389993973072,0.024,0,0.002
51,1.0749090269375,0.024,0.002,0.002
52,0.057924476125856,0.026,0,0
53,0.54071879291398,0.026,0.002,0
54,0.50653843885777,0.026,0,0.002
55,0.90699577155995,0.026,0.002,0.002
56,-0.14163677101158,0.028,0,0
57,0.12949270114208,0.028,0.002,0
58,0.10648749036774,0.028,0,0.002
59,0.60117276653253,0.028,0.002,0.002
60,-0.12474687176604,0.03,0,0
61,-0.12453174424429,0.03,0.002,0
62,-0.11900132666991,0.03,0,0.002
63,0.2222025618207,0.03,0.002,0.002
64,0.46817760387853,0.002,0.004,0
65,0.070518726998877,0,0.004,0
66,0.87022801805512,0.002,0.004,0.002
67,0.6090308730059,0,0.004,0.002
68,0.83446523957863,0.004,0.004,0
69,0.78198326520309,0.004,0.004,0.002
70,1.0440837463449,0.006,0.004,0
71,0.49587745474645,0.006,0.004,0.002
