id,integral_strain_stress,x,y,z
0,-3.5331447619024e-08,0.001,0.001,0.001
1,-4.214489388022e-09,0.003,0.001,0.001
2,8.482587035621e-08,0.005,0.001,0.001
3,1.9582836294981e-07,0.007,0.001,0.001
4,1.7947686395337e-07,0.009,0.001,0.001
5,1.4031273064453e-07,0.011,0.001,0.001
6,3.3771881768744e-08,0.013,0.001,0.001
7,-7.6110646952886e-08,0.015,0.001,0.001
8,-1.7203847717871e-07,0.017,0.001,0.001
9,-2.3278745196732e-07,0.019,0.001,0.001
10,-1.7181832870529e-07,0.021,0.001,0.001
11,-9.0322564379154e-08,0.023,0.001,0.001
12,6.0628648510376e-08,0.025,0.001,0.001
13,1.1336847106805e-07,0.027,0.001,0.001
14,3.0513034930446e-08,0.029,0.001,0.001
15,-2.7826829914694e-08,0.001,0.003,0.001
16,1.3324690467763e-07,0.003,0.003,0.001
17,1.9989755515858e-07,0.005,0.003,0.001
18,1.4220344164038e-07,0.007,0.003,0.001
19,5.2890778526493e-08,0.009,0.003,0.001
20,-2.1342132072963e-08,0.011,0.003,0.001
21,-8.8636921874897e-08,0.013,0.003,0.001
22,-1.3186635995718e-07,0.015,0.003,0.001
23,-2.225619511583e-07,0.017,0.003,0.001
24,-2.857049372283e-07,0.019,0.003,0.001
25,-3.5898374035171e-07,0.021,0.003,0.001
26,-3.2902057746151e-07,0.023,0.003,0.001
27,-2.1350611107053e-07,0.025,0.003,0.001
28,-1.1942486624031e-08,0.027,0.003,0.001
29,9.6820474382658e-08,0.029,0.003,0.001
30,3.442516272852e-08,0.001,0.005,0.001
31,2.3389201644588e-07,0.003,0.005,0.001
32,1.8104565227564e-07,0.005,0.005,0.001
33,-2.3188552506102e-08,0.007,0.005,0.001
34,-1.5511577921e-07,0.009,0.005,0.001
35,-1.9748296296835e-07,0.011,0.005,0.001
36,-1.5448870362222e-07,0.013,0.005,0.001
37,-4.7096318217463e-08,0.015,0.005,0.001
38,2.3113380198188e-09,0.017,0.005,0.001
39,-3.0747222471151e-09,0.019,0.005,0.001
40,-1.3005812039517e-07,0.021,0.005,0.001
41,-2.8935247457743e-07,0.023,0.005,0.001
42,-3.7124816625498e-07,0.025,0.005,0.001
43,-2.3636274457391e-07,0.027,0.005,0.001
44,7.5546020879128e-08,0.029,0.005,0.001
45,1.1940825858336e-07,0.001,0.007,0.001
46,2.4422748128936e-07,0.003,0.007,0.001
47,3.4136861138738e-08,0.005,0.007,0.001
48,-2.1162357413275e-07,0.007,0.007,0.001
49,-3.6680901463871e-07,0.009,0.007,0.001
50,-3.7909848556764e-07,0.011,0.007,0.001
51,-2.5073733995377e-07,0.013,0.007,0.001
52,-6.7346496063788e-08,0.015,0.007,0.001
53,1.782980040274e-07,0.017,0.007,0.001
54,2.909389219304e-07,0.019,0.007,0.001
55,2.7226072896643e-07,0.021,0.007,0.001
56,2.0393574915089e-08,0.023,0.007,0.001
57,-2.4314839674115e-07,0.025,0.007,0.001
58,-3.3633386682549e-07,0.027,0.007,0.001
59,-3.1840462239241e-08,0.029,0.007,0.001
60,1.8005944083962e-07,0.001,0.009,0.001
61,1.7272734500317e-07,0.003,0.009,0.001
62,-1.3397314122463e-07,0.005,0.009,0.001
63,-3.9617751293301e-07,0.007,0.009,0.001
64,-5.3696570018005e-07,0.009,0.009,0.001
65,-5.4701527987294e-07,0.011,0.009,0.001
66,-4.6417223899444e-07,0.013,0.009,0.001
67,-2.5381642673708e-07,0.015,0.009,0.001
68,3.551167459618e-08,0.017,0.009,0.001
69,3.1901789178742e-07,0.019,0.009,0.001
70,4.6144538691023e-07,0.021,0.009,0.001
71,3.4105855122255e-07,0.023,0.009,0.001
72,2.6822325003367e-08,0.025,0.009,0.001
73,-2.5795610093108e-07,0.027,0.009,0.001
74,-1.3817341403311e-07,0.029,0.009,0.001
75,2.3135225335587e-07,0.001,0.011,0.001
76,5.7450481259995e-08,0.003,0.011,0.001
77,-2.7397196573472e-07,0.005,0.011,0.001
78,-5.5090007895065e-07,0.007,0.011,0.001
79,-6.5279115206403e-07,0.009,0.011,0.001
