x,y,z,value
0,0,0.016,-1.76224489993336e-06
0.002,0,0.016,-3.28766734609531e-06
0.002,0.002,0.016,1.10296636318263e-05
0,0.002,0.016,2.63943867583965e-05
0.004,0,0.016,4.55265094019113e-05
0.004,0.002,0.016,-4.2793144600659e-05
0.006,0,0.016,-4.38813925283004e-06
0.006,0.002,0.016,1.96569548618149e-05
0.008,0,0.016,4.28727401060081e-05
0.008,0.002,0.016,3.38636821839823e-05
0.01,0,0.016,7.61157321039823e-06
0.01,0.002,0.016,3.26533780942169e-05
0.012,0,0.016,2.58321047979899e-05
0.012,0.002,0.016,3.58346816420087e-05
0.014,0,0.016,4.08696664974356e-05
0.014,0.002,0.016,5.7223007957868e-05
0.016,0,0.016,4.57922015390222e-05
0.016,0.002,0.016,2.54978491683918e-05
0.018,0,0.016,-3.20926138577068e-05
0.018,0.002,0.016,8.16668388076204e-05
0.02,0,0.016,-6.84021798219473e-05
0.02,0.002,0.016,-3.23951956652791e-05
0.022,0,0.016,-1.25298093082801e-05
0.022,0.002,0.016,-7.44565622379037e-05
0.024,0,0.016,-2.92334680545303e-05
0.024,0.002,0.016,3.26280531291551e-05
0.026,0,0.016,-2.64486156221469e-06
0.026,0.002,0.016,-1.61157121981071e-05
0.028,0,0.016,4.37797369299265e-05
0.028,0.002,0.016,-1.00899064489817e-05
0.03,0,0.016,-1.03078994368667e-05
0.03,0.002,0.016,-3.17384801913721e-05
0.002,0.004,0.016,6.40669133332045e-05
0,0.004,0.016,1.81293311607736e-05
0.004,0.004,0.016,8.27824569390635e-05
0.006,0.004,0.016,-1.05469411838397e-05
0.008,0.004,0.016,-3.21810820636285e-05
0.01,0.004,0.016,-1.90688308219879e-05
0.012,0.004,0.016,9.54374760260622e-06
0.014,0.004,0.016,-7.34426339654747e-06
0.016,0.004,0.016,-4.13078020254764e-05
0.018,0.004,0.016,1.85033563849758e-05
0.02,0.004,0.016,2.34556610084272e-05
0.022,0.004,0.016,-3.40767274788541e-05
0.024,0.004,0.016,-3.99684218274265e-05
0.026,0.004,0.016,-4.93619596921721e-05
0.028,0.004,0.016,6.16369214314503e-05
0.03,0.004,0.016,2.48859442569654e-05
0.002,0.006,0.016,-2.10524516522835e-05
0,0.006,0.016,4.85231822900623e-06
0.004,0.006,0.016,7.92093754835171e-05
0.006,0.006,0.016,-4.76044388023685e-06
0.008,0.006,0.016,-3.70361769898317e-05
0.01,0.006,0.016,8.08910318150075e-05
0.012,0.006,0.016,1.28907425489767e-05
0.014,0.006,0.016,3.98972146370684e-05
0.016,0.006,0.016,2.01353641861128e-06
0.018,0.006,0.016,4.62530613058345e-05
0.02,0.006,0.016,6.04561608322726e-05
0.022,0.006,0.016,6.10613968053011e-05
0.024,0.006,0.016,2.01552099497204e-05
0.026,0.006,0.016,-8.22421224178516e-05
0.028,0.006,0.016,-5.50912802700357e-06
0.03,0.006,0.016,-3.24918366173457e-05
0.002,0.008,0.016,4.11325898331651e-05
0,0.008,0.016,-1.4785563822303e-05
0.004,0.008,0.016,2.45047012983749e-06
0.006,0.008,0.016,-6.52008225560939e-05
0.008,0.008,0.016,5.29776987734692e-05
0.01,0.008,0.016,-1.10382333596039e-05
0.012,0.008,0.016,2.50129473474667e-05
0.014,0.008,0.016,-2.08018062316447e-05
0.016,0.008,0.016,-7.25436914974882e-05
0.018,0.008,0.016,-2.34379839799117e-05
0.02,0.008,0.016,-9.85178554172375e-06
0.022,0.008,0.016,-2.93909585476876e-06
0.024,0.008,0.016,6.49076022564128e-06
0.026,0.008,0.016,-7.03240922788306e-05
0.028,0.008,0.016,-1.85238009638353e-05
0.03,0.008,0.016,1.77946773798389e-05
0.002,0.01,0.016,4.83948179933086e-05
0,0.01,0.016,-8.74819572962041e-06
0.004,0.01,0.016,7.34004478181806e-06
0.006,0.01,0.016,4.21769082108937e-05
0.008,0.01,0.016,1.54377075248432e-05
0.01,0.01,0.016,-5.26968250507606e-05
0.012,0.01,0.016,-7.65287512234018e-06
0.014,0.01,0.016,5.96624075944292e-06
0.016,0.01,0.016,1.15191405352824e-05
0.018,0.01,0.016,-6.80531736878542e-05
0.02,0.01,0.016,-4.72492866065075e-05
0.022,0.01,0.016,-1.68904910880143e-05
0.024,0.01,0.016,3.42664849542827e-05
0.026,0.01,0.016,-1.81695615606641e-05
0.028,0.01,0.016,6.78043414186277e-05
0.03,0.01,0.016,5.29652695596605e-05
0.002,0.012,0.016,9.98106295781209e-05
0,0.012,0.016,-3.43801279996872e-05
0.004,0.012,0.016,-4.35079163064337e-05
0.006,0.012,0.016,1.99892204756836e-05
0.008,0.012,0.016,-6.82213521840889e-05
0.01,0.012,0.016,5.02179495148623e-05
0.012,0.012,0.016,-7.07085977513788e-05
0.014,0.012,0.016,4.77188758281886e-05
0.016,0.012,0.016,-2.89875319724481e-05
0.018,0.012,0.016,4.11513760039174e-05
0.02,0.012,0.016,2.91118474462419e-06
0.022,0.012,0.016,4.53448094123038e-05
0.024,0.012,0.016,2.06391472353718e-05
0.026,0.012,0.016,2.3415783605319e-05
0.028,0.012,0.016,4.3177065726707e-05
0.03,0.012,0.016,1.66318981365846e-05
0.002,0.014,0.016,7.3593768322642e-06
