id,uxi,x,y,z
2048,0.33471123007842,0,0,0.016
2049,-0.193874465829,0.002,0,0.016
2050,-1.1434663035598,0.002,0.002,0.016
2051,-0.57505568665483,0,0.002,0.016
2052,-0.92480208717204,0.004,0,0.016
2053,-1.4695150571602,0.004,0.002,0.016
2054,-1.6455916676446,0.006,0,0.016
2055,-1.6297301032646,0.006,0.002,0.016
2056,-2.2574424858728,0.008,0,0.016
2057,-1.6227516969181,0.008,0.002,0.016
2058,-2.7400170952573,0.01,0,0.016
2059,-1.4787367099633,0.01,0.002,0.016
2060,-3.0469688699913,0.012,0,0.016
2061,-1.3402830071967,0.012,0.002,0.016
2062,-3.2098153724368,0.014,0,0.016
2063,-1.2558986006835,0.014,0.002,0.016
2064,-3.2367610591806,0.016,0,0.016
2065,-1.2938834563435,0.016,0.002,0.016
2066,-3.0788792195022,0.018,0,0.016
2067,-1.4808694009126,0.018,0.002,0.016
2068,-2.7739335138527,0.02,0,0.016
2069,-1.6473376781418,0.02,0.002,0.016
2070,-2.2385018338624,0.022,0,0.016
2071,-1.784040847473,0.022,0.002,0.016
2072,-1.5626970376611,0.024,0,0.016
2073,-1.7209641565825,0.024,0.002,0.016
2074,-0.78039891142758,0.026,0,0.016
2075,-1.4585209823479,0.026,0.002,0.016
2076,-0.023483695650621,0.028,0,0.016
2077,-1.0247117831323,0.028,0.002,0.016
2078,0.4731900590886,0.03,0,0.016
2079,-0.40665754960351,0.03,0.002,0.016
2080,-1.3982610284442,0.002,0.004,0.016
2081,-0.99259521407857,0,0.004,0.016
2082,-1.3522941809754,0.004,0.004,0.016
2083,-0.94736031348373,0.006,0.004,0.016
2084,-0.33537995095484,0.008,0.004,0.016
2085,0.33008173196027,0.01,0.004,0.016
2086,0.95631717828466,0.012,0.004,0.016
2087,1.2537676161132,0.014,0.004,0.016
2088,1.1611385348323,0.016,0.004,0.016
2089,0.75063106170204,0.018,0.004,0.016
2090,0.023342434931026,0.02,0.004,0.016
2091,-0.6501981963546,0.022,0.004,0.016
2092,-1.2013100319667,0.024,0.004,0.016
2093,-1.4863381779303,0.026,0.004,0.016
2094,-1.3917204092317,0.028,0.004,0.016
2095,-0.89454994284907,0.03,0.004,0.016
2096,-1.100502465338,0.002,0.006,0.016
2097,-0.98525399244189,0,0.006,0.016
2098,-0.65746484635394,0.004,0.006,0.016
2099,0.14418184024454,0.006,0.006,0.016
2100,1.2211874262568,0.008,0.006,0.016
2101,2.3162564789795,0.01,0.006,0.016
2102,3.1400547732638,0.012,0.006,0.016
2103,3.759678025172,0.014,0.006,0.016
2104,3.6918040952889,0.016,0.006,0.016
2105,2.8755628494514,0.018,0.006,0.016
2106,1.9525999890614,0.02,0.006,0.016
2107,0.80795515935956,0.022,0.006,0.016
2108,-0.24847254610089,0.024,0.006,0.016
2109,-0.94515856291484,0.026,0.006,0.016
2110,-1.2435757688023,0.028,0.006,0.016
2111,-0.99337194153679,0.03,0.006,0.016
2112,-0.40406338875283,0.002,0.008,0.016
2113,-0.63699870044737,0,0.008,0.016
2114,0.24249676595387,0.004,0.008,0.016
2115,1.3133372120198,0.006,0.008,0.016
2116,2.4884356066609,0.008,0.008,0.016
2117,3.7345264289822,0.01,0.008,0.016
2118,4.8265733568648,0.012,0.008,0.016
2119,5.1058916162948,0.014,0.008,0.016
2120,5.0564204850017,0.016,0.008,0.016
2121,4.6919417527757,0.018,0.008,0.016
2122,3.4169534378024,0.02,0.008,0.016
2123,2.0559586343724,0.022,0.008,0.016
2124,0.85574254588041,0.024,0.008,0.016
2125,-0.1724675772493,0.026,0.008,0.016
2126,-0.70247739524059,0.028,0.008,0.016
2127,-0.78347245053584,0.03,0.008,0.016
2128,0.39956713616277,0.002,0.01,0.016
2129,-0.052526533054875,0,0.01,0.016
2130,1.1004257748061,0.004,0.01,0.016
2131,1.9354978817184,0.006,0.01,0.016
2132,3.098925111373,0.008,0.01,0.016
2133,4.1063127322508,0.01,0.01,0.016
2134,4.339177088374,0.012,0.01,0.016
2135,4.3365263843725,0.014,0.01,0.016
2136,4.3090627121305,0.016,0.01,0.016
2137,4.2497286835973,0.018,0.01,0.016
2138,3.9418608537343,0.02,0.01,0.016
2139,2.7746207689081,0.022,0.01,0.016
2140,1.5054589967123,0.024,0.01,0.016
2141,0.63917190052629,0.026,0.01,0.016
2142,-0.0067130838779477,0.028,0.01,0.016
2143,-0.32261145835712,0.03,0.01,0.016
2144,1.0783957087252,0.002,0.012,0.016
2145,0.56086641646277,0,0.012,0.016
2146,1.4961845094944,0.004,0.012,0.016
2147,1.975140095336,0.006,0.012,0.016
2148,2.5294898757134,0.008,0.012,0.016
2149,2.7758160084169,0.01,0.012,0.016
2150,2.831421738762,0.012,0.012,0.016
2151,2.9360086825318,0.014,0.012,0.016
2152,2.9364365567144,0.016,0.012,0.016
2153,2.8346959200586,0.018,0.012,0.016
2154,2.7554551299452,0.02,0.012,0.016
2155,2.4163908304779,0.022,0.012,0.016
2156,1.7084583041973,0.024,0.012,0.016
2157,1.1227530808494,0.026,0.012,0.016
2158,0.64816157476454,0.028,0.012,0.016
2159,0.22814621425394,0.03,0.012,0.016
2160,1.4070120775458,0.002,0.014,0.016
2161,1.0100647038434,0,0.014,0.016
2162,1.3155207625773,0.004,0.014,0.016
2163,1.1217842654132,0.006,0.014,0.016
2164,0.99341582594185,0.008,0.014,0.016
2165,0.82064007596328,0.01,0.014,0.016
2166,0.75816620516294,0.012,0.014,0.016
2167,0.78306079167836,0.014,0.014,0.016
2168,0.82379737651501,0.016,0.014,0.016
2169,0.86040109594147,0.018,0.014,0.016
2170,0.99518299721751,0.02,0.014,0.016
2171,1.1904885542778,0.022,0.014,0.016
2172,1.1870044039366,0.024,0.014,0.016
2173,1.1514800240444,0.026,0.014,0.016
2174,1.1284572596116,0.028,0.014,0.016
2175,0.71264365505519,0.03,0.014,0.016
2176,1.2300438525538,0.002,0.016,0.016
2177,1.1875881258008,0,0.016,0.016
2178,0.66496229578862,0.004,0.016,0.016
2179,-0.4594854291555,0.006,0.016,0.016
2180,-1.4359241949896,0.008,0.016,0.016
2181,-1.7487545596855,0.01,0.016,0.016
2182,-1.9076371802323,0.012,0.016,0.016
2183,-1.9797589626531,0.014,0.016,0.016
2184,-1.8807964096982,0.016,0.016,0.016
2185,-1.6098059915995,0.018,0.016,0.016
2186,-1.2473999127964,0.02,0.016,0.016
2187,-0.88738831228262,0.022,0.016,0.016
2188,-0.055105194700989,0.024,0.016,0.016
2189,0.94529189501549,0.026,0.016,0.016
2190,1.2810625735934,0.028,0.016,0.016
2191,1.0940163152862,0.03,0.016,0.016
2192,0.6371805912304,0.002,0.018,0.016
2193,1.0106617399936,0,0.018,0.016
2194,-0.54635913261377,0.004,0.018,0.016
2195,-2.0317319329904,0.006,0.018,0.016
2196,-3.5668566424492,0.008,0.018,0.016
2197,-4.7278269083931,0.01,0.018,0.016
2198,-5.229548026931,0.012,0.018,0.016
2199,-5.3105359025431,0.014,0.018,0.016
2200,-5.1148564055566,0.016,0.018,0.016
2201,-4.7302442880225,0.018,0.018,0.016
2202,-3.9797258515352,0.02,0.018,0.016
2203,-2.6765501031927,0.022,0.018,0.016
2204,-1.0011566891238,0.024,0.018,0.016
2205,0.34849974053007,0.026,0.018,0.016
2206,1.216648286369,0.028,0.018,0.016
2207,1.2217908078431,0.03,0.018,0.016
2208,-0.24852733796334,0.002,0.02,0.016
2209,0.6087185496683,0,0.02,0.016
2210,-1.8793736298669,0.004,0.02,0.016
2211,-4.0119687743871,0.006,0.02,0.016
2212,-6.4108121355301,0.008,0.02,0.016
2213,-8.2599939109133,0.01,0.02,0.016
2214,-8.9570177073065,0.012,0.02,0.016
2215,-9.139359150028,0.014,0.02,0.016
2216,-8.9242320354582,0.016,0.02,0.016
2217,-8.275757247348,0.018,0.02,0.016
2218,-7.0454188300556,0.02,0.02,0.016
2219,-4.5389980430764,0.022,0.02,0.016
2220,-2.1242317856394,0.024,0.02,0.016
2221,-0.26167984223744,0.026,0.02,0.016
2222,0.91204460166767,0.028,0.02,0.016
2223,1.2185504259287,0.03,0.02,0.016
