id,uxr,x,y,z
0,-0.98895840731221,0.015,0.001,0
0.001,-0.52126770259081,0.015,0.002,0
0.002,0.067509891458652,0.015,0.003,0
0.003,0.65628748550811,0.015,0.004,0
0.004,1.2522288449153,0.015,0.005,0
0.005,1.8481702043225,0.015,0.006,0
0.006,2.355503783086,0.015,0.007,0
0.007,2.8628373618496,0.015,0.008,0
0.008,3.1719567860529,0.015,0.009,0
0.009,3.4810762102561,0.015,0.01,0
0.01,3.5652269980442,0.015,0.011,0
0.011,3.6493777858322,0.015,0.012,0
0.012,3.47614318193,0.015,0.013,0
0.013,3.3029085780278,0.015,0.014,0
0.014,2.9647643478185,0.015,0.015,0
0.015,2.6266201176093,0.015,0.016,0
0.016,2.1727687414913,0.015,0.017,0
0.017,1.7189173653734,0.015,0.018,0
0.018,1.3139100484663,0.015,0.019,0
0.019,0.90890273155918,0.015,0.02,0
0.02,0.64112334583804,0.015,0.021,0
0.021,0.3733439601169,0.015,0.022,0
