x,y,z,value
0,0,0.016,0.000103281983897052
0.002,0,0.016,-2.18299951670161e-05
0.002,0.002,0.016,-1.85071925292489e-05
0,0.002,0.016,5.31665507753682e-05
0.004,0,0.016,2.78201438947195e-05
0.004,0.002,0.016,3.25774708504206e-05
0.006,0,0.016,7.08960408519931e-05
0.006,0.002,0.016,1.80391117725696e-05
0.008,0,0.016,6.38747766460413e-05
0.008,0.002,0.016,3.11491288792965e-05
0.01,0,0.016,-1.3004755937976e-05
0.01,0.002,0.016,-4.73352967539412e-05
0.012,0,0.016,-1.31757033461563e-05
0.012,0.002,0.016,3.74406620273233e-05
0.014,0,0.016,1.43680368128628e-05
0.014,0.002,0.016,-1.78011290707981e-05
0.016,0,0.016,-3.95290100048696e-05
0.016,0.002,0.016,4.70710190159432e-05
0.018,0,0.016,5.24830246745024e-05
0.018,0.002,0.016,-0.000104027069272869
0.02,0,0.016,1.00227929293666e-05
0.02,0.002,0.016,4.40439076253862e-05
0.022,0,0.016,-2.23165142037518e-05
0.022,0.002,0.016,-2.95995146939586e-06
0.024,0,0.016,-2.12385697878886e-05
0.024,0.002,0.016,-6.28374937954939e-05
0.026,0,0.016,-2.72702204469832e-05
0.026,0.002,0.016,2.99667868077523e-06
0.028,0,0.016,-1.84836945777631e-05
0.028,0.002,0.016,2.01355898814422e-06
0.03,0,0.016,-8.34329576004476e-05
0.03,0.002,0.016,-3.04176215085985e-06
0.002,0.004,0.016,8.05981549334419e-05
0,0.004,0.016,-1.02532875699442e-05
0.004,0.004,0.016,5.9958761330105e-05
0.006,0.004,0.016,7.47550529853962e-06
0.008,0.004,0.016,-2.43804833637378e-05
0.01,0.004,0.016,3.94793917205514e-05
0.012,0.004,0.016,2.01927772633859e-05
0.014,0.004,0.016,6.87997609918802e-07
0.016,0.004,0.016,7.63547618516573e-05
0.018,0.004,0.016,3.02230147795645e-05
0.02,0.004,0.016,4.11024508356894e-05
0.022,0.004,0.016,-7.06183121573368e-05
0.024,0.004,0.016,-1.50249383988492e-05
0.026,0.004,0.016,8.76710958673334e-05
0.028,0.004,0.016,5.73220695071374e-05
0.03,0.004,0.016,-7.35780245754627e-05
0.002,0.006,0.016,-1.79374462257843e-05
0,0.006,0.016,-1.43941632188259e-06
0.004,0.006,0.016,3.38733433373783e-05
0.006,0.006,0.016,7.54427133121125e-06
0.008,0.006,0.016,-4.06096894072699e-05
0.01,0.006,0.016,1.50014503807884e-05
0.012,0.006,0.016,2.19593060980785e-05
0.014,0.006,0.016,2.63602450858387e-05
0.016,0.006,0.016,4.49170618204399e-05
0.018,0.006,0.016,-5.08364440791904e-05
0.02,0.006,0.016,4.27253280008752e-05
