id,uxi,x,y,z
0,1.4490275835907,0.015,0.001,0
0.001,1.5596897560919,0.015,0.002,0
0.002,1.3285751583723,0.015,0.003,0
0.003,1.0974605606526,0.015,0.004,0
0.004,0.54940001275245,0.015,0.005,0
0.005,0.001339464852287,0.015,0.006,0
0.006,-0.71387155366071,0.015,0.007,0
0.007,-1.4290825721737,0.015,0.008,0
0.008,-2.0957155811174,0.015,0.009,0
0.009,-2.762348590061,0.015,0.01,0
0.01,-3.1871712738904,0.015,0.011,0
0.011,-3.6119939577197,0.015,0.012,0
0.012,-3.6724231348368,0.015,0.013,0
0.013,-3.7328523119539,0.015,0.014,0
0.014,-3.4320078079454,0.015,0.015,0
0.015,-3.1311633039369,0.015,0.016,0
0.016,-2.5649254130163,0.015,0.017,0
0.017,-1.9986875220958,0.015,0.018,0
0.018,-1.3552091189586,0.015,0.019,0
0.019,-0.71173071582139,0.015,0.02,0
0.02,-0.18788932577959,0.015,0.021,0
0.021,0.33595206426222,0.015,0.022,0
