x,y,z,value
0.015,0.0005,0,51.918071780448
0.015,0.001,0,85.9459688747054
0.015,0.0015,0,212.421099466781
0.015,0.002,0,208.841601455122
0.015,0.0025,0,287.583434524983
0.015,0.003,0,205.236970122424
0.015,0.0035,0,233.356402500552
0.015,0.004,0,102.524301070907
0.015,0.0045,0,129.368185740872
0.015,0.005,0,2.24359211254159
0.015,0.0055,0,68.8021867213693
0.015,0.006,0,-39.3392225941543
0.015,0.0065,0,66.7949038878683
0.015,0.007,0,-46.4030433412008
0.015,0.0075,0,78.8571164802588
0.015,0.008,0,-64.5628439511618
0.015,0.0085,0,72.5188602212522
0.015,0.009,0,-106.388205274269
0.015,0.0095,0,58.2905145381394
0.015,0.01,0,-160.467727277824
0.015,0.0105,0,55.8701085330524
0.015,0.011,0,-225.916881737548
0.015,0.0115,0,59.5147924306286
0.015,0.012,0,-325.080094539849
0.015,0.0125,0,37.3169444548316
0.015,0.013,0,-490.607044207942
0.015,0.0135,0,-36.8641231154916
0.015,0.014,0,-721.802639957884
0.015,0.0145,0,-134.240155484472
0.015,0.015,0,-967.899424102417
0.015,0.0155,0,-219.890261242775
0.015,0.016,0,-1253.90529243906
0.015,0.0165,0,-444.909999573106
0.015,0.017,0,-1749.51147013388
0.015,0.0175,0,-962.6540903257
0.015,0.018,0,-2124.28918956707
0.015,0.0185,0,-843.397759439417
0.015,0.019,0,-1081.84255130971
0.015,0.0195,0,828.37081167389
0.015,0.02,0,2381.62530645634
