id,integral_strain_stress2,x,y,z
0,-8.9408928648202e-13,0.00025,0.00025,0
1,-1.5308155141467e-13,0.00075,0.00025,0
2,4.5320203040811e-13,0.00125,0.00025,0
3,1.1608662875037e-12,0.00175,0.00025,0
4,1.4831808148037e-12,0.00225,0.00025,0
5,1.5154840485081e-12,0.00275,0.00025,0
6,9.0132270724424e-13,0.00325,0.00025,0
7,-1.4780743264723e-14,0.00375,0.00025,0
8,-6.841272109579e-13,0.00425,0.00025,0
9,-3.4016201861028e-13,0.00475,0.00025,0
10,1.5552444921768e-12,0.00525,0.00025,0
11,4.4934062860792e-12,0.00575,0.00025,0
12,7.3071847537846e-12,0.00625,0.00025,0
13,8.1947551147077e-12,0.00675,0.00025,0
14,6.1924385546002e-12,0.00725,0.00025,0
15,1.4820533333549e-12,0.00775,0.00025,0
16,-4.269869173147e-12,0.00825,0.00025,0
17,-8.7458684055442e-12,0.00875,0.00025,0
18,-1.0151303812392e-11,0.00925,0.00025,0
19,-7.7897915047396e-12,0.00975,0.00025,0
20,-2.6514930507528e-12,0.01025,0.00025,0
21,3.4715021266666e-12,0.01075,0.00025,0
22,8.1880218507429e-12,0.01125,0.00025,0
23,9.6185718186656e-12,0.01175,0.00025,0
24,6.2308782139714e-12,0.01225,0.00025,0
25,-2.3094594328058e-12,0.01275,0.00025,0
26,-1.5958826501134e-11,0.01325,0.00025,0
27,-3.2001397998349e-11,0.01375,0.00025,0
28,-4.826576006803e-11,0.01425,0.00025,0
29,-5.6777380336856e-11,0.01475,0.00025,0
30,-5.6777380336995e-11,0.01525,0.00025,0
31,-4.8265760068385e-11,0.01575,0.00025,0
32,-3.2001397998823e-11,0.01625,0.00025,0
33,-1.595882650161e-11,0.01675,0.00025,0
34,-2.3094594332137e-12,0.01725,0.00025,0
35,6.2308782136673e-12,0.01775,0.00025,0
36,9.6185718184517e-12,0.01825,0.00025,0
37,8.1880218506044e-12,0.01875,0.00025,0
38,3.4715021265809e-12,0.01925,0.00025,0
39,-2.6514930507999e-12,0.01975,0.00025,0
40,-7.7897915047544e-12,0.02025,0.00025,0
41,-1.0151303812377e-11,0.02075,0.00025,0
42,-8.7458684055111e-12,0.02125,0.00025,0
43,-4.2698691731287e-12,0.02175,0.00025,0
44,1.4820533333166e-12,0.02225,0.00025,0
45,6.192438554467e-12,0.02275,0.00025,0
46,8.1947551144755e-12,0.02325,0.00025,0
47,7.3071847534935e-12,0.02375,0.00025,0
48,4.4934062858059e-12,0.02425,0.00025,0
49,1.555244491988e-12,0.02475,0.00025,0
50,-3.4016201868917e-13,0.02525,0.00025,0
51,-6.8412721096244e-13,0.02575,0.00025,0
52,-1.4780743260283e-14,0.02625,0.00025,0
53,9.0132270720421e-13,0.02675,0.00025,0
54,1.5154840484158e-12,0.02725,0.00025,0
55,1.4831808146972e-12,0.02775,0.00025,0
56,1.1608662874186e-12,0.02825,0.00025,0
57,4.5320203036792e-13,0.02875,0.00025,0
58,-1.530815514352e-13,0.02925,0.00025,0
59,-8.9408928649389e-13,0.02975,0.00025,0
60,-4.0225144069519e-13,0.00025,0.00075,0
61,3.2962531283854e-13,0.00075,0.00075,0
62,2.5751007489747e-13,0.00125,0.00075,0
63,5.8949711719085e-13,0.00175,0.00075,0
64,5.5429362983297e-13,0.00225,0.00075,0
65,2.7037946324622e-13,0.00275,0.00075,0
66,1.8611904001691e-13,0.00325,0.00075,0
67,7.6415873765394e-13,0.00375,0.00075,0
68,2.008474494782e-12,0.00425,0.00075,0
69,3.4376498612773e-12,0.00475,0.00075,0
70,4.1297646629588e-12,0.00525,0.00075,0
71,3.6499041465319e-12,0.00575,0.00075,0
72,2.1224736758244e-12,0.00625,0.00075,0
73,5.3845054406017e-13,0.00675,0.00075,0
74,-2.3311925583706e-13,0.00725,0.00075,0
75,2.8567287860011e-13,0.00775,0.00075,0
76,1.6201932396778e-12,0.00825,0.00075,0
77,2.9025502668572e-12,0.00875,0.00075,0
78,3.3088976973428e-12,0.00925,0.00075,0
79,2.5671919490132e-12,0.00975,0.00075,0
80,9.8110970813283e-13,0.01025,0.00075,0
81,-9.0801758013753e-13,0.01075,0.00075,0
82,-2.6155994278454e-12,0.01125,0.00075,0
83,-3.9523900949757e-12,0.01175,0.00075,0
84,-4.925728723341e-12,0.01225,0.00075,0
85,-5.7154715954642e-12,0.01275,0.00075,0
86,-6.4493210386534e-12,0.01325,0.00075,0
87,-7.4409652850255e-12,0.01375,0.00075,0
88,-9.4052386583759e-12,0.01425,0.00075,0
89,-9.5676125170066e-12,0.01475,0.00075,0
90,-9.5676125169473e-12,0.01525,0.00075,0
91,-9.4052386583161e-12,0.01575,0.00075,0
92,-7.4409652850468e-12,0.01625,0.00075,0
93,-6.449321038777e-12,0.01675,0.00075,0
94,-5.7154715956552e-12,0.01725,0.00075,0
95,-4.9257287235535e-12,0.01775,0.00075,0
96,-3.9523900951635e-12,0.01825,0.00075,0
97,-2.6155994279867e-12,0.01875,0.00075,0
98,-9.0801758022874e-13,0.01925,0.00075,0
99,9.8110970807967e-13,0.01975,0.00075,0
100,2.5671919489693e-12,0.02025,0.00075,0
101,3.3088976972747e-12,0.02075,0.00075,0
102,2.9025502667404e-12,0.02125,0.00075,0
103,1.6201932395097e-12,0.02175,0.00075,0
104,2.8567287840594e-13,0.02225,0.00075,0
105,-2.3311925601954e-13,0.02275,0.00075,0
106,5.3845054391807e-13,0.02325,0.00075,0
107,2.1224736757185e-12,0.02375,0.00075,0
108,3.6499041464277e-12,0.02425,0.00075,0
109,4.12976466282e-12,0.02475,0.00075,0
110,3.4376498610963e-12,0.02525,0.00075,0
111,2.0084744945954e-12,0.02575,0.00075,0
112,7.6415873751116e-13,0.02625,0.00075,0
113,1.8611903994633e-13,0.02675,0.00075,0
114,2.703794632261e-13,0.02725,0.00075,0
115,5.542936298079e-13,0.02775,0.00075,0
116,5.8949711712487e-13,0.02825,0.00075,0
117,2.5751007479375e-13,0.02875,0.00075,0
118,3.2962531277758e-13,0.02925,0.00075,0
119,-4.022514407143e-13,0.02975,0.00075,0
120,-5.2799180904597e-13,0.00025,0.00125,0
121,7.4369618283994e-13,0.00075,0.00125,0
122,7.2444068006629e-13,0.00125,0.00125,0
123,3.4463449783559e-13,0.00175,0.00125,0
124,6.0783411215106e-14,0.00225,0.00125,0
125,1.1462398392877e-13,0.00275,0.00125,0
126,9.0427644621993e-13,0.00325,0.00125,0
127,2.468301861417e-12,0.00375,0.00125,0
128,4.3192243630506e-12,0.00425,0.00125,0
129,5.2628550829081e-12,0.00475,0.00125,0
130,4.4038203652648e-12,0.00525,0.00125,0
131,1.6453351017582e-12,0.00575,0.00125,0
132,-1.6735807912609e-12,0.00625,0.00125,0
133,-3.751340950203e-12,0.00675,0.00125,0
134,-3.2314378478841e-12,0.00725,0.00125,0
135,-3.9530665711951e-13,0.00775,0.00125,0
136,3.1233979773408e-12,0.00825,0.00125,0
137,5.2257017099361e-12,0.00875,0.00125,0
138,4.7103439546094e-12,0.00925,0.00125,0
139,1.8323060071234e-12,0.00975,0.00125,0
140,-2.0032830991071e-12,0.01025,0.00125,0
141,-5.276152351457e-12,0.01075,0.00125,0
142,-7.1037301129371e-12,0.01125,0.00125,0
143,-7.5964941451256e-12,0.01175,0.00125,0
144,-7.31919602978e-12,0.01225,0.00125,0
145,-6.7152316639265e-12,0.01275,0.00125,0
146,-5.6263145211195e-12,0.01325,0.00125,0
147,-2.9310180422613e-12,0.01375,0.00125,0
148,1.1653392296461e-12,0.01425,0.00125,0
149,6.8209917017482e-12,0.01475,0.00125,0
150,6.8209917018137e-12,0.01525,0.00125,0
151,1.1653392297695e-12,0.01575,0.00125,0
152,-2.9310180421711e-12,0.01625,0.00125,0
153,-5.6263145211263e-12,0.01675,0.00125,0
154,-6.715231664028e-12,0.01725,0.00125,0
155,-7.3191960299362e-12,0.01775,0.00125,0
156,-7.5964941452902e-12,0.01825,0.00125,0
157,-7.1037301130761e-12,0.01875,0.00125,0
158,-5.2761523515486e-12,0.01925,0.00125,0
159,-2.0032830991482e-12,0.01975,0.00125,0
160,1.832306007113e-12,0.02025,0.00125,0
161,4.7103439545853e-12,0.02075,0.00125,0
162,5.2257017098573e-12,0.02125,0.00125,0
163,3.1233979771924e-12,0.02175,0.00125,0
164,-3.9530665730844e-13,0.02225,0.00125,0
165,-3.2314378480508e-12,0.02275,0.00125,0
166,-3.7513409502945e-12,0.02325,0.00125,0
167,-1.6735807912796e-12,0.02375,0.00125,0
168,1.645335101752e-12,0.02425,0.00125,0
169,4.4038203651895e-12,0.02475,0.00125,0
170,5.262855082731e-12,0.02525,0.00125,0
171,4.3192243628094e-12,0.02575,0.00125,0
172,2.4683018612036e-12,0.02625,0.00125,0
173,9.0427644610346e-13,0.02675,0.00125,0
174,1.1462398390752e-13,0.02725,0.00125,0
175,6.0783411220116e-14,0.02775,0.00125,0
176,3.4463449779796e-13,0.02825,0.00125,0
177,7.2444067998862e-13,0.02875,0.00125,0
178,7.4369618276892e-13,0.02925,0.00125,0
179,-5.2799180911952e-13,0.02975,0.00125,0
180,-1.0543636783636e-13,0.00025,0.00175,0
181,4.9653537984683e-13,0.00075,0.00175,0
182,4.5319951492636e-13,0.00125,0.00175,0
183,7.5808546857256e-14,0.00175,0.00175,0
184,4.3715963926321e-14,0.00225,0.00175,0
