id,integral_strain_stress,x,y,z
0,-15.480039451368,0.00025,0.00025,0
1,157.18376279806,0.00075,0.00025,0
2,845.08476804764,0.00125,0.00025,0
3,2336.8849933179,0.00175,0.00025,0
4,4402.3321907647,0.00225,0.00025,0
5,6239.4336443386,0.00275,0.00025,0
6,6780.667502017,0.00325,0.00025,0
7,5241.1769566153,0.00375,0.00025,0
8,1684.2651089592,0.00425,0.00025,0
9,-2877.0233752787,0.00475,0.00025,0
10,-6673.5475378564,0.00525,0.00025,0
11,-7867.8433424445,0.00575,0.00025,0
12,-5265.6038374132,0.00625,0.00025,0
13,1129.1028419078,0.00675,0.00025,0
14,9931.6267779773,0.00725,0.00025,0
15,18839.395391851,0.00775,0.00025,0
16,25213.524545966,0.00825,0.00025,0
17,27074.767239285,0.00875,0.00025,0
18,23514.84611998,0.00925,0.00025,0
19,15096.492044062,0.00975,0.00025,0
20,3481.0877353548,0.01025,0.00025,0
21,-8965.9024240133,0.01075,0.00025,0
22,-19773.638504853,0.01125,0.00025,0
23,-26951.055933529,0.01175,0.00025,0
24,-28996.846418025,0.01225,0.00025,0
25,-25555.589657321,0.01275,0.00025,0
26,-16444.44005325,0.01325,0.00025,0
27,-3380.0021515223,0.01375,0.00025,0
28,11730.587947921,0.01425,0.00025,0
29,25256.130349201,0.01475,0.00025,0
30,25256.130349203,0.01525,0.00025,0
31,11730.587947934,0.01575,0.00025,0
32,-3380.0021515039,0.01625,0.00025,0
33,-16444.440053227,0.01675,0.00025,0
34,-25555.589657306,0.01725,0.00025,0
35,-28996.84641802,0.01775,0.00025,0
36,-26951.055933532,0.01825,0.00025,0
37,-19773.638504866,0.01875,0.00025,0
38,-8965.9024240361,0.01925,0.00025,0
39,3481.0877353248,0.01975,0.00025,0
40,15096.492044033,0.02025,0.00025,0
41,23514.846119954,0.02075,0.00025,0
42,27074.767239266,0.02125,0.00025,0
43,25213.524545955,0.02175,0.00025,0
44,18839.395391853,0.02225,0.00025,0
45,9931.6267779871,0.02275,0.00025,0
46,1129.1028419223,0.02325,0.00025,0
47,-5265.6038373986,0.02375,0.00025,0
48,-7867.843342435,0.02425,0.00025,0
49,-6673.5475378535,0.02475,0.00025,0
50,-2877.0233752808,0.02525,0.00025,0
51,1684.2651089536,0.02575,0.00025,0
52,5241.176956608,0.02625,0.00025,0
53,6780.667502011,0.02675,0.00025,0
54,6239.433644334,0.02725,0.00025,0
55,4402.3321907622,0.02775,0.00025,0
