x,y,z,value
0.015,0.0005,0,-0.00200935016356111
0.015,0.001,0,-0.0001256494088333
0.015,0.0015,0,0.00217415370091459
0.015,0.002,0,0.0040784743926781
0.015,0.0025,0,0.0048390514276251
0.015,0.003,0,0.00393607396474337
0.015,0.0035,0,0.001431914232831
0.015,0.004,0,-0.0020650515088661
0.015,0.0045,0,-0.00538757195357079
0.015,0.005,0,-0.0072589301363584
0.015,0.0055,0,-0.0065976219666698
0.015,0.006,0,-0.00309785079465075
0.015,0.0065,0,0.00266154829669
0.015,0.007,0,0.0090507279327029
0.015,0.0075,0,0.0140043549194178
0.015,0.008,0,0.0154727541167195
0.015,0.0085,0,0.0124802242653777
0.015,0.009,0,0.0079206472210429
0.015,0.0095,0,0.0021783747159817
0.015,0.01,0,-0.0042115568238894
0.015,0.0105,0,-0.0103893585380541
0.015,0.011,0,-0.0155920013878575
0.015,0.0115,0,-0.0189359987019824
0.015,0.012,0,-0.0199565142177999
0.015,0.0125,0,-0.0182427808363726
0.015,0.013,0,-0.0140388483301017
0.015,0.0135,0,-0.0076653384547608
0.015,0.014,0,-0.000135908194584001
0.015,0.0145,0,0.007688602703345
0.015,0.015,0,0.0144195571060323
0.015,0.0155,0,0.0192609710294598
0.015,0.016,0,0.0211178531638078
0.015,0.0165,0,0.0199652784815394
0.015,0.017,0,0.0155378826347827
0.015,0.0175,0,0.008954322250659
0.015,0.018,0,0.000773700622550999
0.015,0.0185,0,-0.006990936211653
0.015,0.019,0,-0.013644279492785
0.015,0.0195,0,-0.017054949561434
0.015,0.02,0,-0.017512500048304
0.015,0.0205,0,-0.0135338949729944
0.015,0.021,0,-0.007431297434982
0.015,0.0215,0,0.001703488361486
0.015,0.022,0,0.008852721122888
