id,uxi,x,y,z
0,-7.3728668432026e-08,0.015,0.0005,0
0.0005,-2.6832782519516e-07,0.015,0.001,0
0.001,-4.5412918050785e-07,0.015,0.0015,0
0.0015,-7.1408141767719e-07,0.015,0.002,0
0.002,-8.9722435748639e-07,0.015,0.0025,0
0.0025,-1.1179908065283e-06,0.015,0.003,0
0.003,-1.2317977648594e-06,0.015,0.0035,0
0.0035,-1.3817830718361e-06,0.015,0.004,0
0.004,-1.4161565094007e-06,0.015,0.0045,0
0.0045,-1.5051502817951e-06,0.015,0.005,0
0.005,-1.4772044685929e-06,0.015,0.0055,0
0.0055,-1.5316416645336e-06,0.015,0.006,0
0.006,-1.4662800520484e-06,0.015,0.0065,0
0.0065,-1.5156885774814e-06,0.015,0.007,0
0.007,-1.4370512441041e-06,0.015,0.0075,0
0.0075,-1.5101289944173e-06,0.015,0.008,0
0.008,-1.4406044399857e-06,0.015,0.0085,0
0.0085,-1.5665295726635e-06,0.015,0.009,0
0.009,-1.5282183747493e-06,0.015,0.0095,0
0.0095,-1.7377449515288e-06,0.015,0.01,0
0.01,-1.7507024245379e-06,0.015,0.0105,0
0.0105,-2.0714405696258e-06,0.015,0.011,0
0.011,-2.1432072507099e-06,0.015,0.0115,0
0.0115,-2.5841856120087e-06,0.015,0.012,0
0.012,-2.6864458729261e-06,0.015,0.0125,0
0.0125,-3.2094717029005e-06,0.015,0.013,0
0.013,-3.241382749662e-06,0.015,0.0135,0
0.0135,-3.7223694962915e-06,0.015,0.014,0
0.014,-3.4677385468805e-06,0.015,0.0145,0
0.0145,-3.6615672413896e-06,0.015,0.015,0
0.015,-2.7595889632853e-06,0.015,0.0155,0
0.0155,-2.2975701283074e-06,0.015,0.016,0
0.016,-2.6317809276524e-07,0.015,0.0165,0
0.0165,1.2694620749084e-06,0.015,0.017,0
0.017,4.9244003852038e-06,0.015,0.0175,0
0.0175,7.7684219765385e-06,0.015,0.018,0
0.018,1.3258418211305e-05,0.015,0.0185,0
0.0185,1.7052045960206e-05,0.015,0.019,0
0.019,2.3856165496241e-05,0.015,0.0195,0
0.0195,2.6941188414423e-05,0.015,0.02,0
