id,uxr,x,y,z
0,4.7957174336449e-07,0.015,0.0005,0
0.0005,7.7707372503186e-07,0.015,0.001,0
0.001,9.6464248509502e-07,0.015,0.0015,0
0.0015,1.0844584930763e-06,0.015,0.002,0
0.002,1.1358634700822e-06,0.015,0.0025,0
0.0025,1.1628131613904e-06,0.015,0.003,0
0.003,1.157680248692e-06,0.015,0.0035,0
0.0035,1.1605196962882e-06,0.015,0.004,0
0.004,1.1527089054387e-06,0.015,0.0045,0
0.0045,1.1710275359461e-06,0.015,0.005,0
0.005,1.1858817706763e-06,0.015,0.0055,0
0.0055,1.234151994655e-06,0.015,0.006,0
0.006,1.276320835622e-06,0.015,0.0065,0
0.0065,1.3533519195731e-06,0.015,0.007,0
0.007,1.4163174592464e-06,0.015,0.0075,0
0.0075,1.514133733495e-06,0.015,0.008,0
0.008,1.5880675244049e-06,0.015,0.0085,0
0.0085,1.6990204673158e-06,0.015,0.009,0
0.009,1.777433401183e-06,0.015,0.0095,0
0.0095,1.9011359484857e-06,0.015,0.01,0
0.01,1.9884729517601e-06,0.015,0.0105,0
0.0105,2.1407516317975e-06,0.015,0.011,0
0.011,2.2625859127935e-06,0.015,0.0115,0
0.0115,2.4870282947326e-06,0.015,0.012,0
0.012,2.7017033945958e-06,0.015,0.0125,0
0.0125,3.0803713205298e-06,0.015,0.013,0
0.013,3.4857095059822e-06,0.015,0.0135,0
0.0135,4.1393133571257e-06,0.015,0.014,0
0.014,4.8609366636293e-06,0.015,0.0145,0
0.0145,5.921585139349e-06,0.015,0.015,0
0.015,7.0629178124796e-06,0.015,0.0155,0
0.0155,8.5983699621685e-06,0.015,0.016,0
0.016,1.013205794904e-05,0.015,0.0165,0
0.0165,1.200672484209e-05,0.015,0.017,0
0.017,1.3602252008585e-05,0.015,0.0175,0
0.0175,1.5288069042321e-05,0.015,0.018,0
0.018,1.6112304974556e-05,0.015,0.0185,0
0.0185,1.6524055393545e-05,0.015,0.019,0
0.019,1.5129179838248e-05,0.015,0.0195,0
0.0195,1.266172439559e-05,0.015,0.02,0
