x,y,z,value
0.015,0.0005,0,-23.7977023515733
0.015,0.001,0,-18.320132632673
0.015,0.0015,0,-18.7625058441604
0.015,0.002,0,-12.3255389167496
0.015,0.0025,0,-18.5793777548588
0.015,0.003,0,-20.779140069277
0.015,0.0035,0,-37.3067637434314
0.015,0.004,0,-47.9349504468811
0.015,0.0045,0,-72.1312405778233
0.015,0.005,0,-84.9199803810909
0.015,0.0055,0,-109.304356956284
0.015,0.006,0,-114.968887429014
0.015,0.0065,0,-131.529580163032
0.015,0.007,0,-123.20653533835
0.015,0.0075,0,-128.978991018391
0.015,0.008,0,-106.969233952322
0.015,0.0085,0,-107.133939096841
0.015,0.009,0,-79.7861869070704
0.015,0.0095,0,-86.0302362386444
0.015,0.01,0,-65.9537680548627
0.015,0.0105,0,-91.2441627461262
0.015,0.011,0,-90.0557665067392
0.015,0.0115,0,-145.550080622211
0.015,0.012,0,-172.946371455072
0.015,0.0125,0,-270.03859835055
0.015,0.013,0,-335.494375227142
0.015,0.0135,0,-486.081937549636
0.015,0.014,0,-593.752103782044
0.015,0.0145,0,-799.34356364462
0.015,0.015,0,-927.965014399707
0.015,0.0155,0,-1152.51790547885
0.015,0.016,0,-1218.87182943647
0.015,0.0165,0,-1353.24755224556
0.015,0.017,0,-1183.13436260103
0.015,0.0175,0,-1056.67036117785
0.015,0.018,0,-465.259940522039
0.015,0.0185,0,-69.1659951642496
0.015,0.019,0,742.898566982381
0.015,0.0195,0,662.15052065518
0.015,0.02,0,540.553643104181
