id,u,x,y,z
0,0,0,0,0
1,8.707771907598,0.01,0,0
2,8.7114378678597,0.01,0.01,0
3,0,0,0.01,0
4,17.413353534029,0.02,0,0
5,17.420691839088,0.02,0.01,0
6,26.114363564332,0.03,0,0
7,26.1253913646,0.03,0.01,0
8,34.808027566557,0.04,0,0
9,34.822759083156,0.04,0.01,0
10,43.491031073034,0.05,0,0
11,43.509485480548,0.05,0.01,0
12,52.159416759286,0.06,0,0
13,52.18162234808,0.06,0.01,0
14,60.808569059664,0.07,0,0
15,60.834545733007,0.07,0.01,0
16,69.433189655437,0.08,0,0
17,69.462964355618,0.08,0.01,0
18,78.027470041874,0.09,0,0
19,78.061072938841,0.09,0.01,0
20,86.585230931202,0.1,0,0
21,86.622681321559,0.1,0.01,0
22,95.100146659113,0.11,0,0
23,95.141472537452,0.11,0.01,0
24,103.56604097164,0.12,0,0
25,103.61126287159,0.12,0.01,0
26,111.97711425419,0.13,0,0
27,112.0262580515,0.13,0.01,0
28,120.32824580265,0.14,0,0
29,120.38133893431,0.14,0.01,0
30,128.61518720506,0.15,0,0
31,128.67226408732,0.15,0.01,0
32,136.83478211173,0.16,0,0
33,136.8958790138,0.16,0.01,0
34,144.98504314785,0.17,0,0
35,145.050209768,0.17,0.01,0
36,153.06524631292,0.18,0,0
37,153.13453917043,0.18,0.01,0
38,161.07593287296,0.19,0,0
39,161.14942336007,0.19,0.01,0
40,169.01889848965,0.2,0,0
41,169.09666686587,0.2,0.01,0
42,176.89713278681,0.21,0,0
43,176.97927043164,0.21,0.01,0
44,184.71473425345,0.22,0,0
45,184.80133875196,0.22,0.01,0
46,192.47678226781,0.23,0,0
47,192.56795656038,0.23,0.01,0
48,200.18920705686,0.24,0,0
49,200.28504821908,0.24,0.01,0
50,207.85860441383,0.25,0,0
51,207.95919172476,0.25,0.01,0
52,215.49199124763,0.26,0,0
53,215.59737747526,0.26,0.01,0
54,223.09652471247,0.27,0,0
55,223.20671120386,0.27,0.01,0
56,230.67916978476,0.28,0,0
57,230.79408740248,0.28,0.01,0
58,238.24629415494,0.29,0,0
59,238.36577563679,0.29,0.01,0
60,245.80326491175,0.3,0,0
61,245.92702071117,0.3,0.01,0
62,253.35402807401,0.31,0,0
63,253.48160816066,0.31,0.01,0
64,260.90069530409,0.32,0,0
65,261.03147549882,0.32,0.01,0
66,268.44328686494,0.33,0,0
67,268.57643234778,0.33,0.01,0
68,275.97955479606,0.34,0,0
69,276.1140208739,0.34,0.01,0
70,283.50504381033,0.35,0,0
71,283.63957054068,0.35,0.01,0
72,291.01341367668,0.36,0,0
73,291.1465372013,0.36,0.01,0
74,298.49697112425,0.37,0,0
75,298.627057556,0.37,0.01,0
76,305.94746712875,0.38,0,0
77,306.07275039812,0.38,0.01,0
78,313.35713989472,0.39,0,0
79,313.47575434242,0.39,0.01,0
80,320.71970798717,0.4,0,0
81,320.82974818109,0.4,0.01,0
82,328.03145807918,0.41,0,0
83,328.13102228532,0.41,0.01,0
84,335.29216128649,0.42,0,0
85,335.37937701232,0.42,0.01,0
86,342.50574912993,0.43,0,0
87,342.57881531086,0.43,0.01,0
88,349.68063040541,0.44,0,0
89,349.73783113997,0.44,0.01,0
90,356.82964654208,0.45,0,0
91,356.86936584381,0.45,0.01,0
92,363.9695057477,0.46,0,0
93,363.99026165102,0.46,0.01,0
94,371.11981190373,0.47,0,0
95,371.12030427467,0.47,0.01,0
96,378.30156429791,0.48,0,0
97,378.28075789387,0.48,0.01,0
98,385.53521157317,0.49,0,0
99,385.4924620134,0.49,0.01,0
100,392.83830857429,0.5,0,0
101,392.7735404545,0.5,0.01,0
102,400.22314897483,0.51,0,0
103,400.13702810849,0.51,0.01,0
104,407.69462465514,0.52,0,0
105,407.58871254935,0.52,0.01,0
106,415.24893106839,0.53,0,0
107,415.12573086835,0.53,0.01,0
108,422.87369626722,0.54,0,0
109,422.73652907419,0.54,0.01,0
110,430.54964446262,0.55,0,0
111,430.40236860683,0.55,0.01,0
112,438.25354308787,0.56,0,0
113,438.10014112757,0.56,0.01,0
114,445.9613213023,0.57,0,0
115,445.80549214524,0.57,0.01,0
116,453.65012262738,0.58,0,0
117,453.49503541426,0.58,0.01,0
118,461.29876292406,0.59,0,0
119,461.14699287151,0.59,0.01,0
120,468.88701478713,0.6,0,0
121,468.74064132268,0.6,0.01,0
122,476.39507622233,0.61,0,0
123,476.25585088057,0.61,0.01,0
124,483.80478686488,0.62,0,0
125,483.67419040708,0.62,0.01,0
126,491.10270208775,0.63,0,0
127,490.98189762393,0.63,0.01,0
128,498.28417268247,0.64,0,0
129,498.17388472081,0.64,0.01,0
130,505.35643870279,0.65,0,0
131,505.25683810025,0.65,0.01,0
132,512.33915393526,0.66,0,0
133,512.2498478663,0.66,0.01,0
134,519.26174715196,0.67,0,0
135,519.18189806987,0.67,0.01,0
136,526.1582457449,0.68,0,0
137,526.0867561267,0.68,0.01,0
138,533.06100611452,0.69,0,0
139,532.9967667283,0.69,0.01,0
140,539.99538113365,0.7,0,0
141,539.93746066963,0.7,0.01,0
142,546.97710375649,0.71,0,0
143,546.92485154513,0.71,0.01,0
144,554.01326598953,0.72,0,0
145,553.96629713227,0.72,0.01,0
146,561.10648440145,0.73,0,0
147,561.06458534857,0.73,0.01,0
148,568.26036694898,0.74,0,0
149,568.2233644097,0.74,0.01,0
150,575.48422000784,0.75,0,0
151,575.45187594363,0.75,0.01,0
152,582.79550779042,0.76,0,0
153,582.7674671838,0.76,0.01,0
154,590.21984418828,0.77,0,0
155,590.19562584169,0.77,0.01,0
156,597.78892752375,0.78,0,0
157,597.76794368433,0.78,0.01,0
158,605.53699212391,0.79,0,0
159,605.51857554572,0.79,0.01,0
160,613.4962553373,0.8,0,0
161,613.47969153411,0.8,0.01,0
162,621.69179863901,0.81,0,0
163,621.67636944844,0.81,0.01,0
164,630.13655406905,0.82,0,0
165,630.12157832757,0.82,0.01,0
166,638.82753419504,0.83,0,0
167,638.81241880427,0.83,0.01,0
168,647.74478789197,0.84,0,0
169,647.72906290042,0.84,0.01,0
170,656.85418657782,0.85,0,0
171,656.83753617323,0.85,0.01,0
172,666.1139899527,0.86,0,0
173,666.09625546779,0.86,0.01,0
174,675.48354103051,0.87,0,0
175,675.46467654226,0.87,0.01,0
176,684.93151606879,0.88,0,0
177,684.91154043957,0.88,0.01,0
178,694.44159929631,0.89,0,0
179,694.42053624563,0.89,0.01,0
180,704.01476301401,0.9,0,0
181,703.99260923791,0.9,0.01,0
182,713.66841782239,0.91,0,0
183,713.64509781844,0.91,0.01,0
184,723.43313940889,0.92,0,0
185,723.40852939165,0.92,0.01,0
186,733.34786216347,0.93,0,0
187,733.32182399231,0.93,0.01,0
188,743.45406683941,0.94,0,0
189,743.42658455379,0.94,0.01,0
190,753.78990025102,0.95,0,0
191,753.76141601753,0.95,0.01,0
192,764.38643593572,0.96,0,0
193,764.35845753703,0.96,0.01,0
194,775.26944784408,0.97,0,0
195,775.24604801903,0.97,0.01,0
196,786.47457412478,0.98,0,0
197,786.46312710342,0.98,0.01,0
198,798.06446083808,0.99,0,0
199,798.12189708908,0.99,0.01,0
200,810.83234638316,1,0,0
201,810.50494596356,1,0.01,0
202,8.7223883052298,0.01,0.02,0
203,0,0,0.02,0
204,17.442614504997,0.02,0.02,0
205,26.158328750355,0.03,0.02,0
206,34.866758857196,0.04,0.02,0
207,43.564612559254,0.05,0.02,0
208,52.247952345747,0.06,0.02,0
209,60.912140958751,0.07,0.02,0
210,69.551905560595,0.08,0.02,0
211,78.161429655575,0.09,0.02,0
212,86.73451893236,0.1,0.02,0
213,95.264858071954,0.11,0.02,0
214,103.74625928378,0.12,0.02,0
215,112.17293001893,0.13,0.02,0
216,120.53976183611,0.14,0.02,0
217,128.84252646757,0.15,0.02,0
218,137.07808401431,0.16,0.02,0
219,145.24448518935,0.17,0.02,0
220,153.34104362338,0.18,0.02,0
221,161.36834399359,0.19,0.02,0
222,169.32822427389,0.2,0.02,0
223,177.22371351277,0.21,0.02,0
224,185.05893298295,0.22,0.02,0
225,192.8389768695,0.23,0.02,0
226,200.5697556268,0.24,0.02,0
227,208.25779112633,0.25,0.02,0
228,215.90998614903,0.26,0.02,0
229,223.53329746282,0.27,0.02,0
230,231.13440360882,0.28,0.02,0
231,238.71928236011,0.29,0.02,0
232,246.29280752712,0.3,0.02,0
233,253.85830590961,0.31,0.02,0
234,261.41718893874,0.32,0.02,0
235,268.96867440295,0.33,0.02,0
236,276.50969095144,0.34,0.02,0
237,284.03496007012,0.35,0.02,0
238,291.5373686537,0.36,0.02,0
239,299.00857503489,0.37,0.02,0
240,306.4398389063,0.38,0.02,0
241,313.82305174196,0.39,0.02,0
242,321.15180256425,0.4,0.02,0
243,328.42240434406,0.41,0.02,0
244,335.63477583395,0.42,0.02,0
245,342.79312152541,0.43,0.02,0
246,349.90617129114,0.44,0.02,0
247,356.98714921615,0.45,0.02,0
248,364.05324735359,0.46,0.02,0
249,371.12473633912,0.47,0.02,0
250,378.2235765989,0.48,0.02,0
251,385.37165853076,0.49,0.02,0
252,392.58862984362,0.5,0.02,0
253,399.88957363878,0.51,0.02,0
254,407.28277547757,0.52,0.02,0
255,414.76807062511,0.53,0.02,0
256,422.33636892743,0.54,0.02,0
257,429.97064699045,0.55,0.02,0
258,437.64841200671,0.56,0.02,0
259,445.34475184504,0.57,0.02,0
260,453.03491461201,0.58,0.02,0
261,460.69548261901,0.59,0.02,0
262,468.30428914482,0.6,0.02,0
263,475.84015080071,0.61,0.02,0
264,483.28374289111,0.62,0.02,0
265,490.62028349886,0.63,0.02,0
266,497.84331921129,0.64,0.02,0
267,504.95788508969,0.65,0.02,0
268,511.98140080296,0.66,0.02,0
269,518.94152838571,0.67,0.02,0
270,525.87129608915,0.68,0.02,0
271,532.8030001159,0.69,0.02,0
272,539.76268361091,0.7,0.02,0
273,546.76714971647,0.71,0.02,0
274,553.82451413153,0.72,0.02,0
275,560.93803256826,0.73,0.02,0
276,568.11146259047,0.74,0.02,0
277,575.35385261227,0.75,0.02,0
278,582.68221860831,0.76,0.02,0
279,590.12168810422,0.77,0.02,0
280,597.70355356833,0.78,0.02,0
281,605.46176500618,0.79,0.02,0
282,613.4283869172,0.8,0.02,0
283,621.62850317604,0.81,0.02,0
284,630.07520065893,0.82,0.02,0
285,638.76582884102,0.83,0.02,0
286,647.68090902813,0.84,0.02,0
287,656.78688938906,0.85,0.02,0
288,666.04260698065,0.86,0.02,0
289,675.40783883296,0.87,0.02,0
290,684.85150855511,0.88,0.02,0
291,694.35734619877,0.89,0.02,0
292,703.92622883509,0.9,0.02,0
293,713.57534626122,0.91,0.02,0
294,723.3350954138,0.92,0.02,0
295,733.24437284201,0.93,0.02,0
296,743.34509066528,0.94,0.02,0
297,753.67681527161,0.95,0.02,0
298,764.27372943847,0.96,0.02,0
299,775.16764886605,0.97,0.02,0
300,786.40234688598,0.98,0.02,0
301,798.07158628906,0.99,0.02,0
302,810.09938858076,1,0.02,0
303,8.7404913432872,0.01,0.03,0
304,0,0,0.03,0
305,17.478855538655,0.02,0.03,0
306,26.212761829933,0.03,0.03,0
307,34.939469575632,0.04,0.03,0
308,43.655698536319,0.05,0.03,0
309,52.357526462988,0.06,0.03,0
310,61.040313097114,0.07,0.03,0
311,69.698793493762,0.08,0.03,0
312,78.327135503517,0.09,0.03,0
313,86.919144337775,0.1,0.03,0
314,95.468491196974,0.11,0.03,0
315,103.96898205611,0.12,0.03,0
316,112.4148250219,0.13,0.03,0
317,120.80091802642,0.14,0.03,0
318,129.12305599972,0.15,0.03,0
319,137.37812238655,0.16,0.03,0
320,145.56420163683,0.17,0.03,0
321,153.68065892953,0.18,0.03,0
322,161.72811451094,0.19,0.03,0
323,169.70846260773,0.2,0.03,0
324,177.62477001126,0.21,0.03,0
325,185.48118440095,0.22,0.03,0
326,193.28280758439,0.23,0.03,0
327,201.03551439944,0.24,0.03,0
328,208.74574200256,0.25,0.03,0
329,216.42023462666,0.26,0.03,0
330,224.06570636016,0.27,0.03,0
331,231.68847925918,0.28,0.03,0
332,239.29405587621,0.29,0.03,0
333,246.8867057993,0.3,0.03,0
334,254.46902207158,0.31,0.03,0
335,262.04157269867,0.32,0.03,0
336,269.60265473375,0.33,0.03,0
337,277.14823011043,0.34,0.03,0
338,284.67209481915,0.35,0.03,0
339,292.16628717947,0.36,0.03,0
340,299.62176351264,0.37,0.03,0
341,307.02926460291,0.38,0.03,0
342,314.38037719697,0.39,0.03,0
343,321.66859299199,0.4,0.03,0
344,328.89029943968,0.41,0.03,0
345,336.04565364062,0.42,0.03,0
346,343.13916353857,0.43,0.03,0
347,350.17992615855,0.44,0.03,0
348,357.18156072684,0.45,0.03,0
349,364.16172918045,0.46,0.03,0
350,371.14132482506,0.47,0.03,0
351,378.14323504984,0.48,0.03,0
352,385.19077577583,0.49,0.03,0
353,392.30571236653,0.5,0.03,0
354,399.50607147718,0.51,0.03,0
355,406.80385295579,0.52,0.03,0
356,414.20310075911,0.53,0.03,0
357,421.69880644107,0.54,0.03,0
358,429.27714516177,0.55,0.03,0
359,436.91726261959,0.56,0.03,0
360,444.59405405189,0.57,0.03,0
361,452.2810883839,0.58,0.03,0
362,459.95255466553,0.59,0.03,0
363,467.58394199196,0.6,0.03,0
364,475.15213877622,0.61,0.03,0
365,482.63614515612,0.62,0.03,0
366,490.01933986561,0.63,0.03,0
367,497.292931619,0.64,0.03,0
368,504.45921672593,0.65,0.03,0
369,511.53286730848,0.66,0.03,0
370,518.53933167244,0.67,0.03,0
371,525.51040250372,0.68,0.03,0
372,532.47822758567,0.69,0.03,0
373,539.46962286988,0.7,0.03,0
374,546.50263329166,0.71,0.03,0
375,553.58656615694,0.72,0.03,0
376,560.72541633139,0.73,0.03,0
377,567.92310230036,0.74,0.03,0
378,575.18836446335,0.75,0.03,0
379,582.5376879013,0.76,0.03,0
380,589.99564871692,0.77,0.03,0
381,597.5930993518,0.78,0.03,0
382,605.36369960926,0.79,0.03,0
383,613.33939265679,0.8,0.03,0
384,621.5453020781,0.81,0.03,0
385,629.99473358997,0.82,0.03,0
386,638.68541923684,0.83,0.03,0
387,647.59843399087,0.84,0.03,0
388,656.70084371931,0.85,0.03,0
389,665.95209530375,0.86,0.03,0
390,675.31245704174,0.87,0.03,0
391,684.75113281396,0.88,0.03,0
392,694.25194478104,0.89,0.03,0
393,703.81569291392,0.9,0.03,0
394,713.45939660056,0.91,0.03,0
395,723.21327229695,0.92,0.03,0
396,733.11616893847,0.93,0.03,0
397,743.21027582244,0.94,0.03,0
398,753.53592587693,0.95,0.03,0
399,764.12853872048,0.96,0.03,0
400,775.02035989504,0.97,0.03,0
401,786.249717422,0.98,0.03,0
402,797.85086985484,0.99,0.03,0
403,809.87249804009,1,0.03,0
404,8.7655070606062,0.01,0.04,0
405,0,0,0.04,0
406,17.528930666469,0.02,0.04,0
407,26.287968570461,0.03,0.04,0
408,35.039918894762,0.04,0.04,0
409,43.78152170806,0.05,0.04,0
410,52.50885962528,0.06,0.04,0
411,61.217305798014,0.07,0.04,0
412,69.901581616089,0.08,0.04,0
413,78.555840880695,0.09,0.04,0
414,87.173873870735,0.1,0.04,0
415,95.749332330818,0.11,0.04,0
416,104.27600449831,0.12,0.04,0
417,112.74809903084,0.13,0.04,0
418,121.16051272937,0.14,0.04,0
419,129.50906517395,0.15,0.04,0
420,137.79066536563,0.16,0.04,0
421,146.00344672284,0.17,0.04,0
422,154.1468230572,0.18,0.04,0
423,162.22147671477,0.19,0.04,0
424,170.22936275991,0.2,0.04,0
425,178.17359624231,0.21,0.04,0
426,186.05836350212,0.22,0.04,0
427,193.88876254025,0.23,0.04,0
428,201.6706142316,0.24,0.04,0
429,209.41024286458,0.25,0.04,0
