x,y,z,value
0.015,0.0005,0,-63153.6784073971
0.015,0.001,0,-107247.710173175
0.015,0.0015,0,-163520.841101788
0.015,0.002,0,-196106.505888715
0.015,0.0025,0,-244311.699330389
0.015,0.003,0,-267803.121210739
0.015,0.0035,0,-310989.101867706
0.015,0.004,0,-326001.610365033
0.015,0.0045,0,-365670.030393839
0.015,0.005,0,-370215.131849736
0.015,0.0055,0,-405514.607722253
0.015,0.006,0,-392840.731956452
0.015,0.0065,0,-418305.944675088
0.015,0.007,0,-371284.338115156
0.015,0.0075,0,-371299.555809051
0.015,0.008,0,-247210.60220331
0.015,0.0085,0,-184449.135940105
0.015,0.009,0,131070.606379449
0.015,0.0095,0,319592.613644719
0.015,0.01,0,1168879.9604122
0.015,0.0105,0,1162683.13137048
0.015,0.011,0,-379464.583823502
0.015,0.0115,0,-138678.273017228
0.015,0.012,0,-1044775.89165446
0.015,0.0125,0,-1487834.25847593
0.015,0.013,0,-1498872.02734253
0.015,0.0135,0,-681305.705097228
0.015,0.014,0,333353.088213831
0.015,0.0145,0,1014813.84157586
0.015,0.015,0,1180162.67940545
0.015,0.0155,0,1309216.28583714
0.015,0.016,0,1438954.53951508
0.015,0.0165,0,1310258.31954633
0.015,0.017,0,854717.606930584
0.015,0.0175,0,514662.757647142
0.015,0.018,0,191026.539507493
0.015,0.0185,0,-90986.6606343314
0.015,0.019,0,-688886.388647016
0.015,0.0195,0,-315795.908553187
0.015,0.02,0,243520.957749486
