id,integral_strain_stress,x,y,z
0,-1.7814193594902e-09,0.00025,0.00025,0
1,-1.2192458177874e-09,0.00075,0.00025,0
2,-6.9075669029499e-10,0.00125,0.00025,0
3,-7.6844181124883e-10,0.00175,0.00025,0
4,-7.9846403651204e-10,0.00225,0.00025,0
5,-1.5608033074471e-09,0.00275,0.00025,0
6,-2.8717297258451e-09,0.00325,0.00025,0
7,-5.7807075563112e-09,0.00375,0.00025,0
8,-1.1741157083869e-08,0.00425,0.00025,0
9,-2.0372601430351e-08,0.00475,0.00025,0
10,-3.5067252550447e-08,0.00525,0.00025,0
11,-4.9868599101136e-08,0.00575,0.00025,0
12,-7.5521417921093e-08,0.00625,0.00025,0
13,-9.0879146866788e-08,0.00675,0.00025,0
14,-9.592447928434e-08,0.00725,0.00025,0
15,-8.4224764800979e-08,0.00775,0.00025,0
16,-5.8090323373237e-08,0.00825,0.00025,0
17,-4.0218862320285e-08,0.00875,0.00025,0
18,-2.0567193937579e-08,0.00925,0.00025,0
19,-7.2372816419088e-09,0.00975,0.00025,0
20,3.4968534767724e-09,0.01025,0.00025,0
21,9.8126325168737e-09,0.01075,0.00025,0
22,1.3639134978192e-08,0.01125,0.00025,0
23,1.5001455878761e-08,0.01175,0.00025,0
24,1.5035902231584e-08,0.01225,0.00025,0
25,1.3912208706662e-08,0.01275,0.00025,0
26,1.2521148679342e-08,0.01325,0.00025,0
27,1.0822555813853e-08,0.01375,0.00025,0
28,9.5211352600699e-09,0.01425,0.00025,0
29,8.5462305136025e-09,0.01475,0.00025,0
30,8.5049225659922e-09,0.01525,0.00025,0
31,8.6640675917258e-09,0.01575,0.00025,0
32,9.3555293560998e-09,0.01625,0.00025,0
33,9.5691691653382e-09,0.01675,0.00025,0
34,9.7328854039512e-09,0.01725,0.00025,0
35,9.4411778810299e-09,0.01775,0.00025,0
36,8.9822871972309e-09,0.01825,0.00025,0
37,8.1802470015812e-09,0.01875,0.00025,0
38,7.2083037399206e-09,0.01925,0.00025,0
39,6.0611370021826e-09,0.01975,0.00025,0
40,4.8274175045232e-09,0.02025,0.00025,0
41,3.6824425342803e-09,0.02075,0.00025,0
42,2.5898618708356e-09,0.02125,0.00025,0
43,1.8418747578244e-09,0.02175,0.00025,0
44,1.1992236147578e-09,0.02225,0.00025,0
45,7.8277909159943e-10,0.02275,0.00025,0
46,4.7295477117778e-10,0.02325,0.00025,0
47,2.5785940817136e-10,0.02375,0.00025,0
48,4.3716683129587e-11,0.02425,0.00025,0
49,-1.1993430508014e-10,0.02475,0.00025,0
50,-3.0827835855933e-10,0.02525,0.00025,0
51,-4.7895821718441e-10,0.02575,0.00025,0
52,-6.7089281142772e-10,0.02625,0.00025,0
53,-8.4798790018981e-10,0.02675,0.00025,0
54,-1.0207896713841e-09,0.02725,0.00025,0
55,-1.1872785448195e-09,0.02775,0.00025,0
56,-1.3534235011737e-09,0.02825,0.00025,0
57,-1.7453542318598e-09,0.02875,0.00025,0
58,-1.9922165291053e-09,0.02925,0.00025,0
59,-3.7018550907627e-09,0.02975,0.00025,0
60,-1.4272768214175e-09,0.00025,0.00075,0
61,-5.6291486879824e-10,0.00075,0.00075,0
62,-1.4401321239364e-09,0.00125,0.00075,0
63,-5.6409071657386e-10,0.00175,0.00075,0
64,4.2019480368188e-10,0.00225,0.00075,0
65,1.8207937354171e-09,0.00275,0.00075,0
66,1.8603379449697e-09,0.00325,0.00075,0
67,1.497435366347e-09,0.00375,0.00075,0
68,-9.1122475918215e-10,0.00425,0.00075,0
69,-4.0499369629481e-09,0.00475,0.00075,0
70,-1.0083608828915e-08,0.00525,0.00075,0
71,-2.2112919807753e-08,0.00575,0.00075,0
72,-5.2085391698624e-08,0.00625,0.00075,0
73,-3.8252835210085e-08,0.00675,0.00075,0
74,-2.6819517211917e-08,0.00725,0.00075,0
75,-3.1566096906225e-08,0.00775,0.00075,0
76,-1.2407499880712e-09,0.00825,0.00075,0
77,1.380615595699e-08,0.00875,0.00075,0
78,1.8777466786552e-08,0.00925,0.00075,0
79,2.1873566837979e-08,0.00975,0.00075,0
80,2.2061817957861e-08,0.01025,0.00075,0
81,2.1047053675866e-08,0.01075,0.00075,0
82,1.9165409612152e-08,0.01125,0.00075,0
83,1.6598861359016e-08,0.01175,0.00075,0
84,1.4173385073042e-08,0.01225,0.00075,0
85,1.1772673585277e-08,0.01275,0.00075,0
86,9.804533419441e-09,0.01325,0.00075,0
87,8.0922214798404e-09,0.01375,0.00075,0
88,6.4839980363674e-09,0.01425,0.00075,0
89,5.5832691229554e-09,0.01475,0.00075,0
90,5.1667641402229e-09,0.01525,0.00075,0
91,5.4661568122442e-09,0.01575,0.00075,0
92,5.8149949933591e-09,0.01625,0.00075,0
93,6.1130515466865e-09,0.01675,0.00075,0
94,5.947925946215e-09,0.01725,0.00075,0
95,5.7399802627335e-09,0.01775,0.00075,0
96,5.1711860703675e-09,0.01825,0.00075,0
97,4.5395583179824e-09,0.01875,0.00075,0
98,3.7125838785873e-09,0.01925,0.00075,0
99,2.9162454736808e-09,0.01975,0.00075,0
100,2.1173008697849e-09,0.02025,0.00075,0
101,1.3768991493673e-09,0.02075,0.00075,0
102,6.7968354659461e-10,0.02125,0.00075,0
103,1.7763892772282e-10,0.02175,0.00075,0
104,-1.6672835880001e-10,0.02225,0.00075,0
105,-4.5042348269158e-10,0.02275,0.00075,0
106,-5.5794923925051e-10,0.02325,0.00075,0
107,-6.8594902068149e-10,0.02375,0.00075,0
108,-7.3518480965728e-10,0.02425,0.00075,0
109,-7.782601326135e-10,0.02475,0.00075,0
110,-7.7219624993198e-10,0.02525,0.00075,0
111,-7.678878408915e-10,0.02575,0.00075,0
112,-7.3767132303541e-10,0.02625,0.00075,0
113,-7.1734127077464e-10,0.02675,0.00075,0
114,-6.9755276958651e-10,0.02725,0.00075,0
115,-7.251830326363e-10,0.02775,0.00075,0
116,-7.6068002831693e-10,0.02825,0.00075,0
