id,uxi,x,y,z
0,-6.7060102025494e-09,0.023,0.0005,0
0.0005,-9.2011415919257e-08,0.023,0.001,0
0.001,-1.8669592413927e-07,0.023,0.0015,0
0.0015,-3.3535945946096e-07,0.023,0.002,0
0.002,-4.4333590130354e-07,0.023,0.0025,0
0.0025,-5.661169100091e-07,0.023,0.003,0
0.003,-6.1349767477899e-07,0.023,0.0035,0
0.0035,-6.6940208868453e-07,0.023,0.004,0
0.004,-6.5115047826218e-07,0.023,0.0045,0
0.0045,-6.7517222705112e-07,0.023,0.005,0
0.005,-6.442888455141e-07,0.023,0.0055,0
0.0055,-6.8947966494297e-07,0.023,0.006,0
0.006,-6.8036025986524e-07,0.023,0.0065,0
0.0065,-7.6167160792075e-07,0.023,0.007,0
0.007,-7.66743816721e-07,0.023,0.0075,0
0.0075,-8.6214297067743e-07,0.023,0.008,0
0.008,-8.3940361913074e-07,0.023,0.0085,0
0.0085,-8.9942132034335e-07,0.023,0.009,0
0.009,-7.8673193953023e-07,0.023,0.0095,0
0.0095,-7.6126175571297e-07,0.023,0.01,0
0.01,-5.1848418378911e-07,0.023,0.0105,0
0.0105,-4.0963510194546e-07,0.023,0.011,0
0.011,-8.2455794287939e-08,0.023,0.0115,0
0.0115,-3.2937211259419e-08,0.023,0.012,0
0.012,1.4342099270349e-07,0.023,0.0125,0
0.0125,-2.1911126053597e-07,0.023,0.013,0
0.013,-5.6924146025653e-07,0.023,0.0135,0
0.0135,-1.7073449261308e-06,0.023,0.014,0
0.014,-2.7431819885145e-06,0.023,0.0145,0
0.0145,-4.5866205459821e-06,0.023,0.015,0
0.015,-5.8665000961413e-06,0.023,0.0155,0
0.0155,-7.6104561504861e-06,0.023,0.016,0
0.016,-7.8675407945679e-06,0.023,0.0165,0
0.0165,-8.0407037751519e-06,0.023,0.017,0
0.017,-5.5736099733554e-06,0.023,0.0175,0
0.0175,-2.5775694896398e-06,0.023,0.018,0
0.018,4.1442936492863e-06,0.023,0.0185,0
0.0185,1.1046479613409e-05,0.023,0.019,0
0.019,2.2102469399516e-05,0.023,0.0195,0
0.0195,3.1154303483193e-05,0.023,0.02,0
