x,y,z,value
0.015,0.0005,0,-76.7734996291802
0.015,0.001,0,-28.7392160967756
0.015,0.0015,0,-80.2160072054398
0.015,0.002,0,-8.14383901478413
0.015,0.0025,0,-76.1448852768167
0.015,0.003,0,-9.74611566865588
0.015,0.0035,0,-95.2396476032113
0.015,0.004,0,-14.3912451627857
0.015,0.0045,0,-113.672143685182
0.015,0.005,0,-11.6225351935564
0.015,0.0055,0,-135.328881317776
0.015,0.006,0,-3.72871262670378
0.015,0.0065,0,-163.829778555646
0.015,0.007,0,11.5755551086131
0.015,0.0075,0,-206.186042950956
0.015,0.008,0,47.737411762093
0.015,0.0085,0,-231.973703704139
0.015,0.009,0,195.63999826353
0.015,0.0095,0,-222.31891778421
0.015,0.01,0,254.593858603901
0.015,0.0105,0,-789.443311909676
0.015,0.011,0,-278.38097944802
0.015,0.0115,0,434.500902594154
0.015,0.012,0,-986.452411194648
0.015,0.0125,0,449.430424359662
0.015,0.013,0,-1126.56770283703
0.015,0.0135,0,374.345101397492
0.015,0.014,0,-1273.77859136299
0.015,0.0145,0,76.3711112690453
0.015,0.015,0,-300.245649492361
0.015,0.0155,0,-831.010085838634
0.015,0.016,0,-260.663378574136
0.015,0.0165,0,-1023.37704893078
0.015,0.017,0,-42.3326954980876
0.015,0.0175,0,-784.262999121849
0.015,0.018,0,1222.41153522929
0.015,0.0185,0,-1284.07014247077
0.015,0.019,0,426.108056342778
0.015,0.0195,0,-400.188283286014
0.015,0.02,0,112.475910968096
