id,uxi,x,y,z
0,-4.4870529082102e-08,0.015,0.0005,0
0.0005,-7.0613839630802e-08,0.015,0.001,0
0.001,-4.8586394426191e-08,0.015,0.0015,0
0.0015,-5.2841548483859e-08,0.015,0.002,0
0.002,-3.8087616122551e-08,0.015,0.0025,0
0.0025,-5.8355266404143e-08,0.015,0.003,0
0.003,-4.9168923088386e-08,0.015,0.0035,0
0.0035,-7.0392959628883e-08,0.015,0.004,0
0.004,-5.6734628115262e-08,0.015,0.0045,0
0.0045,-7.948714866678e-08,0.015,0.005,0
0.005,-6.4078118449061e-08,0.015,0.0055,0
0.0055,-8.9200817830542e-08,0.015,0.006,0
0.006,-6.8998019242838e-08,0.015,0.0065,0
0.0065,-9.7750556049437e-08,0.015,0.007,0
0.007,-7.9886571923333e-08,0.015,0.0075,0
0.0075,-1.2625654401377e-07,0.015,0.008,0
0.008,-9.1775768687442e-08,0.015,0.0085,0
0.0085,-1.2917597431491e-07,0.015,0.009,0
0.009,-9.1794945128977e-08,0.015,0.0095,0
0.0095,-1.3907721054541e-07,0.015,0.01,0
0.01,-9.7206500754253e-08,0.015,0.0105,0
0.0105,-1.6093453432146e-07,0.015,0.011,0
0.011,-1.1095781489566e-07,0.015,0.0115,0
0.0115,-1.8557631300539e-07,0.015,0.012,0
0.012,-1.1232692174385e-07,0.015,0.0125,0
0.0125,-2.0381526118616e-07,0.015,0.013,0
0.013,-1.2548879224605e-07,0.015,0.0135,0
0.0135,-2.6922086689916e-07,0.015,0.014,0
0.014,-1.8947196940958e-07,0.015,0.0145,0
0.0145,-3.7302792518712e-07,0.015,0.015,0
0.015,-2.0872543392042e-07,0.015,0.0155,0
0.0155,-3.1396953533249e-07,0.015,0.016,0
0.016,1.1077595829899e-07,0.015,0.0165,0
0.0165,1.8294693273044e-07,0.015,0.017,0
0.017,7.3835786327804e-07,0.015,0.0175,0
0.0175,3.4453407391892e-07,0.015,0.018,0
0.018,2.6135503221665e-07,0.015,0.0185,0
0.0185,-1.3445093713883e-06,0.015,0.019,0
0.019,-2.343689974281e-06,0.015,0.0195,0
0.0195,-4.4834066791408e-06,0.015,0.02,0
