id,uxr,x,y,z
0,1.7138665779532e-06,0.023,0.0005,0
0.0005,3.2606248703868e-06,0.023,0.001,0
0.001,4.6056909265814e-06,0.023,0.0015,0
0.0015,5.7717238793371e-06,0.023,0.002,0
0.002,6.5909052962205e-06,0.023,0.0025,0
0.0025,7.1385986946005e-06,0.023,0.003,0
0.003,7.276800599879e-06,0.023,0.0035,0
0.0035,7.1415795976712e-06,0.023,0.004,0
0.004,6.62196820875e-06,0.023,0.0045,0
0.0045,5.9211105074172e-06,0.023,0.005,0
0.005,4.9451308833012e-06,0.023,0.0055,0
0.0055,3.9356543535866e-06,0.023,0.006,0
0.006,2.773938712233e-06,0.023,0.0065,0
0.0065,1.7210123133195e-06,0.023,0.007,0
0.007,6.2582407325612e-07,0.023,0.0075,0
0.0075,-2.0469876089496e-07,0.023,0.008,0
0.008,-9.4258145734589e-07,0.023,0.0085,0
0.0085,-1.1992942254966e-06,0.023,0.009,0
0.009,-1.1801194981135e-06,0.023,0.0095,0
0.0095,-4.0050246186602e-07,0.023,0.01,0
0.01,8.7176734983448e-07,0.023,0.0105,0
0.0105,3.2449687962023e-06,0.023,0.011,0
0.011,6.2961908865206e-06,0.023,0.0115,0
0.0115,1.066287768793e-05,0.023,0.012,0
0.012,1.555023896642e-05,0.023,0.0125,0
0.0125,2.1662799468458e-05,0.023,0.013,0
0.013,2.7808360883333e-05,0.023,0.0135,0
0.0135,3.466485022462e-05,0.023,0.014,0
0.014,4.0437232909742e-05,0.023,0.0145,0
0.0145,4.6232868423695e-05,0.023,0.015,0
0.015,4.9800571875564e-05,0.023,0.0155,0
0.0155,5.2508329026697e-05,0.023,0.016,0
0.016,5.1641484376624e-05,0.023,0.0165,0
0.0165,4.9434502014702e-05,0.023,0.017,0
0.017,4.2622192345783e-05,0.023,0.0175,0
0.0175,3.4440909549468e-05,0.023,0.018,0
0.018,2.1055066179424e-05,0.023,0.0185,0
0.0185,7.3695932290595e-06,0.023,0.019,0
0.019,-1.1410824639985e-05,0.023,0.0195,0
0.0195,-2.7590139974278e-05,0.023,0.02,0
