id,integral_strain_stress1,x,y,z
0,9.1082367282245e-11,0.00025,0.00025,0
1,5.1650960222215e-11,0.00075,0.00025,0
2,4.3823064558813e-11,0.00125,0.00025,0
3,3.3128769352108e-11,0.00175,0.00025,0
4,2.8066422765252e-11,0.00225,0.00025,0
5,2.2924653668719e-11,0.00275,0.00025,0
6,1.8795325074747e-11,0.00325,0.00025,0
7,1.3656839172827e-11,0.00375,0.00025,0
8,8.429758058882e-12,0.00425,0.00025,0
9,2.1959868585312e-12,0.00475,0.00025,0
10,-4.3716101462104e-12,0.00525,0.00025,0
11,-1.1726505835324e-11,0.00575,0.00025,0
12,-1.9585575163985e-11,0.00625,0.00025,0
13,-2.8089881122302e-11,0.00675,0.00025,0
14,-3.7399448135094e-11,0.00725,0.00025,0
15,-4.731274759997e-11,0.00775,0.00025,0
16,-5.8481184544101e-11,0.00825,0.00025,0
17,-7.0250465931806e-11,0.00875,0.00025,0
18,-8.3823429272296e-11,0.00925,0.00025,0
19,-9.7884250521498e-11,0.00975,0.00025,0
20,-1.1423283496741e-10,0.01025,0.00025,0
21,-1.3048996934982e-10,0.01075,0.00025,0
22,-1.490742360003e-10,0.01125,0.00025,0
23,-1.6575794938092e-10,0.01175,0.00025,0
24,-1.8371370601482e-10,0.01225,0.00025,0
25,-1.951688867436e-10,0.01275,0.00025,0
26,-2.0527648201454e-10,0.01325,0.00025,0
27,-1.9712241593225e-10,0.01375,0.00025,0
28,-1.9047093855027e-10,0.01425,0.00025,0
29,-1.2435617923952e-10,0.01475,0.00025,0
30,-1.243561792395e-10,0.01525,0.00025,0
31,-1.9047093855024e-10,0.01575,0.00025,0
32,-1.9712241593225e-10,0.01625,0.00025,0
33,-2.0527648201455e-10,0.01675,0.00025,0
34,-1.9516888674359e-10,0.01725,0.00025,0
35,-1.8371370601477e-10,0.01775,0.00025,0
36,-1.6575794938089e-10,0.01825,0.00025,0
37,-1.4907423600029e-10,0.01875,0.00025,0
38,-1.3048996934982e-10,0.01925,0.00025,0
39,-1.1423283496744e-10,0.01975,0.00025,0
40,-9.7884250521551e-11,0.02025,0.00025,0
41,-8.3823429272328e-11,0.02075,0.00025,0
42,-7.0250465931846e-11,0.02125,0.00025,0
43,-5.8481184544108e-11,0.02175,0.00025,0
44,-4.7312747599984e-11,0.02225,0.00025,0
45,-3.7399448135085e-11,0.02275,0.00025,0
46,-2.8089881122305e-11,0.02325,0.00025,0
47,-1.9585575163983e-11,0.02375,0.00025,0
48,-1.172650583531e-11,0.02425,0.00025,0
49,-4.3716101461862e-12,0.02475,0.00025,0
50,2.1959868585653e-12,0.02525,0.00025,0
51,8.4297580588945e-12,0.02575,0.00025,0
52,1.365683917284e-11,0.02625,0.00025,0
53,1.8795325074754e-11,0.02675,0.00025,0
54,2.2924653668727e-11,0.02725,0.00025,0
55,2.8066422765266e-11,0.02775,0.00025,0
56,3.3128769352119e-11,0.02825,0.00025,0
57,4.3823064558821e-11,0.02875,0.00025,0
58,5.1650960222219e-11,0.02925,0.00025,0
59,9.1082367282251e-11,0.02975,0.00025,0
60,5.4265704426406e-11,0.00025,0.00075,0
61,1.4598959614849e-11,0.00075,0.00075,0
62,2.1830399595993e-11,0.00125,0.00075,0
63,2.0365545414617e-11,0.00175,0.00075,0
64,1.8321026557182e-11,0.00225,0.00075,0
65,1.6696306585902e-11,0.00275,0.00075,0
66,1.4705211910342e-11,0.00325,0.00075,0
67,1.3436918863605e-11,0.00375,0.00075,0
68,1.1112032415425e-11,0.00425,0.00075,0
69,9.1462946462248e-12,0.00475,0.00075,0
70,5.827599123975e-12,0.00525,0.00075,0
71,2.6892893581221e-12,0.00575,0.00075,0
72,-1.8624261523052e-12,0.00625,0.00075,0
73,-6.3866951365802e-12,0.00675,0.00075,0
74,-1.232704544119e-11,0.00725,0.00075,0
75,-1.8481091445509e-11,0.00775,0.00075,0
76,-2.6033989190526e-11,0.00825,0.00075,0
77,-3.4150044271624e-11,0.00875,0.00075,0
78,-4.3589464968806e-11,0.00925,0.00075,0
79,-5.4021943112029e-11,0.00975,0.00075,0
80,-6.5557933966731e-11,0.01025,0.00075,0
81,-7.8534104291192e-11,0.01075,0.00075,0
82,-9.2131935829728e-11,0.01125,0.00075,0
83,-1.0759134791641e-10,0.01175,0.00075,0
84,-1.2293991698499e-10,0.01225,0.00075,0
85,-1.408778102865e-10,0.01275,0.00075,0
86,-1.5865285099155e-10,0.01325,0.00075,0
87,-1.8176774684789e-10,0.01375,0.00075,0
88,-2.1016199591818e-10,0.01425,0.00075,0
89,-1.6918450931783e-10,0.01475,0.00075,0
90,-1.691845093178e-10,0.01525,0.00075,0
91,-2.101619959182e-10,0.01575,0.00075,0
92,-1.8176774684785e-10,0.01625,0.00075,0
93,-1.5865285099154e-10,0.01675,0.00075,0
94,-1.4087781028647e-10,0.01725,0.00075,0
95,-1.2293991698499e-10,0.01775,0.00075,0
96,-1.075913479164e-10,0.01825,0.00075,0
97,-9.2131935829717e-11,0.01875,0.00075,0
98,-7.8534104291174e-11,0.01925,0.00075,0
99,-6.5557933966739e-11,0.01975,0.00075,0
100,-5.4021943112052e-11,0.02025,0.00075,0
101,-4.3589464968832e-11,0.02075,0.00075,0
102,-3.4150044271674e-11,0.02125,0.00075,0
103,-2.603398919056e-11,0.02175,0.00075,0
104,-1.8481091445555e-11,0.02225,0.00075,0
105,-1.2327045441199e-11,0.02275,0.00075,0
106,-6.3866951366206e-12,0.02325,0.00075,0
107,-1.8624261523248e-12,0.02375,0.00075,0
108,2.6892893580986e-12,0.02425,0.00075,0
109,5.8275991239723e-12,0.02475,0.00075,0
110,9.1462946462334e-12,0.02525,0.00075,0
111,1.1112032415441e-11,0.02575,0.00075,0
112,1.343691886363e-11,0.02625,0.00075,0
113,1.4705211910353e-11,0.02675,0.00075,0
114,1.6696306585923e-11,0.02725,0.00075,0
115,1.8321026557199e-11,0.02775,0.00075,0
116,2.0365545414615e-11,0.02825,0.00075,0
117,2.1830399595989e-11,0.02875,0.00075,0
118,1.4598959614844e-11,0.02925,0.00075,0
119,5.4265704426409e-11,0.02975,0.00075,0
120,5.2763817767616e-11,0.00025,0.00125,0
121,2.0405710791599e-11,0.00075,0.00125,0
122,1.3955679712267e-11,0.00125,0.00125,0
123,1.3771003953094e-11,0.00175,0.00125,0
124,1.1763054721257e-11,0.00225,0.00125,0
125,9.8546223974528e-12,0.00275,0.00125,0
126,9.2690034115071e-12,0.00325,0.00125,0
127,8.4874642926652e-12,0.00375,0.00125,0
128,8.9918240087139e-12,0.00425,0.00125,0
129,8.3275106701927e-12,0.00475,0.00125,0
130,8.5706953370363e-12,0.00525,0.00125,0
131,7.1222336207689e-12,0.00575,0.00125,0
132,6.4329129954361e-12,0.00625,0.00125,0
133,3.8791255538945e-12,0.00675,0.00125,0
134,2.0080857248443e-12,0.00725,0.00125,0
135,-1.7319391555346e-12,0.00775,0.00125,0
136,-4.9193105035654e-12,0.00825,0.00125,0
137,-9.8715641737905e-12,0.00875,0.00125,0
138,-1.4504904799421e-11,0.00925,0.00125,0
139,-2.0707016201295e-11,0.00975,0.00125,0
140,-2.6989380551149e-11,0.01025,0.00125,0
141,-3.4633134784778e-11,0.01075,0.00125,0
142,-4.3084690936727e-11,0.01125,0.00125,0
143,-5.2972160947447e-11,0.01175,0.00125,0
144,-6.5051729105283e-11,0.01225,0.00125,0
145,-7.9607776499037e-11,0.01275,0.00125,0
146,-9.8073854908869e-11,0.01325,0.00125,0
147,-1.2041596049088e-10,0.01375,0.00125,0
148,-1.2768045069597e-10,0.01425,0.00125,0
149,-8.7723207766827e-11,0.01475,0.00125,0
150,-8.77232077668e-11,0.01525,0.00125,0
151,-1.2768045069601e-10,0.01575,0.00125,0
152,-1.2041596049099e-10,0.01625,0.00125,0
153,-9.8073854908973e-11,0.01675,0.00125,0
154,-7.9607776499092e-11,0.01725,0.00125,0
155,-6.5051729105258e-11,0.01775,0.00125,0
156,-5.2972160947432e-11,0.01825,0.00125,0
157,-4.3084690936655e-11,0.01875,0.00125,0
158,-3.463313478474e-11,0.01925,0.00125,0
159,-2.6989380551169e-11,0.01975,0.00125,0
160,-2.070701620129e-11,0.02025,0.00125,0
161,-1.450490479944e-11,0.02075,0.00125,0
162,-9.8715641738206e-12,0.02125,0.00125,0
163,-4.9193105036148e-12,0.02175,0.00125,0
164,-1.7319391555586e-12,0.02225,0.00125,0
165,2.0080857248298e-12,0.02275,0.00125,0
166,3.8791255538637e-12,0.02325,0.00125,0
167,6.4329129954088e-12,0.02375,0.00125,0
168,7.122233620744e-12,0.02425,0.00125,0
169,8.5706953370236e-12,0.02475,0.00125,0
170,8.3275106701879e-12,0.02525,0.00125,0
171,8.9918240087222e-12,0.02575,0.00125,0
172,8.4874642926938e-12,0.02625,0.00125,0
173,9.2690034115268e-12,0.02675,0.00125,0
174,9.8546223974673e-12,0.02725,0.00125,0
175,1.1763054721269e-11,0.02775,0.00125,0
176,1.3771003953097e-11,0.02825,0.00125,0
177,1.3955679712263e-11,0.02875,0.00125,0
178,2.0405710791594e-11,0.02925,0.00125,0
179,5.2763817767608e-11,0.02975,0.00125,0
180,4.561599763589e-11,0.00025,0.00175,0
181,2.2631280023465e-11,0.00075,0.00175,0
182,1.46655092302e-11,0.00125,0.00175,0
183,1.2012904427045e-11,0.00175,0.00175,0
184,9.1508630628795e-12,0.00225,0.00175,0
185,6.9790906841606e-12,0.00275,0.00175,0
186,5.0265685358608e-12,0.00325,0.00175,0
187,5.1931576015183e-12,0.00375,0.00175,0
188,4.8813183228166e-12,0.00425,0.00175,0
189,6.3350169103267e-12,0.00475,0.00175,0
190,6.2351687862487e-12,0.00525,0.00175,0
191,7.5717282660108e-12,0.00575,0.00175,0
192,6.8008558065667e-12,0.00625,0.00175,0
193,7.4147601998765e-12,0.00675,0.00175,0
194,5.7695189053535e-12,0.00725,0.00175,0
195,5.5375035538646e-12,0.00775,0.00175,0
196,3.1265053498916e-12,0.00825,0.00175,0
197,2.0995757565074e-12,0.00875,0.00175,0
198,-8.7142887580003e-13,0.00925,0.00175,0
199,-2.6508281016649e-12,0.00975,0.00175,0
