id,uxr,x,y,z
0,-1.2480947219632e-08,0.015,0.0005,0
0.0005,-3.0095393376914e-08,0.015,0.001,0
0.001,-5.2503581586242e-08,0.015,0.0015,0
0.0015,-3.9777110608817e-08,0.015,0.002,0
0.002,-4.0638071505478e-08,0.015,0.0025,0
0.0025,-2.2857759109951e-08,0.015,0.003,0
0.003,-3.1391406171894e-08,0.015,0.0035,0
0.0035,-1.7455703298837e-08,0.015,0.004,0
0.004,-2.8725579456804e-08,0.015,0.0045,0
0.0045,-1.0328600491075e-08,0.015,0.005,0
0.005,-2.0705398614105e-08,0.015,0.0055,0
0.0055,2.7915586616491e-09,0.015,0.006,0
0.006,-1.0214096084939e-08,0.015,0.0065,0
0.0065,1.3800755384707e-08,0.015,0.007,0
0.007,-7.0839875605403e-09,0.015,0.0075,0
0.0075,2.3145474035288e-08,0.015,0.008,0
0.008,-1.659023150212e-09,0.015,0.0085,0
0.0085,3.6112009414561e-08,0.015,0.009,0
0.009,1.8095032769354e-08,0.015,0.0095,0
0.0095,7.2408944425775e-08,0.015,0.01,0
0.01,5.7415927986939e-08,0.015,0.0105,0
0.0105,1.2623214459574e-07,0.015,0.011,0
0.011,1.0341150785398e-07,0.015,0.0115,0
0.0115,1.7587094499889e-07,0.015,0.012,0
0.012,1.2669452680348e-07,0.015,0.0125,0
0.0125,1.9476865555504e-07,0.015,0.013,0
0.013,1.1737509260622e-07,0.015,0.0135,0
0.0135,2.0950849432795e-07,0.015,0.014,0
0.014,1.4640079515347e-07,0.015,0.0145,0
0.0145,3.3331064839361e-07,0.015,0.015,0
0.015,3.3508847274087e-07,0.015,0.0155,0
0.0155,6.4731481927159e-07,0.015,0.016,0
0.016,6.5006582021626e-07,0.015,0.0165,0
0.0165,9.6304024007028e-07,0.015,0.017,0
0.017,7.3011813541171e-07,0.015,0.0175,0
0.0175,8.8430795299602e-07,0.015,0.018,0
0.018,3.9147872037621e-07,0.015,0.0185,0
0.0185,8.1132287292944e-07,0.015,0.019,0
0.019,6.8088334602661e-07,0.015,0.0195,0
0.0195,2.331116382511e-06,0.015,0.02,0
