id,integral_strain_stress,x,y,z
0,-2.7731708203663e-13,0.00025,0.00025,0
1,-1.4371118286923e-11,0.00075,0.00025,0
2,-1.73745520202e-11,0.00125,0.00025,0
3,-3.0612874640018e-12,0.00175,0.00025,0
4,2.0225321717417e-11,0.00225,0.00025,0
5,3.0553888673873e-11,0.00275,0.00025,0
6,9.3394986939287e-12,0.00325,0.00025,0
7,-3.8490685651691e-11,0.00375,0.00025,0
8,-8.0191428105954e-11,0.00425,0.00025,0
9,-7.3131173680853e-11,0.00475,0.00025,0
10,5.1004009162201e-13,0.00525,0.00025,0
11,1.1031303730999e-10,0.00575,0.00025,0
12,1.8648957056542e-10,0.00625,0.00025,0
13,1.6230640438202e-10,0.00675,0.00025,0
14,2.5201576980661e-11,0.00725,0.00025,0
15,-1.663993227236e-10,0.00775,0.00025,0
16,-3.1107315713736e-10,0.00825,0.00025,0
17,-3.2942245064986e-10,0.00875,0.00025,0
18,-2.1058135731266e-10,0.00925,0.00025,0
19,-1.6357482800814e-11,0.00975,0.00025,0
20,1.684064254719e-10,0.01025,0.00025,0
21,2.888044344324e-10,0.01075,0.00025,0
22,3.492530619525e-10,0.01125,0.00025,0
23,3.864870012885e-10,0.01175,0.00025,0
24,4.3655393034821e-10,0.01225,0.00025,0
25,5.061008943032e-10,0.01275,0.00025,0
26,5.8629425615138e-10,0.01325,0.00025,0
27,6.6455894334122e-10,0.01375,0.00025,0
28,5.2970125312098e-10,0.01425,0.00025,0
29,2.7712830106563e-11,0.01475,0.00025,0
30,2.7712830106478e-11,0.01525,0.00025,0
31,5.2970125312064e-10,0.01575,0.00025,0
32,6.6455894334061e-10,0.01625,0.00025,0
33,5.8629425615086e-10,0.01675,0.00025,0
34,5.0610089430268e-10,0.01725,0.00025,0
35,4.365539303478e-10,0.01775,0.00025,0
36,3.8648700128826e-10,0.01825,0.00025,0
37,3.492530619524e-10,0.01875,0.00025,0
38,2.8880443443248e-10,0.01925,0.00025,0
39,1.6840642547204e-10,0.01975,0.00025,0
40,-1.6357482800592e-11,0.02025,0.00025,0
41,-2.1058135731249e-10,0.02075,0.00025,0
42,-3.2942245064973e-10,0.02125,0.00025,0
43,-3.1107315713728e-10,0.02175,0.00025,0
44,-1.6639932272353e-10,0.02225,0.00025,0
45,2.52015769806e-11,0.02275,0.00025,0
46,1.6230640438195e-10,0.02325,0.00025,0
47,1.8648957056532e-10,0.02375,0.00025,0
48,1.1031303730992e-10,0.02425,0.00025,0
49,5.1004009159978e-13,0.02475,0.00025,0
50,-7.31311736808e-11,0.02525,0.00025,0
51,-8.0191428105892e-11,0.02575,0.00025,0
52,-3.8490685651652e-11,0.02625,0.00025,0
53,9.3394986939131e-12,0.02675,0.00025,0
54,3.0553888673848e-11,0.02725,0.00025,0
55,2.0225321717378e-11,0.02775,0.00025,0
56,-3.0612874640365e-12,0.02825,0.00025,0
57,-1.7374552020218e-11,0.02875,0.00025,0
58,-1.437111828692e-11,0.02925,0.00025,0
59,-2.7731708202235e-13,0.02975,0.00025,0
60,-1.5380847080061e-11,0.00025,0.00075,0
61,-7.2223039191604e-12,0.00075,0.00075,0
62,1.7289226940967e-11,0.00125,0.00075,0
63,3.3920450786687e-11,0.00175,0.00075,0
64,2.2509005819813e-11,0.00225,0.00075,0
65,-1.7776831602103e-11,0.00275,0.00075,0
