x,y,z,value
0,0,0,-0.00029448154758137
0.01,0,0,0.00016518310645053
0.01,0.01,0,0.00242976711520118
0,0.01,0,0.00235191534616958
0.02,0,0,0.000919075211515572
0.02,0.01,0,0.00235171052031424
0.03,0,0,0.00159605903191075
0.03,0.01,0,0.00210756213964416
0.04,0,0,0.00210430850289048
0.04,0.01,0,0.00164041871766326
0.05,0,0,0.00239700980754347
0.05,0.01,0,0.00094796607386518
0.06,0,0,0.0024403552206326
0.06,0.01,0,6.55941856606e-05
0.07,0,0,0.00221600991393249
0.07,0.01,0,-0.00094947441614807
0.08,0,0,0.00172570050012052
0.08,0.01,0,-0.00202804678075324
0.09,0,0,0.000993085299045053
0.09,0.01,0,-0.00309628788603966
0.1,0,0,6.264698574719e-05
0.1,0.01,0,-0.0040819362585668
0.11,0,0,-0.00100383813915568
0.11,0.01,0,-0.0049196163601288
0.12,0,0,-0.00213253905272318
0.12,0.01,0,-0.0055550557287707
0.13,0,0,-0.0032437696997107
0.13,0.01,0,-0.0059479832375965
0.14,0,0,-0.0042584293159635
0.14,0.01,0,-0.0060735972416574
0.15,0,0,-0.0051040408915513
0.15,0.01,0,-0.0059226472370869
0.16,0,0,-0.005719865642035
0.16,0.01,0,-0.0055003187243103
0.17,0,0,-0.0060607214890804
0.17,0.01,0,-0.0048242199906343
0.18,0,0,-0.0060992974283343
0.18,0.01,0,-0.0039218271590667
0.19,0,0,-0.0058269168837752
0.19,0.01,0,-0.00282774653167613
0.2,0,0,-0.0052528471549656
0.2,0.01,0,-0.00158110638306931
0.21,0,0,-0.0044023676729296
0.21,0.01,0,-0.0002233062647622
0.22,0,0,-0.00331389003448576
0.22,0.01,0,0.001203752671107
0.23,0,0,-0.00203546516758894
0.23,0.01,0,0.00265893946886332
0.24,0,0,-0.00062101908337163
0.24,0.01,0,0.00410274205360533
0.25,0,0,0.00087336655817922
0.25,0.01,0,0.0054978307738577
0.26,0,0,0.00239286211739681
0.26,0.01,0,0.0068095016691259
0.27,0,0,0.00388678375211416
0.27,0.01,0,0.0080061534258936
0.28,0,0,0.0053108429257221
0.28,0.01,0,0.0090599080853499
0.29,0,0,0.0066286921183831
0.29,0.01,0,0.0099474187119984
0.3,0,0,0.0078127708198558
0.3,0.01,0,0.0106508309076575
0.31,0,0,0.0088445077858957
0.31,0.01,0,0.0111587939177738
0.32,0,0,0.0097139732838128
0.32,0.01,0,0.0114673645783795
0.33,0,0,0.0104190980522663
0.33,0.01,0,0.0115806236030943
0.34,0,0,0.0109645849272773
0.34,0.01,0,0.0115108339035575
0.35,0,0,0.0113606366353331
0.35,0.01,0,0.0112780142597952
0.36,0,0,0.0116216118703546
0.36,0.01,0,0.0109088725932322
0.37,0,0,0.0117647044036893
0.37,0.01,0,0.0104351305987149
0.38,0,0,0.0118087194112575
0.38,0.01,0,0.009891361873712
0.39,0,0,0.0117729998032787
0.39,0.01,0,0.0093125444489892
0.4,0,0,0.0116765349113906
0.4,0.01,0,0.0087315827438998
0.41,0,0,0.0115372656356352
0.41,0.01,0,0.0081770739221244
0.42,0,0,0.011371584755932
0.42,0.01,0,0.0076715749279815
0.43,0,0,0.0111940188247008
0.43,0.01,0,0.0072305704593838
0.44,0,0,0.0110170688493549
0.44,0.01,0,0.0068622557926881
0.45,0,0,0.0108511806584926
0.45,0.01,0,0.0065681434457162
0.46,0,0,0.0107048121793794
0.46,0.01,0,0.0063443938980102
0.47,0,0,0.0105845635950264
0.47,0.01,0,0.0061836735868525
0.48,0,0,0.0104953372778316
0.48,0.01,0,0.0060772723095543
0.49,0,0,0.010440497305658
0.49,0.01,0,0.0060171775579847
0.5,0,0,0.0104220030296398
0.5,0.01,0,0.0059978105871569
0.51,0,0,0.010440497305658
0.51,0.01,0,0.0060171775579846
0.52,0,0,0.0104953372778314
0.52,0.01,0,0.0060772723095542
0.53,0,0,0.0105845635950263
0.53,0.01,0,0.0061836735868524
0.54,0,0,0.0107048121793793
0.54,0.01,0,0.0063443938980099
0.55,0,0,0.0108511806584925
0.55,0.01,0,0.006568143445716
0.56,0,0,0.0110170688493548
0.56,0.01,0,0.0068622557926878
0.57,0,0,0.0111940188247006
0.57,0.01,0,0.0072305704593835
0.58,0,0,0.0113715847559318
0.58,0.01,0,0.0076715749279812
0.59,0,0,0.011537265635635
0.59,0.01,0,0.008177073922124
0.6,0,0,0.0116765349113903
0.6,0.01,0,0.0087315827438994
0.61,0,0,0.0117729998032785
0.61,0.01,0,0.0093125444489888
0.62,0,0,0.0118087194112572
0.62,0.01,0,0.0098913618737117
0.63,0,0,0.011764704403689
0.63,0.01,0,0.0104351305987146
0.64,0,0,0.0116216118703545
0.64,0.01,0,0.0109088725932319
0.65,0,0,0.011360636635333
