x,y,z,value
0,0,0,0
0.01,0,0,-1.0686032813665
0.01,0.01,0,-1.067007518714
0,0.01,0,0
0.02,0,0,-2.140397956219
0.02,0.01,0,-2.137206628643
0.03,0,0,-3.218575103951
0.03,0.01,0,-3.213788531633
0.04,0,0,-4.306324449014
0.04,0.01,0,-4.299943567355
0.05,0,0,-5.406833646465
0.05,0.01,0,-5.398860135996
0.06,0,0,-6.523287963675
0.06,0.01,0,-6.513724035858
0.07,0,0,-7.658869000247
0.07,0.01,0,-7.64771748130099
0.08,0,0,-8.81675216123701
0.08,0.01,0,-8.804017065585
0.09,0,0,-10.000103449996
0.09,0.01,0,-9.985790683801
0.1,0,0,-11.212076073378
0.1,0.01,0,-11.19619395299
0.11,0,0,-12.455806527059
0.11,0.01,0,-12.438366209012
0.12,0,0,-13.73440960982
0.12,0.01,0,-13.71542557868
0.13,0,0,-15.05097223931
0.13,0.01,0,-15.03046274274
0.14,0,0,-16.40854600184
0.14,0.01,0,-16.38653338675
0.15,0,0,-17.81013810236
0.15,0.01,0,-17.78664929882
0.16,0,0,-19.25870064925
0.16,0.01,0,-19.23376793388
0.17,0,0,-20.75711883484
0.17,0.01,0,-20.73078064001
0.18,0,0,-22.30819839718
0.18,0.01,0,-22.2805000582
0.19,0,0,-23.91465198016
0.19,0.01,0,-23.88564667738
0.2,0,0,-25.57908403026
0.2,0.01,0,-25.54883390805
0.21,0,0,-27.30397454614
0.21,0.01,0,-27.27255143246
0.22,0,0,-29.09166178297
0.22,0.01,0,-29.05914725568
0.23,0,0,-30.94432312732
0.23,0.01,0,-30.91080855288
0.24,0,0,-32.86395373322
0.24,0.01,0,-32.82954084268
0.25,0,0,-34.85234402977
0.25,0.01,0,-34.81714564899
0.26,0,0,-36.91105744762
0.26,0.01,0,-36.8751977963
0.27,0,0,-39.04140824327
0.27,0.01,0,-39.0050230078
0.28,0,0,-41.24443868395
0.28,0.01,0,-41.20767525945
0.29,0,0,-43.52089606677
0.29,0.01,0,-43.48391356321
0.3,0,0,-45.87121069959
0.3,0.01,0,-45.83417914549
0.31,0,0,-48.29547482549
0.31,0.01,0,-48.25857401596
0.32,0,0,-50.79342185613
0.32,0.01,0,-50.75684069517
0.33,0,0,-53.36440674353
0.33,0.01,0,-53.32834280898
0.34,0,0,-56.00738944701
0.34,0.01,0,-55.97204769114
0.35,0,0,-58.72092204902
0.35,0.01,0,-58.68651253184
0.36,0,0,-61.5031383519
0.36,0.01,0,-61.46987413901
0.37,0,0,-64.35174575262
0.37,0.01,0,-64.31984155005
0.38,0,0,-67.26402133422
0.38,0.01,0,-67.23369201434
0.39,0,0,-70.23681383959
0.39,0.01,0,-70.20827201536
0.4,0,0,-73.2665508907
0.4,0.01,0,-73.24000392557
0.41,0,0,-76.3492500341
0.41,0.01,0,-76.3248972662
0.42,0,0,-79.48053370353
0.42,0.01,0,-79.45856388105
0.43,0,0,-82.65564919285
0.43,0.01,0,-82.63623777138
0.44,0,0,-85.86949389399
0.44,0.01,0,-85.85280045005
0.45,0,0,-89.11664524288
0.45,0.01,0,-89.10281154723
0.46,0,0,-92.39139533158
0.46,0.01,0,-92.38054395642
0.47,0,0,-95.68779059703
0.47,0.01,0,-95.68002334009
0.48,0,0,-98.99967598141
0.48,0.01,0,-98.9950718729399
0.49,0,0,-102.32074158397
0.49,0.01,0,-102.31935517305
0.5,0,0,-105.64457012262
0.5,0.01,0,-105.64643072289
0.51,0,0,-108.96468521863
0.51,0.01,0,-108.96979683724
0.52,0,0,-112.27460114363
0.52,0.01,0,-112.28294248672
0.53,0,0,-115.56787335432
0.53,0.01,0,-115.57939812662
0.54,0,0,-118.83814814852
0.54,0.01,0,-118.8527862526
0.55,0,0,-122.07921057724
0.55,0.01,0,-122.09686991907
0.56,0,0,-125.28503039894
0.56,0.01,0,-125.30559842473
0.57,0,0,-128.44980490771
0.57,0.01,0,-128.47314979009
0.58,0,0,-131.56799692947
0.58,0.01,0,-131.5939690516
0.59,0,0,-134.63436755
0.59,0.01,0,-134.66280164539
0.6,0,0,-137.64400417452
0.6,0.01,0,-137.674722222
0.61,0,0,-140.59234419993
0.61,0.01,0,-140.62515907345
0.62,0,0,-143.47519456209
0.62,0.01,0,-143.50991351477
0.63,0,0,-146.2887475816
0.63,0.01,0,-146.32517415004
0.64,0,0,-149.02959196738
0.64,0.01,0,-149.0675266384
0.65,0,0,-151.69471640836
0.65,0.01,0,-151.73395829422
0.66,0,0,-154.28150564619
0.66,0.01,0,-154.32185615128
0.67,0,0,-156.78773298859
0.67,0.01,0,-156.82899951127
0.68,0,0,-159.21155254466
0.68,0.01,0,-159.25355012238
0.69,0,0,-161.55148950459
0.69,0.01,0,-161.59404118191
0.7,0,0,-163.80642508651
0.7,0.01,0,-163.84936298899
0.71,0,0,-165.97557656884
0.71,0.01,0,-166.01874357463
0.72,0,0,-168.05847559926
0.72,0.01,0,-168.10172623239
0.73,0,0,-170.05494585843
0.73,0.01,0,-170.09814650422
0.74,0,0,-171.96507883849
0.74,0.01,0,-172.0081083335
0.75,0,0,-173.78920806079
0.75,0.01,0,-173.83195848805
0.76,0,0,-175.52788371613
0.76,0.01,0,-175.57026038592
0.77,0,0,-177.18184803949
0.77,0.01,0,-177.22376875216
0.78,0,0,-178.75201000865
0.78,0.01,0,-178.79340464402
0.79,0,0,-180.23941918915
0.79,0.01,0,-180.280229791
0.8,0,0,-181.64524046712
0.8,0.01,0,-181.68542101881
0.81,0,0,-182.97073072125
0.81,0.01,0,-183.01024643651
0.82,0,0,-184.21721716263
0.82,0.01,0,-184.25604366321
0.83,0,0,-185.38607632439
0.83,0.01,0,-185.42419898049
0.84,0,0,-186.47871336841
0.84,0.01,0,-186.51612718176
0.85,0,0,-187.49654304396
0.85,0.01,0,-187.53325216088
0.86,0,0,-188.44097272561
0.86,0.01,0,-188.47698889954
0.87,0,0,-189.31338736733
0.87,0.01,0,-189.34872842028
0.88,0,0,-190.11513390857
0.88,0.01,0,-190.14982369092
0.89,0,0,-190.84750670208
0.89,0.01,0,-190.88157621474
0.9,0,0,-191.5117364185
0.9,0.01,0,-191.54522363814
0.91,0,0,-192.10898142885
0.91,0.01,0,-192.14192946422
0.92,0,0,-192.6403191767
0.92,0.01,0,-192.67277439434
0.93,0,0,-193.10673464734
0.93,0.01,0,-193.13874721214
0.94,0,0,-193.50911532462
0.94,0.01,0,-193.54073691589
0.95,0,0,-193.84824196922
0.95,0.01,0,-193.87952497055
0.96,0,0,-194.12478130791
0.96,0.01,0,-194.15578399438
0.97,0,0,-194.3392802161
0.97,0.01,0,-194.37006748555
0.98,0,0,-194.49217645613
0.98,0.01,0,-194.52280901507
0.99,0,0,-194.58378019418
0.99,0.01,0,-194.61432225776
1,0,0,-194.6142830911
1,0.01,0,-194.64480871561
0.01,0.02,0,-1.0622200876233
0,0.02,0,0
0.02,0.02,0,-2.127632195862
0.03,0.02,0,-3.199428353774
0.04,0.02,0,-4.280800273663
0.05,0.02,0,-5.374937823598
0.06,0.02,0,-6.48502852911299
